layer,x_index,y_index,thickness_um
anode,0,0,0.0
anode,0,1,0.0
anode,0,3,0.0
anode,0,5,0.0
anode,0,7,0.0
anode,0,9,0.0
anode,0,11,0.0
anode,0,13,0.0
anode,0,15,0.0
anode,0,17,0.0
anode,0,19,0.0
anode,0,21,0.0
anode,0,23,0.0
anode,0,25,0.0
anode,0,27,0.0
anode,0,29,0.0
anode,0,31,0.0
anode,0,32,0.0
anode,0,34,0.0
anode,0,36,0.0
anode,0,38,0.0
anode,0,40,0.0
anode,0,42,0.0
anode,0,44,0.0
anode,0,46,0.0
anode,0,48,0.0
anode,0,50,0.0
anode,0,52,0.0
anode,0,54,0.0
anode,0,56,0.0
anode,0,58,0.0
anode,0,60,0.0
anode,0,62,0.0
anode,0,63,0.0
anode,0,65,0.0
anode,0,67,0.0
anode,0,69,0.0
anode,0,71,0.0
anode,0,73,0.0
anode,0,75,0.0
anode,0,77,0.0
anode,0,79,0.0
anode,0,81,0.0
anode,0,83,0.0
anode,0,85,0.0
anode,0,87,0.0
anode,0,89,0.0
anode,0,91,0.0
anode,0,93,0.0
anode,0,95,0.0
anode,1,0,0.0
anode,1,1,72.5
anode,1,3,75.0
anode,1,5,82.5
anode,1,7,82.5
anode,1,9,82.5
anode,1,11,82.5
anode,1,13,75.0
anode,1,15,77.5
anode,1,17,87.5
anode,1,19,87.5
anode,1,21,85.0
anode,1,23,65.0
anode,1,25,62.5
anode,1,27,67.5
anode,1,29,92.5
anode,1,31,92.5
anode,1,32,92.5
anode,1,34,92.5
anode,1,36,92.5
anode,1,38,85.0
anode,1,40,77.5
anode,1,42,75.0
anode,1,44,82.5
anode,1,46,80.0
anode,1,48,72.5
anode,1,50,60.0
anode,1,52,55.0
anode,1,54,55.0
anode,1,56,65.0
anode,1,58,82.5
anode,1,60,75.0
anode,1,62,82.5
anode,1,63,85.0
anode,1,65,85.0
anode,1,67,85.0
anode,1,69,82.5
anode,1,71,75.0
anode,1,73,67.5
anode,1,75,67.5
anode,1,77,62.5
anode,1,79,70.0
anode,1,81,65.0
anode,1,83,62.5
anode,1,85,52.5
anode,1,87,65.0
anode,1,89,57.5
anode,1,91,57.5
anode,1,93,47.5
anode,1,95,0.0
anode,3,0,0.0
anode,3,1,72.5
anode,3,3,82.5
anode,3,5,82.5
anode,3,7,82.5
anode,3,9,82.5
anode,3,11,82.5
anode,3,13,75.0
anode,3,15,77.5
anode,3,17,85.0
anode,3,19,85.0
anode,3,21,85.0
anode,3,23,75.0
anode,3,25,72.5
anode,3,27,72.5
anode,3,29,92.5
anode,3,31,92.5
anode,3,32,92.5
anode,3,34,92.5
anode,3,36,92.5
anode,3,38,85.0
anode,3,40,85.0
anode,3,42,82.5
anode,3,44,82.5
anode,3,46,75.0
anode,3,48,72.5
anode,3,50,62.5
anode,3,52,60.0
anode,3,54,60.0
anode,3,56,72.5
anode,3,58,82.5
anode,3,60,85.0
anode,3,62,75.0
anode,3,63,75.0
anode,3,65,77.5
anode,3,67,77.5
anode,3,69,82.5
anode,3,71,75.0
anode,3,73,67.5
anode,3,75,67.5
anode,3,77,62.5
anode,3,79,67.5
anode,3,81,65.0
anode,3,83,65.0
anode,3,85,62.5
anode,3,87,75.0
anode,3,89,60.0
anode,3,91,57.5
anode,3,93,55.0
anode,3,95,0.0
anode,5,0,0.0
anode,5,1,85.0
anode,5,3,92.5
anode,5,5,92.5
anode,5,7,82.5
anode,5,9,82.5
anode,5,11,82.5
anode,5,13,75.0
anode,5,15,70.0
anode,5,17,72.5
anode,5,19,70.0
anode,5,21,72.5
anode,5,23,72.5
anode,5,25,70.0
anode,5,27,70.0
anode,5,29,80.0
anode,5,31,92.5
anode,5,32,92.5
anode,5,34,92.5
anode,5,36,92.5
anode,5,38,92.5
anode,5,40,80.0
anode,5,42,77.5
anode,5,44,75.0
anode,5,46,72.5
anode,5,48,70.0
anode,5,50,62.5
anode,5,52,67.5
anode,5,54,67.5
anode,5,56,77.5
anode,5,58,92.5
anode,5,60,85.0
