pressure_bar,frequency_Hz,sound_speed_m_per_s,density_kg_per_m3,attenuation_dB_per_m,acoustic_impedance_Pa_s_per_m,medium
1.0,100,343.2,1.204,0.008319790225790808,413.21279999999996,air
1.0,1000,343.2,1.204,0.028804419404477817,413.21279999999996,air
1.0,10000,343.2,1.204,1.434843302624522,413.21279999999996,air
1.0,100000,343.2,1.204,142.02716800125611,413.21279999999996,air
2.0,100,343.2,2.408,0.008916930377871423,826.4255999999999,air
2.0,1000,343.2,2.408,0.03087181232148478,826.4255999999999,air
2.0,10000,343.2,2.408,1.5378269746508941,826.4255999999999,air
2.0,100000,343.2,2.408,152.22094962293008,826.4255999999999,air
3.0,100,343.2,3.612,0.00928591067410589,1239.6384,air
3.0,1000,343.2,3.612,0.032149280011929564,1239.6384,air
3.0,10000,343.2,3.612,1.6014618611665714,1239.6384,air
3.0,100000,343.2,3.612,158.51981354860854,1239.6384,air
4.0,100,343.2,4.816,0.009556929346286313,1652.8511999999998,air
4.0,1000,343.2,4.816,0.033087589186568345,1652.8511999999998,air
4.0,10000,343.2,4.816,1.6482021414033015,1652.8511999999998,air
4.0,100000,343.2,4.816,163.14637424793045,1652.8511999999998,air
5.0,100,343.2,6.02,0.00977258320173243,2066.064,air
5.0,1000,343.2,6.02,0.03383421667715176,2066.064,air
5.0,10000,343.2,6.02,1.6853941236257386,2066.064,air
5.0,100000,343.2,6.02,166.82780196741996,2066.064,air
6.0,100,343.2,7.224,0.009952392635989194,2479.2768,air
6.0,1000,343.2,7.224,0.03445674515643459,2479.2768,air
6.0,10000,343.2,7.224,1.7164043240623128,2479.2768,air
6.0,100000,343.2,7.224,169.8973294475998,2479.2768,air
7.0,100,343.2,8.427999999999999,0.010106998009749634,2892.4895999999994,air
7.0,1000,343.2,8.427999999999999,0.03499201322295107,2892.4895999999994,air
7.0,10000,343.2,8.427999999999999,1.7430677950236662,2892.4895999999994,air
7.0,100000,343.2,8.427999999999999,172.5365983230219,2892.4895999999994,air
8.0,100,343.2,9.632,0.010242863256683993,3305.7023999999997,air
8.0,1000,343.2,9.632,0.03546240002946677,3305.7023999999997,air
8.0,10000,343.2,9.632,1.7664993160515494,3305.7023999999997,air
8.0,100000,343.2,9.632,174.85595442794633,3305.7023999999997,air
9.0,100,343.2,10.836,0.010364220095378381,3718.9152,air
9.0,1000,343.2,10.836,0.035882556449819594,3718.9152,air
9.0,10000,343.2,10.836,1.787428695579478,3718.9152,air
9.0,100000,343.2,10.836,176.92763744513573,3718.9152,air
10.0,100,343.2,12.04,0.010473995336044782,4132.128,air
10.0,1000,343.2,12.04,0.03626261556027414,4132.128,air
10.0,10000,343.2,12.04,1.8063606956166793,4132.128,air
10.0,100000,343.2,12.04,178.80161096194072,4132.128,air
