frequency_Hz,attenuation_dB_per_m,sound_speed_m_per_s,phase_velocity_m_per_s,group_velocity_m_per_s,wavelength_m,acoustic_impedance_Pa_s_per_m
10.0,32.99697648155918,1482.3,1482.30014823,1482.30014808177,148.23,1479631.86
11.233240329780276,41.636371734711254,1482.3,1482.3001665103216,1482.3001663438113,131.95658211551805,1479631.86
12.618568830660204,52.53740652085811,1482.3,1482.3001870450457,1482.3001868580006,117.46974002300117,1479631.86
14.174741629268055,66.29192445677997,1482.3,1482.3002101121951,1482.300209902083,104.57333465178242,1479631.86
15.922827933410922,83.64652118148294,1482.3,1482.3002360240782,1482.3002357880541,93.09276004230914,1479631.86
17.886495290574352,105.54293330886114,1482.3,1482.3002651315196,1482.300264866388,82.87257933537867,1479631.86
20.09233002565047,133.16892428792227,1482.3,1482.3002978286079,1482.3002975307793,73.77442029409488,1479631.86
22.570197196339205,168.02236904613446,1482.3,1482.300334558033,1482.300334223475,65.67510186576584,1479631.86
25.353644939701113,211.99191917839505,1482.3,1482.300375817079,1482.3003754412618,58.46496641904438,1479631.86
28.48035868435802,267.45847211550495,1482.3,1482.3004221643569,1482.3004217421924,52.04639507627088,1479631.86
31.992671377973846,337.42270401185067,1482.3,1482.3004742273679,1482.3004737531403,46.33248603992871,1479631.86
35.938136638046274,425.6651929589868,1482.3,1482.3005327109995,1482.3005321782882,41.24587801891621,1479631.86
40.370172585965534,536.9471932062442,1482.3,1482.300598407068,1482.3005978086608,36.71770282486514,1479631.86
45.34878508128582,677.2619549792679,1482.3,1482.3006722050413,1482.300671532836,32.686652957582844,1479631.86
50.9413801481638,854.1486381628879,1482.3,1482.300755104078,1482.3007543489734,29.098151555546927,1479631.86
57.22367659350217,1077.0833337512454,1482.3,1482.3008482265582,1482.3008473783311,25.9036134733139,1479631.86
64.28073117284319,1357.9644239661634,1482.3,1482.3009528332782,1482.3009518804442,23.05978748148139,1479631.86
72.20809018385464,1711.7123264243985,1482.3,1482.3010703405207,1482.3010692701794,20.528170683171382,1479631.86
81.11308307896873,2157.006268938865,1482.3,1482.3012023392303,1482.30120113689,18.27448721874974,1479631.86
91.11627561154891,2717.1825647556057,1482.3,1482.3013506165535,1482.3013492659359,16.26822420090357,1479631.86
102.35310218990269,3421.3189411767967,1482.3,1482.3015171800337,1482.3015156628521,14.482218597046407,1479631.86
114.97569953977356,4305.526254914216,1482.3,1482.3017042847941,1482.3017025805075,12.892289465803405,1479631.86
129.1549665014884,5414.459970181253,1482.3,1482.3019144640684,1482.3019125496019,11.476910568382346,1479631.86
145.082877849594,6803.045442209817,1482.3,1482.3021505634983,1482.3021484129317,10.216918922277554,1479631.86
