case_id,case_date,location,failure_type,structure_type,trigger_event,plasticity_index,liquid_limit,sensitivity,undrained_shear_strength_kPa,effective_friction_angle_deg,slope_height_m,slope_angle_deg,failure_depth_m,slip_surface_type,factor_of_safety,groundwater_depth_m,pore_pressure_ratio,displacement_m,velocity_m_day,failure_volume_m3,time_to_failure_hours,damage_cost_usd,casualties,people_evacuated,remedial_action
CLAY_CASE_001,1992-07-20,"Oslo, Norway",Foundation heave,Tunnel,Loading,75.14114063201828,102.15537694105248,1.9829494706386643,134.22189822617054,31.121198821310315,33.73366764488385,17.173406633836766,22.03228984615997,Wedge,1.060243825823721,14.112479692129462,0.7585692173041867,14.866387281402679,1.6359837626924687,1160.8550558278673,26.86527234737154,521830.1982587748,2,33,Soil nailing
CLAY_CASE_002,1995-09-26,"Beijing, China",Excavation collapse,Railway cutting,Excavation,26.73739743327668,62.081163211899224,1.8579482201734001,123.66538280890066,27.630400112211387,22.891747908325744,26.774806692200542,18.42399943904584,Circular,0.8971584578377289,1.550809569359135,0.6137160506189367,23.18292539330605,0.08604598411530133,567.1822803757651,151.20384908052242,1698411.0421810043,2,41,Retaining wall
CLAY_CASE_003,2007-06-01,"Oslo, Norway",Circular slip failure,Railway cutting,Excavation,51.91643998592092,79.95505825810577,4.678201504285576,105.59873850559532,18.949718827472406,17.339684105690154,29.398165041513707,20.43974591060521,Wedge,1.0485700191408918,2.709538796140375,0.605908031466348,0.5274728861471744,0.03141368655829199,43257.08448942052,7.801257739921465,80000.80086047,2,57,Soil nailing
CLAY_CASE_004,1990-03-16,"Istanbul, Turkey",Excavation collapse,Tunnel,Heavy rainfall,74.50673934322272,104.1042517493009,1.8226944832071392,130.57562478225145,22.213489937255428,49.27899415819227,33.00061644357911,9.80735442848454,Wedge,0.9562765031509765,7.330786395968094,0.32940509143863034,2.525516464184688,0.11358449091046068,52387.01722353601,33.651847596931255,1066046.3306111032,1,50,Cement stabilization
CLAY_CASE_005,1992-02-24,"Istanbul, Turkey",Quick clay landslide,Railway cutting,Freeze-thaw cycles,17.206488608076924,49.756597872444324,2.017455475164043,132.7482461247743,27.914409241033944,23.420030284176935,23.749877361279097,20.740977616169783,Wedge,0.7524263184943357,14.074250245390669,0.5953312821395944,5.304630056207858,0.25700430930575335,15746.421238308067,10.879168837822434,689552.1822698409,0,55,Soil nailing
CLAY_CASE_006,2003-11-23,"Paris, France",Circular slip failure,Residential building,Heavy rainfall,60.332317371044596,97.80585965477137,2.6224798353591696,112.08718697295453,18.942908420562805,45.23446416556105,35.849456583796275,3.842641466847528,Translational,0.9924365722417768,5.4261854696745075,0.43631864339249515,15.418297268264261,0.13210552080548582,4487.7998407474415,41.28786819392694,370718.1287072829,4,52,Slope regrading
CLAY_CASE_007,2018-05-06,"Adelaide, Australia",Foundation heave,Slope,Rapid drawdown,34.3276854792158,74.00935486320171,2.2253025278908782,128.81173268727736,26.150386442467827,15.347957265098879,40.803671915676134,22.580783089392135,Wedge,0.9764904402666211,8.101287321637495,0.5907397862248953,3.174638086300961,1.1159674516516773,876.3552381860361,51.09353127501987,1661561.2465093806,0,46,Retaining wall
CLAY_CASE_008,1988-12-20,"Adelaide, Australia",Excavation collapse,Railway cutting,Heavy rainfall,75.08575269947448,110.45122097676484,1.5,110.67129001700687,22.842362797341394,14.58971168112875,38.3955296668005,14.594624651535934,Wedge,1.159360226481268,1.5820200267054894,0.26395581818479447,4.9013100042335465,0.2155328407235384,23280.201696194414,57.4921128359253,1055472.3780737312,3,54,Lime stabilization
CLAY_CASE_009,2008-12-04,"Denver, CO",Retrogressive landslide,Excavation,Groundwater change,78.1187859357489,106.47412157909558,5.670841347568297,108.41830032883905,26.69281724874468,6.401033729803011,16.188564760450713,20.797848709137355,Wedge,0.7,3.076804813469244,0.5947071827618217,1.5725424231465313,0.05667235718335351,1918.2554798023586,4.817052964875076,164901.17770720384,1,53,Ground anchors
CLAY_CASE_010,1998-09-27,"Beijing, China",Progressive slope failure,Railway cutting,Heavy rainfall,76.37732179237321,104.80446183791462,6.940938802283104,100.41947916797396,18.64038847337518,34.325007141914824,29.415208417734867,12.403320543920904,Translational,1.035279974328205,14.812821721423857,0.7996482354623999,1.079655555497017,0.2230853912663907,3440.570001788607,6.318202023100698,523860.6730237669,2,42,Slope regrading
CLAY_CASE_011,2020-03-26,"Mexico City, Mexico",Retrogressive landslide,Highway embankment,Groundwater change,45.82392408273515,80.57557011451297,3.9491768322485714,117.85316314249336,30.20151528613327,21.58368546756925,18.147905352545244,16.802286989520073,Circular,0.8266647927841424,14.511661750104638,0.22892722331633364,21.217421265299496,0.27163096214275767,4148.467436592237,8.344663794628497,55672.37557832223,2,39,Slope regrading
CLAY_CASE_012,2022-05-27,"Istanbul, Turkey",Tunnel face instability,Residential building,Loading,71.03277231430538,95.80831522967142,2.2196958186059272,40.61866368809958,31.628845568483555,43.896121242783664,22.261350475875822,14.107261201530603,Compound,1.047883501329332,1.0691597330817346,0.7863045105327904,0.8068383331430333,0.0074813880837249665,7435.622146207232,16.772366962619873,1340803.8392358879,5,57,Lime stabilization
CLAY_CASE_013,2006-11-26,"Denver, CO",Foundation heave,Highway embankment,Earthquake,69.89571090477958,92.10519316740746,1.7064986522745123,134.5131986958607,31.56428997399968,26.294445801120073,44.59987779801439,18.826559000372633,Wedge,1.0561420083365958,14.325364995925346,0.4441447764337224,51.31878789278875,0.9962613696794325,3202.796781074666,27.353197614954986,1327502.581068989,1,51,Retaining wall
CLAY_CASE_014,2001-07-28,"Mexico City, Mexico",Retrogressive landslide,Highway embankment,Construction activity,35.741530760811614,62.83397391362715,1.7086716201893857,133.33965860688016,28.495125644400947,48.568704256162476,19.2748662870454,3.87748958670356,Circular,0.9869732834304712,9.947679129417004,0.7224520702023556,10.325218613216633,0.05478202598978338,10514.68918464104,69.42086794281263,452357.76631757914,1,52,Retaining wall
CLAY_CASE_015,2012-11-30,"Adelaide, Australia",Circular slip failure,Excavation,Construction activity,68.87950581979402,94.62428565287566,19.776876084714953,23.80214679449269,19.821207361828847,13.348648206640451,29.966644603540683,3.3880979317829674,Wedge,1.1210939687216626,13.15085612328031,0.6694312904349642,9.869122936539867,0.05765769634260338,3934.7905076133366,6.725496698941125,1716200.287106972,5,47,Relocation
CLAY_CASE_016,1990-09-28,"Paris, France",Tunnel face instability,Residential building,Excavation,17.40549625650702,43.33165866562682,6.352719125067162,127.35617757341915,28.615684743006316,44.088042558002485,33.54467202954358,7.683374382233368,Translational,0.8131350911350451,7.366357978874028,0.5402097565920008,8.889818027142617,0.44940395491210855,28635.42793629379,2.1739045528346694,277343.4577676829,1,51,Cement stabilization
