monitoring_id,case_id,timestamp,sensor_type,measurement_location,vertical_displacement_mm,horizontal_displacement_mm,strain_micro,stress_MPa,pore_pressure_kPa,temperature_C,crack_width_mm,tilt_angle_deg,acceleration_g,frequency_Hz,joint_opening_mm,convergence_%,bending_moment_kNm,axial_force_kN,shear_force_kN
M001,CS001,2003-06-28T08:30:00,Extensometer,Crown,-12.5,3.2,-450,8.5,125.5,22.5,0.0,0.02,0.00,0.0,0.0,0.5,125.5,2850,185
M002,CS001,2003-06-29T14:15:00,Extensometer,Crown,-85.2,15.8,-1250,15.2,185.2,23.1,0.5,0.08,0.00,0.0,0.8,1.8,285.5,3250,325
M003,CS001,2003-06-30T22:45:00,Extensometer,Crown,-285.5,125.5,-3850,28.5,325.8,23.8,2.5,0.35,0.02,2.5,3.5,5.2,485.5,3850,525
M004,CS001,2003-07-01T06:00:00,Extensometer,Crown,-485.0,325.0,-8500,45.2,485.5,24.2,8.5,0.85,0.15,8.5,12.5,8.5,825.5,2150,885
M005,CS002,2004-04-15T10:00:00,Inclinometer,Sidewall,-8.5,12.5,-325,6.2,85.5,28.5,0.0,0.01,0.00,0.0,0.0,0.3,95.5,2650,165
M006,CS002,2004-04-18T16:30:00,Inclinometer,Sidewall,-45.2,58.5,-985,12.8,125.8,29.2,0.3,0.05,0.00,0.0,0.5,1.2,185.5,2950,285
M007,CS002,2004-04-20T04:00:00,Inclinometer,Sidewall,-225.0,185.0,-2850,22.5,225.5,29.8,1.8,0.18,0.01,1.5,2.5,4.2,325.5,3350,425
M008,CS003,1994-10-19T12:00:00,Strain_gauge,Lining,-18.5,8.5,-585,10.5,155.5,18.5,0.0,0.03,0.00,0.0,0.0,0.8,155.5,3150,225
M009,CS003,1994-10-20T18:00:00,Strain_gauge,Lining,-125.5,65.8,-1850,18.8,285.5,19.2,1.2,0.12,0.00,0.0,1.5,2.5,325.5,3550,385
M010,CS003,1994-10-21T09:30:00,Strain_gauge,Lining,-650.0,425.0,-5850,38.5,485.5,19.8,5.5,0.55,0.08,5.5,8.5,12.5,685.5,2850,725
M011,CS005,1995-03-19T14:00:00,Piezometer,Invert,-5.2,8.5,125,3.5,45.5,15.5,0.0,0.01,0.00,0.0,0.0,0.2,65.5,1850,125
M012,CS005,1995-03-20T05:35:28,Accelerometer,Invert,-385.0,525.0,2850,15.8,325.5,15.8,3.2,0.28,0.35,12.5,5.5,6.8,425.5,1250,525
M013,CS006,1989-10-16T12:00:00,Tiltmeter,Crown,-12.8,15.5,-425,7.5,95.5,18.8,0.0,0.02,0.00,0.0,0.0,0.5,125.5,2450,185
M014,CS006,1989-10-17T17:04:15,Seismometer,Crown,-425.0,385.0,-3250,25.5,385.5,19.5,4.5,0.45,0.62,18.5,8.5,7.5,585.5,1850,685
M015,CS007,1985-09-18T08:00:00,Settlement_marker,Surface,-25.5,12.5,-125,2.5,55.5,25.5,0.0,0.01,0.00,0.0,0.0,0.3,85.5,2250,145
M016,CS007,1985-09-19T07:19:28,Settlement_marker,Surface,-825.0,485.0,-5250,35.8,425.5,26.2,6.8,0.68,0.85,25.5,12.8,15.8,925.5,1550,825
M017,CS010,2003-11-19T22:30:00,Stress_cell,Rock_face,-3.5,2.8,850,45.5,15.5,22.8,0.0,0.00,0.00,0.0,0.0,0.1,525.5,4850,325
M018,CS010,2003-11-20T14:15:00,Stress_cell,Rock_face,-125.0,95.0,3850,85.5,25.5,23.5,2.5,0.08,0.02,3.5,1.5,2.2,825.5,5250,585
M019,CS012,1995-02-27T16:00:00,Convergence_tape,Span,-8.5,5.5,-285,5.8,35.5,12.8,0.0,0.01,0.00,0.0,0.0,0.4,125.5,3250,185
M020,CS012,1995-02-28T09:45:00,Convergence_tape,Span,-425.0,285.0,-2850,22.5,185.5,13.2,3.8,0.25,0.00,0.0,5.5,8.2,485.5,2850,525
