sample_id,film_material,substrate,sintering_temperature_c,cooling_rate_c_per_min,delta_alpha_k_inv,porosity_fraction,film_thickness_um,substrate_thickness_mm,film_youngs_modulus_gpa,film_poisson_ratio,film_fracture_toughness_mpa_sqrt_m,substrate_youngs_modulus_gpa,substrate_poisson_ratio,substrate_cte_k_inv,interface_toughness_j_m2,delta_t_c,thermal_strain,film_effective_modulus_gpa,gradient_factor,thermal_stress_mpa,stress_hotspot_score,crack_initiation_risk,delamination_probability,crack_initiation_label,delamination_label
3600,SiC,Inconel,1283.4790737630765,2.803667827378175,2.2177292029521284e-06,0.06591842098693777,917.5837006651224,1.7085628761000575,450.0,0.17,3.0,210.0,0.29,1.3e-05,14.0,1258.4790737630765,0.0027909657931885204,395.39957153745974,1.1082200696426905,1665.068445735085,0.4470566296418765,0.9011376022079453,1.0,1,1
6969,Si3N4,Ni,1250.198232463985,4.341451130807017,2.3173971649910424e-06,0.20835233564984068,859.8751090579864,1.1293983061725577,300.0,0.26,4.0,200.0,0.31,1.33e-05,10.0,1225.198232463985,0.0028392709104640753,192.96005653769166,1.200487067848421,995.1053666057393,0.44690287995084926,0.7652208536659811,1.0,1,1
2656,Al2O3,Steel,1498.0443765321627,8.924695163271668,2.1709001187606462e-06,0.34183407490633305,247.6186348575095,1.3247868586731806,380.0,0.22,3.5,210.0,0.3,1.2e-05,12.0,1473.0443765321627,0.003197832211953374,173.15868080796497,1.4754817097963,1198.2254953951651,0.5445153130289994,0.958373993912776,1.0,1,1
5162,YSZ,Steel,1328.2201391980857,7.376835437807799,2.0962795589247604e-06,0.15127499801927916,351.4097512639157,1.2860695788279586,200.0,0.23,2.0,210.0,0.3,1.2e-05,12.0,1303.2201391980857,0.0027319137385800277,146.63464325730584,1.3826101262684678,868.1457204478218,0.43096111514904306,0.7876586414437177,1.0,1,1
828,TiO2,Glass,1422.912283848896,2.3963395591084966,2.1669390371150165e-06,0.16234342721397668,163.0599131255954,1.2411301762106317,230.0,0.27,1.8,70.0,0.22,8e-06,5.0,1397.912283848896,0.0030291906983347804,164.51148769792516,1.0837803735465097,771.9387266694823,0.39827537049840606,0.8606525413464757,1.0,1,1
5810,Si3N4,Ni,1458.375725108242,6.748428154274006,2.3054457483093363e-06,0.27684042403361653,508.64992518342984,0.7522691056011593,300.0,0.26,4.0,200.0,0.31,1.33e-05,10.0,1433.375725108242,0.0033045699711806084,162.89392580319898,1.3449056892564404,1103.9375978292408,0.49646259837068385,0.6510207855195725,1.0,1,1
10378,YSZ,Glass,1328.6718362230752,1.7316585602715606,1.9974028090072786e-06,0.19880664345660454,123.0589788144199,1.0264028614002674,200.0,0.23,2.0,70.0,0.22,8e-06,5.0,1303.6718362230752,0.002603957787695647,131.56781015333695,1.0438995136162936,504.5863534352154,0.37728642517787736,0.7715620366168129,1.0,1,1
7541,TiO2,Si,1414.2569322656136,6.023198179103682,1.865034762346524e-06,0.1734170333973232,618.4187937139402,1.3235916169759934,230.0,0.27,1.8,170.0,0.28,2.6e-06,9.0,1389.2569322656136,0.0025910124725062596,160.44196417214172,1.301391890746221,762.3247630555813,0.4197273132993076,0.8989102249702525,1.0,1,1
5594,TiO2,Glass,1473.2026953308437,3.6977418192908926,2.7264886856709094e-06,0.12679081790280744,601.1318798385065,0.9410235897383668,230.0,0.27,1.8,70.0,0.22,8e-06,5.0,1448.2026953308437,0.003948508263377661,177.92012625789695,1.1618645091574535,1505.7205399236493,0.4624177344685242,0.9939147441488163,1.0,1,1
3693,YSZ,Glass,1436.3019383524652,9.963491673465512,2.3216767414149893e-06,0.006666156822483625,734.1945814170793,1.4458116337902016,200.0,0.23,2.0,70.0,0.22,8e-06,5.0,1411.3019383524652,0.0032765868853868096,197.47485918387696,1.5378095004079309,1713.3876740686492,0.4680953718413211,0.9718675694366943,1.0,1,1
1635,ZrO2,Steel,1264.504265749566,8.90051613362194,2.118461937021805e-06,0.2493678064134525,441.1654426998588,1.397293419093009,210.0,0.28,2.5,210.0,0.3,1.2e-05,12.0,1239.504265749566,0.002625842607766616,122.25507848449385,1.4740309680173165,944.0456413265913,0.48162135170278586,0.9233271972992396,1.0,1,1
6703,Al2O3,Glass,1280.7033487674819,4.140821485162643,2.557403917648426e-06,0.32722489920459175,204.26734590407,1.9931119629751708,380.0,0.22,3.5,70.0,0.22,8e-06,5.0,1255.7033487674819,0.003211340663542206,180.36366082781848,1.1884492891097587,1200.9879182916852,0.5082854419040922,0.6439908148077838,1.0,1,1
10514,SiC,Inconel,1346.8766416203387,4.577457405239721,2.2828565868187023e-06,0.17458552706769262,308.7382871005638,1.0241679020518153,450.0,0.17,3.0,210.0,0.29,1.3e-05,14.0,1321.8766416203387,0.0030176547982847753,313.07381739303196,1.2146474443143833,2027.6733020107847,0.5272423276894175,0.9579971317462396,1.0,1,1
533,YSZ,Steel,1341.3915451652508,9.40210789350954,2.0807110864565622e-06,0.06947412796693213,993.4175470719724,1.981415158075258,200.0,0.23,2.0,210.0,0.3,1.2e-05,12.0,1316.3915451652508,0.0027390304821430216,174.46862917478362,1.5041264736105724,1275.1959684874364,0.45307522648556803,0.9096761613947087,1.0,1,1
6651,TiO2,Glass,1434.780303829539,7.583949542243059,2.1244285853306467e-06,0.06394626824382374,734.9526286386478,0.9225206191999091,230.0,0.27,1.8,70.0,0.22,8e-06,5.0,1409.780303829539,0.002994977576491597,202.9019296984674,1.3950369725345835,1611.2934125488548,0.4698079692944154,0.9649080491673758,1.0,1,1
3381,Si3N4,Steel,1282.6858429779827,8.734502657123805,1.945337000508519e-06,0.07260988007076112,518.6702702837788,1.76425641568577,300.0,0.26,4.0,210.0,0.3,1.2e-05,12.0,1257.6858429779827,0.002446622805360817,260.0358609243165,1.4640701594274284,1497.043869303507,0.47032126112478156,0.7865984164616748,1.0,1,1
11980,ZrO2,Inconel,1277.1305719185511,6.327893678223445,2.334719198564169e-06,0.5030230401923008,275.6879673589746,1.3487172404385968,210.0,0.28,2.5,210.0,0.29,1.3e-05,14.0,1252.1305719185511,0.002923373285367374,57.116888787525625,1.3196736206934068,346.8997863269394,0.46949935890136774,0.4142800850819568,1.0,0,1
9161,Si3N4,Ni,1315.1577973024723,4.707891390047247,2.5039538908836014e-06,0.27792321771718353,224.1286203318618,1.7511162484621576,300.0,0.26,4.0,200.0,0.31,1.33e-05,10.0,1290.1577973024723,0.0032304956364093422,162.4389209366991,1.2224734834028348,1194.7503164471545,0.4939265932768975,0.8748480178517856,1.0,1,1
5135,Al2O3,Glass,1476.2770496083667,3.475967714470616,1.8754678410643502e-06,0.14779935232027014,761.8277963650693,1.198879870058618,380.0,0.22,3.5,70.0,0.22,8e-06,5.0,1451.2770496083667,0.0027218234350152434,280.75973742759663,1.148558062868237,1541.057242932091,0.4718264478637148,0.6913328617107978,1.0,1,1
10454,Al2O3,Inconel,1238.5058451420862,2.3646589867212833,2.183488719674346e-06,0.10393783701255485,422.0669325399439,0.7968167005830541,380.0,0.22,3.5,210.0,0.29,1.3e-05,14.0,1213.5058451420862,0.002649676324126629,308.6515329722296,1.081879539203277,1328.4726240531531,0.4314241825718295,0.7460302152107119,1.0,1,1
