x_norm,y_norm,sigma_MPa
0.943208,0.197514,-3.207202
0.326291,0.429124,-8.089460
0.565037,0.001949,-11.736606
0.566939,0.905652,5.775030
0.663492,0.329944,18.669949
0.380085,0.781897,4.292754
0.258560,0.669378,-8.817357
0.569891,0.230374,-3.755632
0.503700,0.759860,-16.967470
0.068034,0.278955,-2.174053
0.328726,0.058917,2.274324
0.407596,0.916722,-15.054558
0.771427,0.861356,-3.265955
0.134218,0.856617,-10.349845
0.950831,0.050858,-14.908252
0.196064,0.405243,18.123989
0.402496,0.571168,11.329810
0.393928,0.551844,5.906801
0.335868,0.292822,-3.988017
0.428687,0.637854,0.598572
0.226761,0.186682,3.184748
0.505052,0.218937,0.759983
0.545879,0.266435,9.677762
0.357498,0.624576,0.767160
0.050892,0.184973,0.672383
0.568456,0.377032,5.675341
0.112044,0.496685,8.270598
0.435575,0.296857,10.636374
0.142938,0.410361,-8.547451
0.968794,0.021621,5.943546
0.133678,0.622435,11.108331
0.941229,0.121191,10.405395
0.301834,0.484192,6.751046
0.677475,0.617166,2.960253
0.353324,0.988992,-1.169560
0.945938,0.958759,4.016615
0.258608,0.945785,6.183185
0.529570,0.976828,3.193399
0.040499,0.860289,-15.464735
0.027356,0.276143,0.175514
0.850427,0.536219,-6.196360
0.966558,0.797360,-8.604438
0.458287,0.341436,-7.436371
0.451136,0.737873,0.140599
0.607232,0.220852,15.869672
0.275177,0.221908,4.333522
0.470617,0.271246,1.472397
0.382063,0.985600,16.122685
0.678874,0.321097,17.418827
0.074384,0.728323,-1.040373
0.177951,0.730214,-0.219592
0.277086,0.209352,4.564920
0.491921,0.233244,-2.120197
0.044323,0.615410,14.842922
0.963854,0.192796,11.819156
0.061948,0.151307,1.582266
0.313172,0.880213,-5.527633
0.141640,0.811863,-3.227164
0.667884,0.527666,-5.126191
0.752217,0.044057,-11.733006
0.068628,0.440889,-15.063006
0.311356,0.251866,12.268849
0.710170,0.058347,1.431649
0.607332,0.477881,5.819999
0.789959,0.737124,5.173331
0.644608,0.084624,-1.559873
0.922953,0.123487,-2.984261
0.231602,0.541502,-2.514357
0.278745,0.719100,-5.747227
0.690232,0.905055,-5.745911
0.377194,0.093096,-6.344081
0.253713,0.710741,-11.543111
0.171539,0.270182,-1.526351
0.995425,0.905542,0.684864
0.920208,0.154987,-5.598983
0.480394,0.922813,-2.035962
0.912407,0.935793,-15.049752
0.975543,0.720928,7.681967
0.294474,0.488715,-1.399333
0.953673,0.381979,4.958248
0.060430,0.125246,-6.702877
0.562283,0.329218,0.758692
0.987110,0.665817,7.145856
0.811289,0.143255,-7.527125
0.640644,0.814051,-2.787969
0.550293,0.442159,2.011405
0.796539,0.706640,3.948724
0.630079,0.124795,-15.540759
0.978744,0.096431,-1.037950
0.507622,0.032076,-1.277773
0.313777,0.518738,4.573533
0.302931,0.043954,3.014746
0.387232,0.735276,5.392217
0.879224,0.063004,-14.243114
0.843437,0.386571,-2.463317
0.918369,0.947743,5.673823
0.493859,0.803679,5.360482
0.002817,0.507294,11.941356
0.836591,0.881133,-11.811310
0.410290,0.775786,8.823197
0.802332,0.458462,-2.952757
0.157628,0.109059,1.385421
0.071534,0.614145,0.308651
0.942412,0.672684,7.603265
0.978317,0.678977,3.785882
0.517466,0.682767,-0.253754
0.107524,0.031403,-4.773672
0.229791,0.441407,8.591604
0.519992,0.326873,-2.646974
0.503111,0.185796,7.798532
0.968931,0.534836,2.705666
0.269855,0.137672,1.808256
0.714593,0.395539,2.337719
0.107762,0.767512,-2.801035
0.101066,0.455375,8.062697
0.203490,0.665774,-12.036028
0.051155,0.579874,7.784587
0.677584,0.292594,14.288591
0.012874,0.923427,9.039248
0.828395,0.462605,2.973989
0.032347,0.527955,6.799256
0.909412,0.435576,2.136669
0.906056,0.790229,9.630804
0.813569,0.150708,2.581778
0.063954,0.414121,8.305170
0.718804,0.310504,-9.029187
0.123514,0.656470,-0.078101
0.858931,0.290282,-9.489736
0.958401,0.804583,-16.648336
0.990141,0.046913,0.627798
0.654221,0.283634,7.343344
0.631251,0.424925,-2.826103
0.443433,0.330438,-7.736136
0.284440,0.910879,7.200147
0.386172,0.425064,11.683269
0.260084,0.317341,-4.374230
0.309300,0.854887,-6.885154
0.426190,0.896497,4.033630
0.664579,0.235452,-16.539252
0.580749,0.012543,0.824778
0.857827,0.960328,1.874808
0.229124,0.368940,13.199706
0.888532,0.094310,-1.150824
0.300581,0.945958,-16.366660
0.818111,0.216139,-8.897227
0.153577,0.605125,3.195475
0.394479,0.464412,1.040467
0.075053,0.508498,-19.946270
0.799905,0.256170,-0.944903
0.261978,0.026691,-9.076455
0.398192,0.079034,14.556762
0.312984,0.011755,-3.417257
0.576108,0.454002,7.426781
0.502124,0.080695,-3.395130
0.320963,0.015074,-3.354457
0.371233,0.962859,1.207863
0.481011,0.097828,-2.107313
0.770952,0.723667,-12.870458
0.282449,0.559768,-0.022999
0.611556,0.301750,7.101693
0.497984,0.043409,2.127917
0.136235,0.133637,-7.317614
0.866916,0.000717,-7.640718
0.752278,0.552529,-7.571827
0.439651,0.974364,5.881605
0.330455,0.505421,4.255978
0.636117,0.652052,-6.257185
0.859378,0.724237,-8.776221
0.681975,0.393483,3.344405
0.515258,0.055787,4.010260
0.874800,0.008196,-3.290500
0.066911,0.773678,3.198755
0.626268,0.738743,3.475759
0.146709,0.482398,-0.635010
0.798175,0.613713,6.016649
0.479328,0.014901,3.160284
0.004319,0.411202,6.875817
0.559433,0.062522,13.841433
0.286613,0.471022,-8.877381
0.494165,0.721301,-6.837231
0.233155,0.895329,12.033548
0.098472,0.112347,-4.793297
0.539474,0.029233,24.332254
0.471690,0.826516,-2.748577
0.559317,0.455405,2.740129
0.631090,0.595059,4.786162
0.395141,0.937269,-11.095704
0.572261,0.657473,7.979970
0.647324,0.150001,-5.044035
0.853060,0.427214,7.175560
0.271898,0.417061,-8.882467
0.478777,0.549582,7.023457
0.213687,0.273010,20.439132
0.428255,0.266262,-3.002622
0.145970,0.740533,4.318380
0.830446,0.768948,-9.859977
0.703515,0.662499,-12.367980
0.744897,0.212109,6.306402
0.017655,0.972863,-4.853978
0.526066,0.540615,6.218874
0.001237,0.077356,2.401302
0.398690,0.993601,-5.906343
0.202989,0.657916,-8.639597
0.023087,0.849770,4.705629
0.890305,0.022885,-9.109884
0.350772,0.925542,-5.671986
0.339528,0.231747,2.197867
0.704807,0.629824,-5.839527
0.903108,0.308357,6.233388
0.317978,0.747905,9.316546
0.362462,0.765250,6.612689
0.093332,0.053788,1.660118
0.256487,0.918506,-1.212778
0.687418,0.526795,4.466741
0.307493,0.046364,6.296489
0.740386,0.396866,1.033470
0.109233,0.518517,6.174488
0.789202,0.076913,10.324449
0.970512,0.491988,12.614997
0.740151,0.050299,-5.337357
0.311426,0.616082,-13.729779
0.505456,0.861597,2.081902
0.677786,0.127229,8.670351
0.365510,0.958744,4.046743
0.726466,0.813604,-4.336048
0.025243,0.289645,-6.699840
0.226696,0.637782,21.780870
0.481385,0.731635,10.934275
0.701337,0.268954,0.675854
0.250889,0.994192,10.122257
0.483820,0.380013,4.869589
0.023952,0.900930,5.315956
0.669365,0.488675,-0.192117
0.011402,0.351096,-10.812750
0.799104,0.447939,-0.586684
0.223292,0.790042,-5.593300
0.822402,0.724483,11.167303
0.848454,0.827673,3.570267
0.333960,0.171544,15.056368
0.622074,0.307897,0.220855
0.585536,0.787002,-4.646403
0.034021,0.464433,1.498421
0.961000,0.657616,-2.703978
0.724113,0.415014,-6.226090
0.240220,0.581594,5.693632
0.144436,0.767621,-4.920659
0.274329,0.320381,4.641443
0.441306,0.194952,-21.020317
0.124557,0.053651,-1.201644
0.471114,0.257629,-5.703089
0.276273,0.981125,7.298724
0.929082,0.717520,3.856977
0.802344,0.745576,16.389034
0.560297,0.416938,2.444513
0.591860,0.769139,11.597731
0.305745,0.746176,-3.791401
0.314468,0.014193,-3.484884
0.185409,0.382696,-3.485338
0.573757,0.689232,-9.982334
0.832968,0.669163,2.513282
0.721256,0.001090,5.545014
0.444914,0.306787,5.759280
0.462932,0.300749,-2.055215
0.545090,0.684026,6.306030
0.075801,0.043760,-4.093660
0.967079,0.925766,8.529840
0.514242,0.051987,-3.417256
0.235281,0.870216,5.395428
0.883840,0.870498,12.607073
0.093552,0.856390,17.218878
0.962225,0.415967,-6.158728
0.708899,0.899357,7.183818
0.911201,0.452401,10.628598
0.745784,0.220631,-12.493154
0.439156,0.551754,9.864011
0.709794,0.889270,-15.927365
0.748932,0.502422,0.424984
0.825284,0.781283,4.568925
0.943467,0.333692,-8.684600
0.835552,0.934222,-5.403108
0.569024,0.327494,6.118611
0.218768,0.762063,2.717432
0.038425,0.746790,10.238797
0.934531,0.000250,-0.527216
0.120981,0.198980,-9.811544
0.739416,0.827060,-1.529688
0.553903,0.836263,1.513257
0.392163,0.582862,-6.284839
0.117698,0.876994,-10.504299
0.267867,0.121689,0.339850
0.311301,0.275217,-0.409336
0.708432,0.464158,7.744721
0.264725,0.093245,-20.458313
0.768552,0.643233,2.254719
0.157504,0.547212,0.875718
0.651863,0.465870,1.351924
0.522182,0.909755,4.559336
0.769129,0.671683,-6.222842
0.708943,0.292672,-0.063360
0.464004,0.096382,-5.365224
0.717065,0.619548,-3.789214
0.552620,0.357336,4.543839
0.933547,0.351898,-1.848995
0.621531,0.993884,-9.596691
0.714887,0.105858,8.131105
0.283877,0.396779,-11.667021
0.541184,0.774444,4.967044
0.250558,0.755780,4.116813
0.251445,0.945631,-18.902539
0.947348,0.407748,-11.528002
0.934747,0.948412,2.442882
0.995680,0.972276,-0.640379
0.563700,0.026215,-2.321319
0.762310,0.595806,-10.480618
0.020921,0.077528,-3.858672
0.662158,0.993940,-1.701128
0.611783,0.143263,2.336847
0.336080,0.044095,-2.423691
0.104103,0.617930,14.994067
0.198960,0.516429,1.159173
0.372948,0.399621,5.434781
0.215995,0.504315,-9.018834
0.808995,0.226185,4.779361
0.153573,0.196298,2.125928
0.730199,0.845589,16.841220
0.543859,0.193910,-10.380602
0.024593,0.116098,18.422058
0.338636,0.863244,5.432108
0.772515,0.295579,-19.562812
0.809774,0.395820,-0.096345
0.078466,0.680316,-19.000484
0.239260,0.080590,-1.767382
0.211542,0.705839,-5.049606
0.605213,0.334489,-7.165946
0.377370,0.150016,-0.138063
0.808245,0.322496,3.217118
0.317088,0.755681,-12.243092
0.781231,0.806890,-7.961181
0.395798,0.764406,14.100404
0.743160,0.545272,10.625010
0.484865,0.888001,1.590263
0.399970,0.592547,-5.318224
0.424180,0.717719,-10.051589
0.183523,0.236987,3.632651
0.083830,0.446246,-6.696009
0.505858,0.676421,-7.152006
0.751666,0.350170,0.097381
0.134252,0.791694,-4.878901
0.403620,0.905890,-13.939737
0.893581,0.097508,-8.867421
0.770881,0.340650,2.071399
0.268849,0.297788,5.194747
0.341361,0.556191,4.570068
0.371005,0.355221,7.914017
0.788419,0.153620,1.662277
0.669566,0.815693,2.585095
0.212936,0.031326,-9.838799
0.352017,0.858256,3.735935
0.233634,0.489631,2.594841
0.570411,0.665346,-5.243113
0.581233,0.900968,-15.434089
0.268739,0.145668,0.618280
0.631453,0.584391,3.298579
0.511670,0.630009,-4.282708
0.867706,0.405760,-2.804666
0.601283,0.380989,-2.412905
0.996626,0.144891,-10.524015
0.276397,0.831211,9.431708
0.393072,0.141642,8.406916
0.647841,0.394442,-8.438127
0.870741,0.347749,-0.406604
0.405768,0.159490,8.253336
0.029358,0.722968,7.455116
0.535188,0.817011,2.614937
0.198997,0.860924,7.966777
0.020425,0.197645,1.445981
0.743419,0.837655,-8.142648
0.690326,0.908576,1.756121
0.301390,0.340497,-6.951412
0.539063,0.981152,6.409894
0.469118,0.115321,-7.364846
0.207256,0.044392,-3.229326
0.939915,0.373782,0.718690
0.541637,0.195481,-7.677201
0.055955,0.595871,-7.168539
0.327835,0.040082,10.093312
0.307801,0.651334,12.999974
0.934897,0.730628,11.901096
0.571967,0.836359,5.316755
0.075207,0.578261,10.276202
0.785826,0.815891,1.891522
0.819837,0.830879,1.580237
0.539468,0.148124,3.987065
0.388874,0.110268,4.079591
0.147661,0.860133,-5.500824
0.463889,0.923524,-5.575234
0.380760,0.156704,2.918382
0.175875,0.325922,-2.591561
0.937765,0.693662,15.521345
0.626738,0.519404,4.141872
