config_id,supercell_size,total_atoms,vacancy_site,formation_energy,relaxation_volume,magnetic_moment,convergence
vac_0000,"[3, 3, 3]",107,"{'type': 'near_surface', 'coordinates': [8.242893254883716, 6.30989986981026, 4.7133438631681654]}",1.394096062474884,0.21999498316360058,0.5918497783931734,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 65}"
vac_0001,"[3, 3, 3]",107,"{'type': 'bulk', 'coordinates': [10.253886957056602, 8.800583598542058, 2.2448490780907355]}",1.270251287480539,0.23636499344142015,0.5366809019706867,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 41}"
vac_0002,"[3, 3, 3]",107,"{'type': 'near_surface', 'coordinates': [1.4747290948133862, 3.088553224314326, 3.873177407300908]}",1.3269421542900972,0.2912139968434072,0.6570351922786026,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 73}"
vac_0003,"[3, 3, 3]",107,"{'type': 'near_surface', 'coordinates': [9.09128998001638, 7.192211297950006, 4.762678091822008]}",1.5771093548338295,0.2026529922319733,0.6884403511369706,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 43}"
vac_0004,"[3, 3, 3]",107,"{'type': 'bulk', 'coordinates': [2.441009524477359, 2.5481212268269955, 7.223461921022744]}",1.5021032806517003,0.3219993315565242,0.6666389823472328,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 64}"
vac_0005,"[3, 3, 3]",107,"{'type': 'near_gb', 'coordinates': [4.4947479051214385, 2.198359259842492, 6.001727865712949]}",1.4369298142968205,0.20626265849111172,0.6684569549189997,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 73}"
vac_0006,"[3, 3, 3]",107,"{'type': 'near_gb', 'coordinates': [2.071930821495203, 0.4781428983622084, 3.4393922568292306]}",1.452628571178266,0.27773545793789645,0.5542698063547792,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 53}"
vac_0007,"[3, 3, 3]",107,"{'type': 'bulk', 'coordinates': [1.4898509064331906, 8.480826480531707, 0.788149404982537]}",1.1905774052248668,0.39737738732010347,0.6544489538593314,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 73}"
vac_0008,"[3, 3, 3]",107,"{'type': 'near_surface', 'coordinates': [8.153870105163818, 0.7828000581328033, 3.78969968217005]}",1.285807155130269,0.22317381190502594,0.6726206851751186,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 37}"
vac_0009,"[3, 3, 3]",107,"{'type': 'near_surface', 'coordinates': [3.2877051051779804, 3.4378380804667694, 7.713396517390013]}",1.3283850677674938,0.32751149427104265,0.6774425485152653,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 30}"
vac_0010,"[3, 3, 3]",107,"{'type': 'near_surface', 'coordinates': [8.043019533977839, 5.933822532704713, 8.150665026479619]}",1.3941744180746976,0.2987591192728782,0.6045465658763988,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 44}"
vac_0011,"[3, 3, 3]",107,"{'type': 'near_surface', 'coordinates': [0.3322693510801545, 6.728130867880686, 3.3233714319389254]}",1.2376396563027645,0.3017141382329406,0.6815132947852186,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 52}"
vac_0012,"[3, 3, 3]",107,"{'type': 'bulk', 'coordinates': [2.4188542055774325, 0.8138316067099994, 3.0632523602043555]}",1.7767191523431194,0.2322442574508009,0.6859395304685145,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 74}"
vac_0013,"[3, 3, 3]",107,"{'type': 'near_gb', 'coordinates': [9.338038897290275, 3.428975562067756, 1.2907138570955186]}",1.3120590146111675,0.271259567615395,0.6813656883091508,"{'energy_tolerance': 1e-06, 'force_tolerance': 0.01, 'iterations': 30}"
