parameter_symbol,section,unit,baseline,low,high,distribution,levels,target_block
t_YSZ,Geometric,um,12.0,8.0,16.0,uniform,5,mesh+UMAT
t_GDC,Geometric,um,1.5,0.8,3.0,uniform,5,mesh+UMAT
t_LSCF,Geometric,um,35.0,20.0,45.0,uniform,5,mesh+UMAT
Ra_YSZ_GDC,Microstructure,um,0.08,0.03,0.2,uniform,5,mesh
lambda_YSZ_GDC,Microstructure,um,2.2,1.2,4.5,uniform,5,mesh
phi_pore_LSCF,Microstructure,-,0.35,0.2,0.5,uniform,5,UMAT
E_YSZ_800C,Thermoelastic,GPa,170.0,155.0,190.0,normal,5,UMAT
E_GDC_800C,Thermoelastic,GPa,152.0,135.0,170.0,normal,5,UMAT
E_LSCF_800C,Thermoelastic,GPa,72.0,60.0,90.0,normal,5,UMAT
alpha_YSZ,Thermoelastic,1e-6/K,10.7,10.2,11.2,normal,5,UMAT
alpha_GDC,Thermoelastic,1e-6/K,12.8,12.0,13.6,normal,5,UMAT
alpha_LSCF,Thermoelastic,1e-6/K,16.4,15.2,17.6,normal,5,UMAT
beta_iso_GDC,Chemical,per_delta,0.0118,0.009,0.014,uniform,5,UMAT
beta11_LSCF,Chemical,per_delta,0.0075,0.0058,0.009,uniform,5,UMAT
beta33_LSCF,Chemical,per_delta,0.0139,0.0105,0.0165,uniform,5,UMAT
Gc_bulk_YSZ,Fracture,J/m2,14.2,10.0,18.0,normal,5,phase_field
GcI_YSZ_GDC,Fracture,J/m2,4.2,2.5,6.0,normal,5,UEL
GcII_YSZ_GDC,Fracture,J/m2,10.1,6.0,14.0,normal,5,UEL
Tmax_n_YSZ_GDC,Fracture,MPa,180.0,140.0,220.0,uniform,5,UEL
Tmax_t_YSZ_GDC,Fracture,MPa,245.0,190.0,290.0,uniform,5,UEL
eta_BK,Fracture,-,2.1,1.6,2.6,uniform,5,UEL
weibull_m_YSZ,Fracture,-,12.0,8.0,16.0,uniform,5,probabilistic
