rve_id,phase,volume_fraction,mean_feature_um,std_feature_um,correlation_length_um,connectivity_index,synthetic_seed
RVE_A,YSZ,0.29,1.9,0.8,2.6,0.88,790
RVE_A,GDC,0.13,0.6,0.2,0.9,0.82,790
RVE_A,LSCF,0.37,3.8,1.3,4.9,0.79,790
RVE_A,Pore,0.21,2.4,1.1,3.2,0.71,790
RVE_B,YSZ,0.27,2.1,0.9,2.8,0.86,791
RVE_B,GDC,0.14,0.7,0.2,1.0,0.83,791
RVE_B,LSCF,0.36,4.0,1.4,5.1,0.8,791
RVE_B,Pore,0.23,2.5,1.2,3.3,0.7,791
RVE_C,YSZ,0.3,2.0,0.8,2.7,0.87,792
RVE_C,GDC,0.12,0.6,0.2,0.9,0.82,792
RVE_C,LSCF,0.39,3.6,1.2,4.7,0.78,792
RVE_C,Pore,0.19,2.2,1.0,3.1,0.73,792
