line_index,block_type,inp_line
1,MATERIAL,"*MATERIAL, NAME=YSZ"
2,ELASTIC,"*ELASTIC, TYPE=ISO, DEPENDENCIES=1"
3,ELASTIC,"2.050e+11, 0.23000, 25"
4,ELASTIC,"1.971e+11, 0.23000, 200"
5,ELASTIC,"1.881e+11, 0.23000, 400"
6,ELASTIC,"1.790e+11, 0.23000, 600"
7,ELASTIC,"1.700e+11, 0.23000, 800"
8,EXPANSION,"*EXPANSION, ZERO=25."
9,EXPANSION,"1.000000e-05, 25"
10,EXPANSION,"1.015806e-05, 200"
11,EXPANSION,"1.033871e-05, 400"
12,EXPANSION,"1.051935e-05, 600"
13,EXPANSION,"1.070000e-05, 800"
14,DEPVAR,*DEPVAR
15,DEPVAR,6
16,MATERIAL,"*MATERIAL, NAME=GDC"
17,ELASTIC,"*ELASTIC, TYPE=ISO, DEPENDENCIES=1"
18,ELASTIC,"1.900e+11, 0.24000, 25"
19,ELASTIC,"1.814e+11, 0.24226, 200"
20,ELASTIC,"1.716e+11, 0.24484, 400"
21,ELASTIC,"1.618e+11, 0.24742, 600"
22,ELASTIC,"1.520e+11, 0.25000, 800"
23,EXPANSION,"*EXPANSION, ZERO=25."
24,EXPANSION,"1.150000e-05, 25"
25,EXPANSION,"1.179355e-05, 200"
26,EXPANSION,"1.212903e-05, 400"
27,EXPANSION,"1.246452e-05, 600"
28,EXPANSION,"1.280000e-05, 800"
29,DEPVAR,*DEPVAR
30,DEPVAR,6
31,MATERIAL,"*MATERIAL, NAME=LSCF"
32,ELASTIC,"*ELASTIC, TYPE=ISO, DEPENDENCIES=1"
33,ELASTIC,"9.800e+10, 0.27000, 25"
34,ELASTIC,"9.213e+10, 0.27452, 200"
35,ELASTIC,"8.542e+10, 0.27968, 400"
36,ELASTIC,"7.871e+10, 0.28484, 600"
37,ELASTIC,"7.200e+10, 0.29000, 800"
38,EXPANSION,"*EXPANSION, ZERO=25."
39,EXPANSION,"1.480000e-05, 25"
40,EXPANSION,"1.516129e-05, 200"
41,EXPANSION,"1.557419e-05, 400"
42,EXPANSION,"1.598710e-05, 600"
43,EXPANSION,"1.640000e-05, 800"
44,DEPVAR,*DEPVAR
45,DEPVAR,6
