artifact_name,relative_path,bytes,generated_utc
01_geometric_microstructural_data.csv,csv/01_geometric_microstructural_data.csv,1475,2026-02-13T17:39:59.711557+00:00
01b_phase_distribution_statistics.csv,csv/01b_phase_distribution_statistics.csv,551,2026-02-13T17:39:59.711603+00:00
02_thermoelastic_continuum_data.csv,csv/02_thermoelastic_continuum_data.csv,2247,2026-02-13T17:39:59.711635+00:00
03_defect_chemical_expansion_data.csv,csv/03_defect_chemical_expansion_data.csv,935,2026-02-13T17:39:59.711663+00:00
03b_oxygen_nonstoichiometry_profiles.csv,csv/03b_oxygen_nonstoichiometry_profiles.csv,5218,2026-02-13T17:39:59.711689+00:00
04_fracture_cohesive_zone_data.csv,csv/04_fracture_cohesive_zone_data.csv,940,2026-02-13T17:39:59.711718+00:00
04b_cohesive_traction_separation_samples.csv,csv/04b_cohesive_traction_separation_samples.csv,42300,2026-02-13T17:39:59.711745+00:00
05a_validation_global_curvature.csv,csv/05a_validation_global_curvature.csv,4487,2026-02-13T17:39:59.711773+00:00
05b_validation_delamination_onset.csv,csv/05b_validation_delamination_onset.csv,1199,2026-02-13T17:39:59.711799+00:00
05c_validation_crack_path_morphology.csv,csv/05c_validation_crack_path_morphology.csv,593,2026-02-13T17:39:59.711826+00:00
06_parametric_sweep_matrix.csv,csv/06_parametric_sweep_matrix.csv,1372,2026-02-13T17:39:59.711854+00:00
07_abaqus_umat_material_blocks.csv,csv/07_abaqus_umat_material_blocks.csv,1511,2026-02-13T17:39:59.711881+00:00
08_abaqus_uel_property_blocks.csv,csv/08_abaqus_uel_property_blocks.csv,263,2026-02-13T17:39:59.711907+00:00
09_pre_simulation_qa_report.csv,csv/09_pre_simulation_qa_report.csv,415,2026-02-13T17:39:59.711933+00:00
figure_01_geometry_microstructure.png,figures/figure_01_geometry_microstructure.png,176668,2026-02-13T17:39:59.711961+00:00
figure_02_thermoelastic_inputs.png,figures/figure_02_thermoelastic_inputs.png,118120,2026-02-13T17:39:59.711989+00:00
figure_03_chemical_expansion.png,figures/figure_03_chemical_expansion.png,138649,2026-02-13T17:39:59.712016+00:00
figure_04_cohesive_laws.png,figures/figure_04_cohesive_laws.png,146364,2026-02-13T17:39:59.712042+00:00
figure_05_validation_targets.png,figures/figure_05_validation_targets.png,138746,2026-02-13T17:39:59.712068+00:00
figure_06_synthetic_rve_phase_map.png,figures/figure_06_synthetic_rve_phase_map.png,118647,2026-02-13T17:39:59.712095+00:00
