condition,depth_um,phase,sigma_11_MPa,sigma_22_MPa,sigma_33_MPa,hydrostatic_stress_MPa,von_mises_stress_MPa,youngs_modulus_GPa
as_sintered,0.0,Ni-YSZ,-136.32104558950283,-117.92473191265199,-83.16052279475142,-112.46876676563541,46.76011001003685,109.8
as_sintered,4.0201005025125625,Ni-YSZ,-147.39960457849034,-125.67972320494323,-88.69980228924517,-120.59304335755957,51.40493452290701,109.8
as_sintered,8.040201005025125,Ni-YSZ,-140.07895640077956,-120.5552694805457,-85.03947820038978,-115.22456802723836,48.331614610863625,109.8
as_sintered,12.060301507537687,Ni-YSZ,-161.79372124833995,-135.75560487383797,-95.89686062416997,-131.1487289154493,57.48521217501869,109.8
as_sintered,16.08040201005025,Ni-YSZ,-149.9576227147299,-127.47033590031093,-89.97881135736495,-122.46892332413525,52.482141213324326,109.8
as_sintered,20.100502512562812,Ni-YSZ,-158.841530749855,-133.6890715248985,-94.4207653749275,-128.98378921656033,56.23469162555445,109.8
as_sintered,24.120603015075375,Ni-YSZ,-148.6650997274899,-126.56556980924292,-89.33254986374494,-121.52107313349258,51.937647569961825,109.8
as_sintered,28.140703517587937,Ni-YSZ,-146.82735782164963,-125.27915047515475,-88.41367891082481,-120.1733957358764,51.16417749463434,109.8
as_sintered,32.1608040201005,Ni-YSZ,-157.0367666553825,-132.42573665876776,-93.51838332769125,-127.6602955472805,55.4710282998568,109.8
as_sintered,36.18090452261306,Ni-YSZ,-150.6068756151336,-127.9248129305935,-90.3034378075668,-122.94504211776463,52.7557979997648,109.8
as_sintered,40.201005025125625,Ni-YSZ,-139.49128779895713,-120.14390145926998,-84.74564389947857,-114.79361105256856,48.085567077944276,109.8
as_sintered,44.22110552763819,Ni-YSZ,-158.24478360305727,-133.27134852214007,-94.12239180152864,-128.546174642242,55.982115011858205,109.8
as_sintered,48.24120603015075,Ni-YSZ,-154.8094216476798,-130.86659515337587,-92.4047108238399,-126.0269092082985,54.529457267251566,109.8
as_sintered,52.26130653266331,Ni-YSZ,-145.37485065860324,-124.26239546102225,-87.68742532930162,-119.10822381630904,50.553453125033265,109.8
as_sintered,56.281407035175874,Ni-YSZ,-137.61415534525395,-118.82990874167777,-83.80707767262697,-113.41704725318623,47.300360591772154,109.8
as_sintered,60.30150753768844,Ni-YSZ,-140.01511432123448,-120.51058002486413,-85.00755716061724,-115.17775050223861,48.30487985388276,109.8
as_sintered,64.321608040201,Ni-YSZ,-153.60967701398053,-130.02677390978636,-91.80483850699027,-125.14709647691906,54.02271618325237,109.8
as_sintered,68.34170854271356,Ni-YSZ,-160.82662448736232,-135.07863714115362,-95.41331224368116,-130.4395246240657,57.075381165139405,109.8
as_sintered,72.36180904522612,Ni-YSZ,-153.93525552226427,-130.254678865585,-91.96762776113214,-125.38585404966045,54.16020164018078,109.8
as_sintered,76.38190954773869,Ni-YSZ,-135.92326401548334,-117.64628481083834,-82.96163200774167,-112.17706027802113,46.59403166630805,109.8
as_sintered,80.40201005025125,Ni-YSZ,-148.0334830366222,-126.12343812563553,-89.0167415183111,-121.05788756018961,51.67171750846211,109.8
as_sintered,84.42211055276381,Ni-YSZ,-139.27448148745918,-119.99213704122144,-84.63724074372959,-114.63461975747008,47.994820426989946,109.8
as_sintered,88.44221105527637,Ni-YSZ,-149.1237574402355,-126.88663020816485,-89.56187872011775,-121.85742212283937,52.130817650645895,109.8
as_sintered,92.46231155778894,Ni-YSZ,-149.04924373655288,-126.83447061558702,-89.52462186827644,-121.80277874013878,52.09943169999301,109.8
as_sintered,96.4824120603015,Ni-YSZ,-145.15497245588688,-124.1084807191208,-87.57748622794344,-118.9469798009837,50.46105078805439,109.8
as_sintered,100.50251256281406,Ni-YSZ,-146.38672357459726,-124.97070650221808,-88.19336178729863,-119.85026395470464,50.978849671368025,109.8
as_sintered,104.52261306532662,Ni-YSZ,-157.30839348077765,-132.61587543654434,-93.65419674038883,-127.85948855257028,55.585922754108225,109.8
as_sintered,108.54271356783919,Ni-YSZ,-130.4453563613678,-113.81174945295746,-80.2226781806839,-108.15992799833639,44.312639231701894,109.8
as_sintered,112.56281407035175,Ni-YSZ,-147.36421090703553,-125.65494763492487,-88.68210545351776,-120.56708799849271,51.390041210563496,109.8
as_sintered,116.58291457286431,Ni-YSZ,-150.38295269870406,-127.76806688909285,-90.19147634935203,-122.78083197904964,52.66140447181265,109.8
as_sintered,120.60301507537687,Ni-YSZ,-140.7879289385418,-121.05155025697925,-85.3939644692709,-115.74448122159731,48.62858915952973,109.8
as_sintered,124.62311557788944,Ni-YSZ,-138.96825954141204,-119.77778167898843,-84.48412977070602,-114.4100569970355,47.866672656882635,109.8
as_sintered,128.643216080402,Ni-YSZ,-155.7411160420469,-131.51878122943285,-92.87055802102346,-126.71015176416773,54.92319057928211,109.8
as_sintered,132.66331658291455,Ni-YSZ,-139.06432864737312,-119.84503005316118,-84.53216432368656,-114.4805076747403,47.906872525280406,109.8
