experiment_id,frequency_hz,distance_m,attenuation_coefficient_np_per_m,transmission_loss_db,insertion_loss_db,phase_velocity_ms,group_velocity_ms,quality_factor_q
EXP001,100,1.0,0.0823,0.714,1.02,1485.2,1482.1,125.3
EXP001,100,2.0,0.0856,1.483,2.11,1483.7,1480.9,122.8
EXP001,100,3.0,0.0891,2.317,3.28,1482.1,1479.6,120.1
EXP001,250,1.0,0.1045,0.907,1.29,1478.9,1474.2,98.7
EXP001,250,2.0,0.1089,1.886,2.68,1476.3,1471.8,95.2
EXP001,250,3.0,0.1134,2.942,4.18,1473.6,1469.3,91.6
EXP001,500,1.0,0.1456,1.264,1.80,1465.2,1458.1,71.4
EXP001,500,2.0,0.1518,2.630,3.74,1461.8,1454.2,68.5
EXP001,500,3.0,0.1582,4.107,5.84,1458.3,1450.1,65.4
EXP001,1000,1.0,0.2234,1.940,2.76,1442.7,1431.8,46.5
EXP001,1000,2.0,0.2329,4.037,5.74,1437.9,1426.2,44.6
EXP001,1000,3.0,0.2428,6.299,8.96,1432.8,1420.3,42.8
EXP002,100,1.0,0.0891,0.774,1.10,1483.1,1479.8,118.2
EXP002,100,2.0,0.0928,1.608,2.29,1481.4,1478.1,115.4
EXP002,100,3.0,0.0967,2.509,3.57,1479.6,1476.3,112.5
EXP002,250,1.0,0.1134,0.985,1.40,1475.7,1470.6,91.6
EXP002,250,2.0,0.1182,2.048,2.91,1472.8,1467.9,87.8
EXP002,250,3.0,0.1232,3.197,4.55,1469.8,1465.1,84.2
EXP003,100,1.0,0.1023,0.888,1.26,1479.2,1475.4,102.8
EXP003,100,2.0,0.1066,1.848,2.63,1477.1,1473.1,98.7
EXP003,100,3.0,0.1111,2.883,4.10,1474.9,1470.7,94.5
EXP003,250,1.0,0.1301,1.130,1.61,1470.3,1464.8,79.8
EXP003,250,2.0,0.1356,2.353,3.35,1467.1,1461.2,76.6
EXP003,250,3.0,0.1413,3.671,5.22,1463.8,1457.5,73.5
EXP003,500,1.0,0.1812,1.574,2.24,1452.6,1444.1,57.4
EXP003,500,2.0,0.1888,3.277,4.66,1448.7,1439.8,55.1
EXP003,500,3.0,0.1967,5.116,7.28,1444.6,1435.3,52.8
EXP004,100,1.0,0.1134,0.985,1.40,1475.7,1471.2,91.6
EXP004,100,2.0,0.1182,2.048,2.91,1472.8,1468.1,87.8
EXP004,100,3.0,0.1232,3.197,4.55,1469.8,1464.9,84.2
EXP004,250,1.0,0.1442,1.252,1.78,1464.9,1458.7,72.1
EXP004,250,2.0,0.1503,2.605,3.71,1461.3,1454.6,69.2
EXP004,250,3.0,0.1566,4.066,5.79,1457.6,1450.4,66.4
EXP005,100,1.0,0.1301,1.130,1.61,1470.3,1465.2,79.8
EXP005,100,2.0,0.1356,2.353,3.35,1467.1,1461.8,76.6
EXP005,100,3.0,0.1413,3.671,5.22,1463.8,1458.3,73.5
EXP005,250,1.0,0.1654,1.437,2.04,1455.2,1447.8,62.8
EXP005,250,2.0,0.1724,2.989,4.25,1451.1,1443.2,60.3
EXP005,250,3.0,0.1797,4.667,6.64,1446.8,1438.4,57.8
EXP005,1000,1.0,0.3567,3.100,4.41,1398.7,1382.1,29.1
EXP005,1000,2.0,0.3716,6.446,9.17,1392.4,1375.2,28.0
EXP005,1000,3.0,0.3871,10.064,14.32,1385.9,1368.1,26.8
EXP006,250,1.0,0.1797,1.562,2.22,1446.8,1438.9,57.8
EXP006,250,2.0,0.1872,3.246,4.62,1442.3,1434.1,55.5
EXP006,250,3.0,0.1950,5.069,7.21,1437.6,1429.1,53.3
EXP007,100,1.0,0.0745,0.647,0.92,1488.9,1486.1,139.4
EXP007,100,2.0,0.0776,1.346,1.91,1487.6,1484.7,133.8
EXP007,100,3.0,0.0808,2.098,2.98,1486.2,1483.2,128.5
EXP008,500,1.0,0.2234,1.940,2.76,1442.7,1433.8,46.5
EXP008,500,2.0,0.2329,4.037,5.74,1437.9,1428.2,44.6
EXP008,500,3.0,0.2428,6.299,8.96,1432.8,1422.3,42.8
EXP009,100,1.0,0.1566,1.361,1.94,1457.6,1452.1,66.4
EXP009,100,2.0,0.1632,2.833,4.03,1453.8,1447.9,63.7
EXP009,100,3.0,0.1701,4.423,6.29,1449.8,1443.5,61.1
EXP010,250,1.0,0.1232,1.070,1.52,1469.8,1464.3,84.2
EXP010,250,2.0,0.1284,2.226,3.17,1466.7,1460.8,80.9
EXP010,250,3.0,0.1338,3.471,4.94,1463.5,1457.2,77.7
