experiment_id,void_fraction,flow_pattern,frequency_hz,attenuation_coefficient_np_per_m,scattering_loss_np_per_m,viscous_loss_np_per_m,thermal_loss_np_per_m,interface_loss_np_per_m
EXP001,0.15,smooth_stratified,50,0.0512,0.0089,0.0234,0.0078,0.0111
EXP001,0.15,smooth_stratified,100,0.0823,0.0156,0.0378,0.0125,0.0164
EXP001,0.15,smooth_stratified,150,0.0945,0.0201,0.0434,0.0144,0.0166
EXP001,0.15,smooth_stratified,200,0.1012,0.0234,0.0465,0.0154,0.0159
EXP001,0.15,smooth_stratified,250,0.1045,0.0256,0.0481,0.0160,0.0148
EXP001,0.15,smooth_stratified,300,0.1089,0.0289,0.0501,0.0167,0.0132
EXP001,0.15,smooth_stratified,400,0.1234,0.0378,0.0568,0.0189,0.0099
EXP001,0.15,smooth_stratified,500,0.1456,0.0489,0.0671,0.0223,0.0073
EXP001,0.15,smooth_stratified,750,0.1823,0.0734,0.0841,0.0280,0.0032
EXP001,0.15,smooth_stratified,1000,0.2234,0.1012,0.1023,0.0341,0.0142
EXP001,0.15,smooth_stratified,1500,0.3012,0.1567,0.1334,0.0445,0.0334
EXP001,0.15,smooth_stratified,2000,0.3789,0.2123,0.1645,0.0548,0.0473
EXP003,0.22,wavy_stratified,50,0.0634,0.0134,0.0289,0.0096,0.0115
EXP003,0.22,wavy_stratified,100,0.1023,0.0234,0.0467,0.0155,0.0167
EXP003,0.22,wavy_stratified,150,0.1178,0.0301,0.0537,0.0179,0.0161
EXP003,0.22,wavy_stratified,200,0.1267,0.0351,0.0576,0.0192,0.0148
EXP003,0.22,wavy_stratified,250,0.1301,0.0384,0.0594,0.0198,0.0125
EXP003,0.22,wavy_stratified,300,0.1356,0.0434,0.0619,0.0206,0.0097
EXP003,0.22,wavy_stratified,400,0.1534,0.0567,0.0701,0.0233,0.0033
EXP003,0.22,wavy_stratified,500,0.1812,0.0734,0.0829,0.0276,0.0027
EXP003,0.22,wavy_stratified,750,0.2289,0.1167,0.1045,0.0348,0.0271
EXP003,0.22,wavy_stratified,1000,0.2812,0.1634,0.1267,0.0422,0.0489
EXP003,0.22,wavy_stratified,1500,0.3823,0.2567,0.1656,0.0552,0.0748
EXP003,0.22,wavy_stratified,2000,0.4834,0.3501,0.2045,0.0681,0.0607
EXP005,0.30,wavy_stratified,50,0.0823,0.0201,0.0378,0.0126,0.0118
EXP005,0.30,wavy_stratified,100,0.1301,0.0356,0.0594,0.0198,0.0153
EXP005,0.30,wavy_stratified,150,0.1501,0.0459,0.0686,0.0228,0.0128
EXP005,0.30,wavy_stratified,200,0.1612,0.0535,0.0736,0.0245,0.0096
EXP005,0.30,wavy_stratified,250,0.1654,0.0585,0.0756,0.0252,0.0061
EXP005,0.30,wavy_stratified,300,0.1724,0.0661,0.0787,0.0262,0.0014
EXP005,0.30,wavy_stratified,400,0.1956,0.0864,0.0893,0.0298,0.0099
EXP005,0.30,wavy_stratified,500,0.2312,0.1118,0.1056,0.0352,0.0214
EXP005,0.30,wavy_stratified,750,0.2934,0.1778,0.1334,0.0445,0.0623
EXP005,0.30,wavy_stratified,1000,0.3567,0.2501,0.1623,0.0541,0.0902
EXP005,0.30,wavy_stratified,1500,0.4889,0.3934,0.2123,0.0708,0.1124
EXP005,0.30,wavy_stratified,2000,0.6212,0.5367,0.2623,0.0874,0.1348
EXP007,0.12,smooth_stratified,50,0.0423,0.0067,0.0194,0.0065,0.0097
EXP007,0.12,smooth_stratified,100,0.0745,0.0123,0.0341,0.0113,0.0168
EXP007,0.12,smooth_stratified,150,0.0856,0.0159,0.0392,0.0130,0.0175
EXP007,0.12,smooth_stratified,200,0.0919,0.0185,0.0421,0.0140,0.0173
EXP007,0.12,smooth_stratified,250,0.0945,0.0203,0.0433,0.0144,0.0165
EXP007,0.12,smooth_stratified,300,0.0989,0.0230,0.0453,0.0151,0.0155
EXP007,0.12,smooth_stratified,400,0.1123,0.0301,0.0514,0.0171,0.0137
EXP007,0.12,smooth_stratified,500,0.1334,0.0389,0.0611,0.0203,0.0131
EXP007,0.12,smooth_stratified,750,0.1678,0.0619,0.0768,0.0256,0.0035
EXP007,0.12,smooth_stratified,1000,0.2056,0.0878,0.0941,0.0314,0.0077
EXP007,0.12,smooth_stratified,1500,0.2789,0.1367,0.1278,0.0426,0.0282
EXP007,0.12,smooth_stratified,2000,0.3523,0.1856,0.1615,0.0538,0.0486
EXP009,0.45,wavy_stratified,50,0.1123,0.0301,0.0514,0.0171,0.0137
EXP009,0.45,wavy_stratified,100,0.1566,0.0501,0.0716,0.0238,0.0111
EXP009,0.45,wavy_stratified,150,0.1789,0.0645,0.0818,0.0272,0.0054
EXP009,0.45,wavy_stratified,200,0.1923,0.0751,0.0879,0.0293,0.0000
EXP009,0.45,wavy_stratified,250,0.1989,0.0823,0.0909,0.0303,0.0046
EXP009,0.45,wavy_stratified,300,0.2078,0.0923,0.0950,0.0317,0.0112
EXP009,0.45,wavy_stratified,400,0.2356,0.1201,0.1077,0.0359,0.0281
EXP009,0.45,wavy_stratified,500,0.2789,0.1556,0.1278,0.0426,0.0471
EXP009,0.45,wavy_stratified,750,0.3567,0.2478,0.1634,0.0545,0.0910
EXP009,0.45,wavy_stratified,1000,0.4345,0.3401,0.1989,0.0663,0.1292
EXP009,0.45,wavy_stratified,1500,0.5989,0.5334,0.2745,0.0915,0.1995
EXP009,0.45,wavy_stratified,2000,0.7634,0.7267,0.3501,0.1167,0.2699
