sample_id,phase,npz,fuel_utilization,inlet_temperature_K,average_current_Apcm2,anode_inlet_h2_fraction,cathode_inlet_o2_fraction,anode_flow_sccm,cathode_flow_sccm,anode_thickness_um,electrolyte_thickness_um,cathode_thickness_um,anode_porosity,cathode_porosity,cycles,has_mf,has_hf,fidelity
0,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000000.npz,0.7291227359607648,1039.1275211529392,0.9953615899718078,0.6020232102326546,0.2238249071947489,479.014562152213,742.5302026986936,765.7998202481779,17.4799577785796,56.21218143364567,0.3222409332634159,0.4150672432972512,2477.0,False,False,LF
1,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000001.npz,0.7060994016264135,1076.474266375364,0.6702105980569699,0.6977929417037139,0.18172804902495812,1050.1354191563287,2493.4560093213004,697.7988260679102,8.708229300219177,33.26436004704676,0.27424663396277943,0.4039702505941367,199.0,False,False,LF
2,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000002.npz,0.6691368828265309,1115.9962339372814,0.6475486000277267,0.4187630835444429,0.23061666322516255,448.1541451074578,2423.472554263649,633.2434599014789,13.855942121587143,40.094563936126356,0.34086908847498637,0.3793622100208978,1108.0,True,False,LF
3,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000003.npz,0.6517730141620737,1007.8314337426045,0.6519863883585277,0.4865762074903788,0.2174578093247868,376.8561463338643,2678.7793825763415,653.0402877306648,10.23753449348736,77.63698472797941,0.3438951052232544,0.32792493601287104,868.0,False,False,LF
4,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000004.npz,0.6558778117657103,1072.6938474687367,0.23250833622731773,0.7961827029373096,0.19152055617576647,1031.9674892411717,905.6170044159088,874.0320563215294,7.019848528428499,54.23025832403732,0.39775986372358335,0.25092983396895485,173.0,False,False,LF
5,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000005.npz,0.8806473268874875,1058.8737563593377,1.3734251352105118,0.7018522776590637,0.23016319839554422,756.702249589415,1813.5211726405598,333.52051750339353,14.108095736547426,35.586741915136066,0.3541880302837611,0.34241020261031574,1023.0,True,False,LF
6,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000006.npz,0.6518759339860917,1025.9590698687864,1.1689503044576544,0.5506365653704445,0.2176039167588228,663.0901298014913,2123.9040167944786,630.920822508445,17.884507759032992,50.75609679765496,0.33878826131277456,0.2936472524640229,1102.0,False,False,LF
7,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000007.npz,0.6211426504208191,980.2065210398908,0.7394933543632072,0.6681579377054193,0.17866199045223813,735.1688175967466,2794.6705209207025,998.306400499598,18.805249238167576,66.49649128796169,0.29801624355199896,0.2855099846951794,330.0,False,False,LF
8,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000008.npz,0.8100599057442686,1074.7043047055452,0.914835136734897,0.5378768605837934,0.21403886988430137,1036.9390947306447,741.9744801961299,842.050086046654,5.507012870650296,51.88759431007902,0.2545096932853608,0.40780110165542344,2379.0,False,False,LF
9,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000009.npz,0.6734453938231175,987.0194899742175,1.4429096943819966,0.565897752955638,0.19390633802330665,430.4968776748011,596.7776817613602,544.4664594690232,6.704623497270248,59.121249168189024,0.40037569829185193,0.3645415818062608,1106.0,False,False,LF
10,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000010.npz,0.8352081943795604,996.65687668298,0.5927414883729382,0.797690489683822,0.20102212391541247,290.2394825300261,1442.0477750209477,449.31326786732063,19.175021948153613,68.12217784605282,0.4090751095297392,0.414821659871779,2833.0,True,True,LF
11,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000011.npz,0.783038765258061,1039.022690602892,0.2442453793281814,0.6789055780487729,0.23653308474624044,483.50021539160986,1695.057031066018,809.8612342994144,6.4307966176331615,38.50503824063258,0.4171611074009126,0.2580950655744487,1916.0,False,False,LF
12,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000012.npz,0.6916022617064738,1027.310495272948,0.22911865510106078,0.4946325783658345,0.2275295816613938,760.0290331919254,953.39594044502,986.3635894842994,17.33345267400134,45.164523128443825,0.3845303469380812,0.3236671823517484,1583.0,False,False,LF
13,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000013.npz,0.6940452719485395,1121.0723085957109,0.4736113292358709,0.47000311503662445,0.2382877874332891,273.58278707947363,1548.6470957375177,907.1481901662916,16.057579236529754,76.78527721125076,0.3386752724593038,0.40244687694248493,460.0,False,False,LF
14,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000014.npz,0.7260001850692455,1048.0086073193695,1.2389801274263703,0.40758900329032977,0.20557309799396245,564.4884660766132,2722.971348520127,398.6533748960422,8.932185498251867,34.58353218795247,0.4033051569792657,0.3583586163485285,771.0,True,False,LF
15,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000015.npz,0.7373316913142346,1004.0006133651498,0.7870206866168974,0.5055786495689615,0.23143645798379492,899.348374313201,1425.3449245799038,696.9507659427936,16.9640896281035,52.32229958106177,0.37046213354809326,0.26327064788046917,1226.0,True,False,LF
16,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000016.npz,0.8108735495622995,1003.7551791955078,0.7211807107905976,0.7277814024961688,0.19341525904546045,764.5339651251194,924.6853101591969,571.2872366675604,8.644987543515029,40.71649806915594,0.43663896202732266,0.44586228999317123,1829.0,True,True,LF
17,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000017.npz,0.6670135213039545,1015.4278233121752,0.34412592616406956,0.5664549433165325,0.24076057533458278,899.7693536604963,532.115654258856,695.1292943928493,10.73452784119021,49.44182139041071,0.3159483651444103,0.39516615365962354,673.0,False,False,LF
18,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000018.npz,0.7572278872914251,1057.6195098352532,1.4942705533320697,0.608573533586082,0.21216745893107958,732.1734520567593,678.8467951405512,303.1914368800662,14.798659640037302,58.80296507809253,0.35214056990422865,0.356920603603634,2238.0,True,False,LF
19,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000019.npz,0.6248515466987665,1005.3777366409254,0.379331228759783,0.6306727148693377,0.2173333219223132,1154.7148090565067,2260.1041477066447,659.4534757243255,11.210350618180376,45.613614594636445,0.2986491196202603,0.3748639916343406,2827.0,False,False,LF
20,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000020.npz,0.8916030695948449,989.9079645525434,0.9482660533264131,0.7219055648386354,0.18188977230640535,357.0788733707861,815.7594885096287,913.1632061987124,6.2917291223471725,41.01570924091138,0.4462132094187289,0.36036641423771604,2309.0,False,False,LF
21,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000021.npz,0.8517946387947534,1089.8194046173753,0.4327519568890674,0.677797927403201,0.23701256358364625,710.6112970668062,1749.1746476574403,844.9045932700511,15.741272242501724,69.05915040581786,0.413527387153371,0.40169676512333463,2280.0,True,False,LF
22,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000022.npz,0.7899382663559532,1012.5482652021698,0.8616400660827168,0.795985981889746,0.2120533104430831,745.1253846749727,2189.9888676707687,723.3501373831414,8.349804235163866,77.53041490560392,0.30163389249621714,0.3680090829817992,1259.0,False,False,LF
23,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000023.npz,0.7532911198521844,1024.63480013951,0.9313085816649864,0.7786231254435432,0.1878354783513846,495.36958509668153,543.5410324021312,567.8214529777777,11.572518248931118,60.77011055437487,0.26666784133329025,0.35165671848070557,2248.0,True,True,LF
24,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000024.npz,0.6093787011314424,1021.3657003156998,0.7147824310184818,0.4577045157260953,0.23924587083883905,997.7271627436277,1094.3185511755478,606.9755217546754,15.794733804997712,30.4592228579757,0.30302084176049526,0.26757196159411956,1072.0,False,False,LF
25,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000025.npz,0.7753602094054759,996.0758755408028,0.6037648271496193,0.7912708382240068,0.20361537568682347,344.32736164192465,1369.724881549376,536.8111275825462,6.409398637619455,76.64252803777538,0.39726018369868554,0.37688858536834174,2069.0,False,False,LF
26,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000026.npz,0.8521552074328892,1032.1412046713845,0.336580299807769,0.5146303452847458,0.21560915994388885,232.35754963336558,1117.9971318763453,512.7433178311758,15.44747016794929,44.98992155400179,0.4218647461990066,0.31724305520337115,2802.0,False,False,LF
27,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000027.npz,0.8638834164812363,987.5429641546731,0.7743421745961803,0.6084005241387718,0.20989089638166025,497.84123010799556,2614.122861236522,400.4255255123867,15.482922701588238,43.538982467635286,0.28433507260356217,0.26106780538990837,1415.0,False,False,LF
28,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000028.npz,0.7831131022769778,984.6541932790844,1.1085110425750915,0.6084279605883072,0.180585668414829,1154.8456502860495,1661.476402969128,680.33727299316,12.365357796109855,77.27846625381974,0.3014119982450008,0.32869082995127713,985.0,True,False,LF
29,LF,/workspace/data/sofc_mf_dataset_demo/lf/sample_000029.npz,0.8654088995575817,1055.3146424598792,0.3760335650821407,0.47834853379045644,0.24258318897379724,1152.4831487788983,1487.445796539485,586.0082229746887,14.874412238884645,41.922808944751296,0.32684246164532893,0.4352017486746575,146.0,False,False,LF
