material_id,material_name,material_category,epd_program,epd_valid_from,epd_valid_until,functional_unit,density_kg_m3,gwp_kg_co2e_m3,odp_kg_cfc11e_m3,pocp_kg_ethene_m3,ap_kg_so2e_m3,ep_kg_po4e_m3,adp_kg_sbe_m3,renewable_energy_percent,recycled_content_percent,recyclability_percent
EPD_CONCRETE_7654,concrete,concrete,EN 15804,2020-10-01,2025-09-01,1 m³,2355.15,177.411,8.1e-05,0.494,1.096,0.338,0.0103,42.7,42.5,92.5
EPD_STEEL_7153,steel,steel,ISO 14025,2020-09-01,2025-03-01,1 m³,8261.08,1196.164,0.000466,1.894,6.403,1.598,0.0492,20.7,35.6,87.1
EPD_BRICK_6946,brick,brick,EN 15804,2020-11-01,2025-08-01,1 m³,1836.8,144.627,4.6e-05,0.253,0.885,0.183,0.0053,31.8,24.8,77.5
EPD_WOOD_8234,wood,wood,ASTM E2129,2020-10-01,2025-11-01,1 m³,514.66,-51.319,1e-05,0.097,0.293,0.042,0.0009,54.6,22.3,77.9
EPD_GLASS_5649,glass,glass,EcoPlatform,2020-02-01,2025-10-01,1 m³,2515.71,454.652,0.000204,1.069,2.04,0.328,0.0236,69.2,35.4,78.8
EPD_INSULATION_3144,insulation,insulation,ISO 14025,2020-09-01,2025-10-01,1 m³,46.41,16.227,9e-06,0.059,0.119,0.019,0.001,13.0,19.6,64.2
EPD_ROOFING_8949,roofing,roofing,EcoPlatform,2020-06-01,2025-10-01,1 m³,972.13,97.339,8.5e-05,0.519,0.804,0.227,0.0088,66.8,31.8,86.6
EPD_FLOORING_6725,flooring,flooring,UL Environment,2020-12-01,2025-09-01,1 m³,908.98,88.061,0.000106,0.539,0.877,0.182,0.0099,68.3,6.9,82.4
EPD_PAINT_3388,paint,paint,UL Environment,2020-09-01,2025-07-01,1 m³,914.38,113.141,9.7e-05,0.469,1.14,0.199,0.0103,27.2,16.2,66.0
EPD_ADHESIVE_4554,adhesive,adhesive,EN 15804,2020-04-01,2025-11-01,1 m³,902.43,101.072,0.000105,0.455,0.923,0.166,0.0116,36.0,10.5,75.7
EPD_SEALANT_7848,sealant,sealant,EN 15804,2020-08-01,2025-05-01,1 m³,926.69,95.653,8.9e-05,0.538,0.993,0.24,0.0111,42.1,8.8,94.8
