building_id,retrofit_scenario,gwp_reduction_percent,energy_reduction_percent,retrofit_cost_eur_m2,payback_period_years,co2_savings_kg_co2e_m2,energy_savings_kwh_m2,renewable_energy_addition_percent,material_recycling_percent
B001,no_retrofit,0.0,0.0,0.0,,0.0,0.0,9.6,66.3
B001,light_retrofit,13.04,23.97,41.69,14.5,130.39,47.95,24.4,73.2
B001,deep_retrofit,30.02,50.77,142.61,23.4,300.2,101.53,45.4,79.5
B001,comprehensive_retrofit,67.01,75.36,276.44,30.6,670.07,150.72,28.0,74.6
B002,no_retrofit,0.0,0.0,0.0,,0.0,0.0,5.3,62.1
B002,light_retrofit,12.87,17.19,59.01,28.6,128.71,34.38,31.7,83.9
B002,deep_retrofit,33.22,36.54,143.13,32.6,332.2,73.07,49.8,60.1
B002,comprehensive_retrofit,62.7,77.21,351.98,38.0,626.99,154.42,47.7,71.8
B003,no_retrofit,0.0,0.0,0.0,,0.0,0.0,33.3,67.9
B003,light_retrofit,17.7,23.78,49.14,17.2,177.03,47.57,26.6,87.2
B003,deep_retrofit,30.04,37.92,146.73,32.2,300.44,75.84,10.1,69.9
B003,comprehensive_retrofit,63.91,73.63,326.5,37.0,639.13,147.26,14.5,63.9
B004,no_retrofit,0.0,0.0,0.0,,0.0,0.0,20.4,69.5
B004,light_retrofit,12.08,18.98,49.37,21.7,120.81,37.96,20.3,74.5
B004,deep_retrofit,35.54,51.58,162.17,26.2,355.43,103.16,23.9,78.1
B004,comprehensive_retrofit,68.57,73.55,249.79,28.3,685.7,147.1,34.4,75.8
B005,no_retrofit,0.0,0.0,0.0,,0.0,0.0,35.2,72.2
B005,light_retrofit,17.88,23.76,52.29,18.3,178.76,47.51,43.3,72.9
B005,deep_retrofit,39.55,48.7,148.79,25.5,395.47,97.39,36.0,85.1
B005,comprehensive_retrofit,68.11,80.36,335.55,34.8,681.13,160.72,49.7,89.3
B006,no_retrofit,0.0,0.0,0.0,,0.0,0.0,10.8,64.8
B006,light_retrofit,17.23,21.54,40.55,15.7,172.31,43.08,37.7,81.2
B006,deep_retrofit,29.69,51.18,154.03,25.1,296.92,102.36,44.7,72.8
B006,comprehensive_retrofit,56.35,67.31,240.92,29.8,563.48,134.61,32.3,71.9
B007,no_retrofit,0.0,0.0,0.0,,0.0,0.0,3.2,81.3
B007,light_retrofit,13.61,16.5,57.91,29.2,136.09,33.0,9.0,70.7
B007,deep_retrofit,36.96,36.49,174.07,39.8,369.63,72.98,41.8,81.3
B007,comprehensive_retrofit,70.14,68.46,338.23,41.2,701.36,136.92,13.9,71.3
B008,no_retrofit,0.0,0.0,0.0,,0.0,0.0,21.0,64.1
B008,light_retrofit,16.38,18.06,58.56,27.0,163.76,36.11,3.0,84.4
B008,deep_retrofit,41.45,39.64,166.9,35.1,414.47,79.28,19.0,84.1
B008,comprehensive_retrofit,54.32,78.95,287.32,30.3,543.24,157.9,48.4,67.9
B009,no_retrofit,0.0,0.0,0.0,,0.0,0.0,49.1,61.2
B009,light_retrofit,16.79,20.57,57.66,23.4,167.85,41.13,8.1,64.1
B009,deep_retrofit,28.78,49.01,144.31,24.5,287.85,98.02,37.4,63.1
B009,comprehensive_retrofit,48.64,69.11,322.59,38.9,486.43,138.21,18.4,81.5
B010,no_retrofit,0.0,0.0,0.0,,0.0,0.0,45.5,82.8
B010,light_retrofit,15.22,21.84,47.51,18.1,152.21,43.69,5.9,69.9
B010,deep_retrofit,40.48,38.99,177.98,38.0,404.82,77.97,31.6,70.4
B010,comprehensive_retrofit,63.21,64.27,359.67,46.6,632.13,128.54,0.9,74.9
