temperature,heat_flow_mW_mg,cumulative_heat
25,-0.9121724966700793,-0.9121724966700793
26,-1.1289251934998628,-2.0410976901699422
27,0.4338997533135835,-1.6071979368563587
28,-0.69533382859396,-2.302531765450319
29,-1.7039089525008513,-4.00644071795117
30,0.7618153231018003,-3.2446253948493697
31,-0.4540984175376294,-3.698723812386999
32,-0.19525576130170685,-3.893979573688706
33,0.8099999269724136,-3.0839796467162923
34,-1.7638988309079813,-4.847878477624274
35,0.256135753552827,-4.591742724071447
36,-0.35331988971396633,-4.945062613785414
37,0.014100791233896959,-4.930961822551517
38,-1.517236805134651,-6.448198627686168
39,-0.8007342088361813,-7.248932836522349
40,0.5646610553315623,-6.684271781190787
41,-0.22613112888691075,-6.910402910077697
42,-2.2217629389485216,-9.132165849026219
43,-0.40500368363670447,-9.537169532662924
44,-0.8846981265376486,-10.421867659200572
45,0.24489221004122907,-10.176975449159343
46,-1.6882000109596071,-11.86517546011895
47,-1.4971594171961777,-13.362334877315128
48,-0.5256815398356112,-13.88801641715074
49,-1.922637362543926,-15.810653779694665
50,0.10044154211825451,-15.71021223757641
51,-2.813854766992849,-18.52406700456926
52,-2.6513245887209784,-21.17539159329024
53,-0.9659920288558667,-22.141383622146105
54,-2.7792342436114454,-24.92061786575755
55,-4.2827864416214885,-29.20340430737904
56,-3.628115784348128,-32.831520091727164
57,-3.2502907562913443,-36.081810848018506
58,-3.3888837882522003,-39.47069463627071
59,-2.7932433121951106,-42.263937948465816
60,-5.206879065828501,-47.47081701429432
61,-4.0822657480662485,-51.55308276236057
62,-4.069944435609102,-55.62302719796967
63,-2.8761014451999234,-58.49912864316959
64,-4.122009259483976,-62.621137902653565
65,-5.199275857714578,-67.82041376036814
66,-6.600647924092722,-74.42106168446087
67,-4.928964733977229,-79.35002641843809
68,-6.253835121812008,-85.6038615402501
69,-6.40695148307575,-92.01081302332584
70,-8.628533919972712,-100.63934694329855
71,-8.335898331273832,-108.97524527457239
72,-8.830150613597505,-117.8053958881699
73,-10.313309462252045,-128.11870535042195
74,-9.455047183819932,-137.5737525342419
75,-10.868148860294868,-148.44190139453676
76,-11.508443510569327,-159.95034490510608
77,-10.896818338629295,-170.84716324373537
78,-11.181335462421991,-182.02849870615736
79,-13.754628252556573,-195.78312695871395
80,-13.017693615884243,-208.8008205745982
81,-13.167102449680714,-221.96792302427892
82,-14.044503769972337,-236.01242679425127
83,-16.55577059383087,-252.56819738808213
84,-14.589230510623212,-267.15742789870535
85,-16.554278608477407,-283.7117065071828
86,-17.88870971259569,-301.6004162197785
87,-16.33928905270745,-317.9397052724859
88,-17.685209676489276,-335.6249149489752
89,-18.331520519935786,-353.95643546891097
90,-19.143385803483326,-373.0998212723943
91,-17.82960334582555,-390.92942461821985
92,-19.503871324737073,-410.43329594295693
93,-19.01213105064962,-429.44542699360653
94,-21.010511938352106,-450.45593893195866
95,-19.653677994048053,-470.1096169260067
96,-19.493306009482872,-489.6029229354896
97,-20.01935722835687,-509.6222801638464
98,-19.625264742406554,-529.247544906253
