mix_id,age_days,state,specimen_id,density_kg_m3
CTRL_0,7,ssd,CTRL_0_dens_ssd_7d_1,2341.4
CTRL_0,7,ssd,CTRL_0_dens_ssd_7d_2,2360.6
CTRL_0,7,ssd,CTRL_0_dens_ssd_7d_3,2372.7
CTRL_0,7,oven_dry,CTRL_0_dens_oven_dry_7d_1,2300.4
CTRL_0,7,oven_dry,CTRL_0_dens_oven_dry_7d_2,2317.5
CTRL_0,7,oven_dry,CTRL_0_dens_oven_dry_7d_3,2293.9
CTRL_0,28,ssd,CTRL_0_dens_ssd_28d_1,2379.0
CTRL_0,28,ssd,CTRL_0_dens_ssd_28d_2,2377.6
CTRL_0,28,ssd,CTRL_0_dens_ssd_28d_3,2383.1
CTRL_0,28,oven_dry,CTRL_0_dens_oven_dry_28d_1,2312.5
CTRL_0,28,oven_dry,CTRL_0_dens_oven_dry_28d_2,2336.6
CTRL_0,28,oven_dry,CTRL_0_dens_oven_dry_28d_3,2309.6
RUB_5,7,ssd,RUB_5_dens_ssd_7d_1,2360.1
RUB_5,7,ssd,RUB_5_dens_ssd_7d_2,2349.1
RUB_5,7,ssd,RUB_5_dens_ssd_7d_3,2354.0
RUB_5,7,oven_dry,RUB_5_dens_oven_dry_7d_1,2295.0
RUB_5,7,oven_dry,RUB_5_dens_oven_dry_7d_2,2283.5
RUB_5,7,oven_dry,RUB_5_dens_oven_dry_7d_3,2302.9
RUB_5,28,ssd,RUB_5_dens_ssd_28d_1,2374.8
RUB_5,28,ssd,RUB_5_dens_ssd_28d_2,2371.4
RUB_5,28,ssd,RUB_5_dens_ssd_28d_3,2376.6
RUB_5,28,oven_dry,RUB_5_dens_oven_dry_28d_1,2316.5
RUB_5,28,oven_dry,RUB_5_dens_oven_dry_28d_2,2314.5
RUB_5,28,oven_dry,RUB_5_dens_oven_dry_28d_3,2311.6
RUB_10,7,ssd,RUB_10_dens_ssd_7d_1,2339.0
RUB_10,7,ssd,RUB_10_dens_ssd_7d_2,2352.0
RUB_10,7,ssd,RUB_10_dens_ssd_7d_3,2334.1
RUB_10,7,oven_dry,RUB_10_dens_oven_dry_7d_1,2283.1
RUB_10,7,oven_dry,RUB_10_dens_oven_dry_7d_2,2296.9
RUB_10,7,oven_dry,RUB_10_dens_oven_dry_7d_3,2285.1
RUB_10,28,ssd,RUB_10_dens_ssd_28d_1,2373.2
RUB_10,28,ssd,RUB_10_dens_ssd_28d_2,2367.4
RUB_10,28,ssd,RUB_10_dens_ssd_28d_3,2368.3
RUB_10,28,oven_dry,RUB_10_dens_oven_dry_28d_1,2305.1
RUB_10,28,oven_dry,RUB_10_dens_oven_dry_28d_2,2297.1
RUB_10,28,oven_dry,RUB_10_dens_oven_dry_28d_3,2310.7
RUB_15,7,ssd,RUB_15_dens_ssd_7d_1,2339.1
RUB_15,7,ssd,RUB_15_dens_ssd_7d_2,2335.9
RUB_15,7,ssd,RUB_15_dens_ssd_7d_3,2327.6
RUB_15,7,oven_dry,RUB_15_dens_oven_dry_7d_1,2274.5
RUB_15,7,oven_dry,RUB_15_dens_oven_dry_7d_2,2270.8
RUB_15,7,oven_dry,RUB_15_dens_oven_dry_7d_3,2275.6
RUB_15,28,ssd,RUB_15_dens_ssd_28d_1,2361.5
RUB_15,28,ssd,RUB_15_dens_ssd_28d_2,2355.6
RUB_15,28,ssd,RUB_15_dens_ssd_28d_3,2355.5
RUB_15,28,oven_dry,RUB_15_dens_oven_dry_28d_1,2308.5
RUB_15,28,oven_dry,RUB_15_dens_oven_dry_28d_2,2306.6
RUB_15,28,oven_dry,RUB_15_dens_oven_dry_28d_3,2298.5
