rubber_id,wavenumber_cm_1,absorbance_AU
CR_1_4mm,4000,0.0443
CR_1_4mm,3996,0.0549
CR_1_4mm,3992,0.043
CR_1_4mm,3988,0.0596
CR_1_4mm,3984,0.0547
CR_1_4mm,3980,0.0591
CR_1_4mm,3976,0.0443
CR_1_4mm,3972,0.049
CR_1_4mm,3968,0.0484
CR_1_4mm,3964,0.0565
CR_1_4mm,3960,0.0519
CR_1_4mm,3956,0.0557
CR_1_4mm,3952,0.0416
CR_1_4mm,3948,0.0549
CR_1_4mm,3944,0.0578
CR_1_4mm,3940,0.0594
CR_1_4mm,3936,0.0535
CR_1_4mm,3932,0.05
CR_1_4mm,3928,0.0594
CR_1_4mm,3924,0.0403
CR_1_4mm,3920,0.0482
CR_1_4mm,3916,0.0463
CR_1_4mm,3912,0.0458
CR_1_4mm,3908,0.0517
CR_1_4mm,3904,0.0594
CR_1_4mm,3900,0.0458
CR_1_4mm,3896,0.0408
CR_1_4mm,3892,0.0498
CR_1_4mm,3888,0.042
CR_1_4mm,3884,0.051
CR_1_4mm,3880,0.0497
CR_1_4mm,3876,0.057
CR_1_4mm,3872,0.0509
CR_1_4mm,3868,0.0497
CR_1_4mm,3864,0.045
CR_1_4mm,3860,0.0402
CR_1_4mm,3856,0.0581
CR_1_4mm,3852,0.0531
CR_1_4mm,3848,0.0524
CR_1_4mm,3844,0.0412
CR_1_4mm,3840,0.059
CR_1_4mm,3836,0.0447
CR_1_4mm,3832,0.0414
CR_1_4mm,3828,0.0534
CR_1_4mm,3824,0.0437
CR_1_4mm,3820,0.0465
CR_1_4mm,3816,0.05
CR_1_4mm,3812,0.0484
CR_1_4mm,3808,0.0473
CR_1_4mm,3804,0.0404
CR_1_4mm,3800,0.0575
CR_1_4mm,3796,0.04
CR_1_4mm,3792,0.0483
CR_1_4mm,3788,0.0542
CR_1_4mm,3784,0.0559
CR_1_4mm,3780,0.0541
CR_1_4mm,3776,0.0479
CR_1_4mm,3772,0.0596
CR_1_4mm,3768,0.0596
CR_1_4mm,3764,0.0404
CR_1_4mm,3760,0.0566
CR_1_4mm,3756,0.0538
CR_1_4mm,3752,0.0441
CR_1_4mm,3748,0.0531
CR_1_4mm,3744,0.0574
CR_1_4mm,3740,0.0464
CR_1_4mm,3736,0.0541
CR_1_4mm,3732,0.0447
CR_1_4mm,3728,0.0577
CR_1_4mm,3724,0.0555
CR_1_4mm,3720,0.0433
CR_1_4mm,3716,0.0547
CR_1_4mm,3712,0.0515
CR_1_4mm,3708,0.0453
CR_1_4mm,3704,0.0455
CR_1_4mm,3700,0.044
CR_1_4mm,3696,0.0442
CR_1_4mm,3692,0.0496
CR_1_4mm,3688,0.0478
CR_1_4mm,3684,0.0467
CR_1_4mm,3680,0.0579
CR_1_4mm,3676,0.0423
CR_1_4mm,3672,0.0548
CR_1_4mm,3668,0.0427
CR_1_4mm,3664,0.0523
CR_1_4mm,3660,0.0407
CR_1_4mm,3656,0.0544
CR_1_4mm,3652,0.0504
CR_1_4mm,3648,0.0545
CR_1_4mm,3644,0.0449
CR_1_4mm,3640,0.0459
CR_1_4mm,3636,0.0403
CR_1_4mm,3632,0.0509
CR_1_4mm,3628,0.0417
CR_1_4mm,3624,0.0409
CR_1_4mm,3620,0.0542
CR_1_4mm,3616,0.0583
CR_1_4mm,3612,0.0582
CR_1_4mm,3608,0.055
CR_1_4mm,3604,0.0416
CR_1_4mm,3600,0.0432
CR_1_4mm,3596,0.0551
