mix_id,pore_diameter_um,dV_dlogD_mm3_per_g,cumulative_intrusion_mm3_per_g,total_porosity_pct_estimate
CTRL_0,0.01,3e-06,3e-06,11.51
CTRL_0,0.0106,5e-06,8e-06,11.51
CTRL_0,0.01123,8e-06,1.6e-05,11.51
CTRL_0,0.0119,1.2e-05,2.8e-05,11.51
CTRL_0,0.01261,2e-05,4.8e-05,11.51
CTRL_0,0.01337,3e-05,7.8e-05,11.51
CTRL_0,0.01417,4.5e-05,0.000123,11.51
CTRL_0,0.01501,6.6e-05,0.000189,11.51
CTRL_0,0.01591,9.5e-05,0.000284,11.51
CTRL_0,0.01686,0.000143,0.000426,11.51
CTRL_0,0.01787,0.000205,0.000631,11.51
CTRL_0,0.01894,0.000295,0.000926,11.51
CTRL_0,0.02007,0.000422,0.001349,11.51
CTRL_0,0.02127,0.000586,0.001935,11.51
CTRL_0,0.02254,0.000791,0.002726,11.51
CTRL_0,0.02389,0.001126,0.003852,11.51
CTRL_0,0.02531,0.001495,0.005347,11.51
CTRL_0,0.02683,0.00213,0.007477,11.51
CTRL_0,0.02843,0.002844,0.010322,11.51
CTRL_0,0.03013,0.003442,0.013763,11.51
CTRL_0,0.03193,0.004441,0.018204,11.51
CTRL_0,0.03384,0.005711,0.023915,11.51
CTRL_0,0.03586,0.007212,0.031127,11.51
CTRL_0,0.038,0.008997,0.040124,11.51
CTRL_0,0.04028,0.011961,0.052085,11.51
CTRL_0,0.04268,0.013636,0.065722,11.51
CTRL_0,0.04523,0.017759,0.083481,11.51
CTRL_0,0.04794,0.020578,0.10406,11.51
CTRL_0,0.0508,0.024819,0.128879,11.51
CTRL_0,0.05384,0.028185,0.157063,11.51
CTRL_0,0.05706,0.033,0.190063,11.51
CTRL_0,0.06047,0.038442,0.228504,11.51
CTRL_0,0.06408,0.044587,0.273092,11.51
CTRL_0,0.06791,0.047102,0.320194,11.51
CTRL_0,0.07197,0.055583,0.375777,11.51
CTRL_0,0.07627,0.061666,0.437442,11.51
CTRL_0,0.08083,0.064987,0.502429,11.51
CTRL_0,0.08566,0.06819,0.570619,11.51
CTRL_0,0.09078,0.074117,0.644736,11.51
CTRL_0,0.0962,0.078224,0.72296,11.51
CTRL_0,0.10195,0.08145,0.80441,11.51
CTRL_0,0.10805,0.079157,0.883567,11.51
CTRL_0,0.1145,0.080684,0.964251,11.51
CTRL_0,0.12135,0.084138,1.048389,11.51
CTRL_0,0.1286,0.082581,1.13097,11.51
CTRL_0,0.13629,0.078623,1.209593,11.51
CTRL_0,0.14443,0.080383,1.289976,11.51
CTRL_0,0.15306,0.078151,1.368127,11.51
