mix_id,age_days,specimen_id,compressive_strength_MPa
CTRL_0,7,CTRL_0_fc_7d_1,44.17
CTRL_0,7,CTRL_0_fc_7d_2,46.78
CTRL_0,7,CTRL_0_fc_7d_3,41.82
CTRL_0,28,CTRL_0_fc_28d_1,61.02
CTRL_0,28,CTRL_0_fc_28d_2,63.52
CTRL_0,28,CTRL_0_fc_28d_3,62.71
RUB_5,7,RUB_5_fc_7d_1,44.12
RUB_5,7,RUB_5_fc_7d_2,38.65
RUB_5,7,RUB_5_fc_7d_3,41.04
RUB_5,28,RUB_5_fc_28d_1,61.18
RUB_5,28,RUB_5_fc_28d_2,57.75
RUB_5,28,RUB_5_fc_28d_3,57.93
RUB_10,7,RUB_10_fc_7d_1,42.08
RUB_10,7,RUB_10_fc_7d_2,41.79
RUB_10,7,RUB_10_fc_7d_3,40.0
RUB_10,28,RUB_10_fc_28d_1,53.42
RUB_10,28,RUB_10_fc_28d_2,55.05
RUB_10,28,RUB_10_fc_28d_3,57.64
RUB_15,7,RUB_15_fc_7d_1,38.2
RUB_15,7,RUB_15_fc_7d_2,38.5
RUB_15,7,RUB_15_fc_7d_3,37.94
RUB_15,28,RUB_15_fc_28d_1,55.18
RUB_15,28,RUB_15_fc_28d_2,52.26
RUB_15,28,RUB_15_fc_28d_3,51.23
