cycle,cell,frequency_Hz,Z_real,Z_imag
0,1,0.1,0.39998,-0.0017
0,1,0.1314,0.39997,-0.00223
0,1,0.1727,0.39995,-0.00293
0,1,0.227,0.39992,-0.00385
0,1,0.2982,0.39986,-0.00506
0,1,0.3919,0.39975,-0.00664
0,1,0.5151,0.39958,-0.00872
0,1,0.6769,0.39927,-0.01144
0,1,0.8895,0.39874,-0.01498
0,1,1.169,0.39784,-0.01959
0,1,1.5362,0.3963,-0.02553
0,1,2.0188,0.39371,-0.03305
0,1,2.6529,0.38941,-0.04236
0,1,3.4864,0.38246,-0.05338
0,1,4.5816,0.37171,-0.06551
0,1,6.0209,0.35616,-0.07726
0,1,7.9123,0.33567,-0.08626
0,1,10.398,0.31182,-0.08998
0,1,13.6645,0.28771,-0.0872
0,1,17.9571,0.26658,-0.07883
0,1,23.5983,0.25027,-0.06732
0,1,31.0117,0.23886,-0.05513
0,1,40.7539,0.23143,-0.04389
0,1,53.5567,0.2268,-0.03431
0,1,70.3814,0.224,-0.02653
0,1,92.4915,0.22234,-0.02038
0,1,121.5474,0.22136,-0.01559
0,1,159.7312,0.22079,-0.0119
0,1,209.9104,0.22046,-0.00908
0,1,275.8532,0.22027,-0.00691
0,1,362.5117,0.22015,-0.00526
0,1,476.3938,0.22009,-0.00401
0,1,626.0517,0.22005,-0.00305
0,1,822.7241,0.22003,-0.00232
0,1,1081.1808,0.22002,-0.00177
0,1,1420.8308,0.22001,-0.00134
0,1,1867.1811,0.22001,-0.00102
0,1,2453.7511,0.22,-0.00078
0,1,3224.5905,0.22,-0.00059
0,1,4237.5872,0.22,-0.00045
0,1,5568.814,0.22,-0.00034
0,1,7318.2422,0.22,-0.00026
0,1,9617.2487,0.22,-0.0002
0,1,12638.482,0.22,-0.00015
0,1,16608.8278,0.22,-0.00011
0,1,21826.4473,0.22,-9e-05
0,1,28683.1681,0.22,-7e-05
0,1,37693.9098,0.22,-5e-05
0,1,49535.3521,0.22,-4e-05
0,1,65096.7523,0.22,-3e-05
0,1,85546.7254,0.22,-2e-05
0,1,112421.0035,0.22,-2e-05
0,1,147737.7653,0.22,-1e-05
0,1,194149.1946,0.22,-1e-05
0,1,255140.652,0.22,-1e-05
0,1,335292.4149,0.22,-1e-05
0,1,440623.6428,0.22,-0.0
0,1,579044.3981,0.22,-0.0
0,1,760949.6685,0.22,-0.0
0,1,1000000.0,0.22,-0.0
0,2,0.1,0.39998,-0.0017
0,2,0.1314,0.39997,-0.00223
0,2,0.1727,0.39995,-0.00293
0,2,0.227,0.39992,-0.00385
0,2,0.2982,0.39986,-0.00506
0,2,0.3919,0.39975,-0.00664
0,2,0.5151,0.39958,-0.00872
0,2,0.6769,0.39927,-0.01144
0,2,0.8895,0.39874,-0.01498
0,2,1.169,0.39784,-0.01959
0,2,1.5362,0.3963,-0.02553
0,2,2.0188,0.39371,-0.03305
0,2,2.6529,0.38941,-0.04236
0,2,3.4864,0.38246,-0.05338
0,2,4.5816,0.37171,-0.06551
0,2,6.0209,0.35616,-0.07726
0,2,7.9123,0.33567,-0.08626
0,2,10.398,0.31182,-0.08998
0,2,13.6645,0.28771,-0.0872
0,2,17.9571,0.26658,-0.07883
0,2,23.5983,0.25027,-0.06732
0,2,31.0117,0.23886,-0.05513
0,2,40.7539,0.23143,-0.04389
0,2,53.5567,0.2268,-0.03431
0,2,70.3814,0.224,-0.02653
0,2,92.4915,0.22234,-0.02038
0,2,121.5474,0.22136,-0.01559
0,2,159.7312,0.22079,-0.0119
0,2,209.9104,0.22046,-0.00908
0,2,275.8532,0.22027,-0.00691
0,2,362.5117,0.22015,-0.00526
0,2,476.3938,0.22009,-0.00401
0,2,626.0517,0.22005,-0.00305
0,2,822.7241,0.22003,-0.00232
0,2,1081.1808,0.22002,-0.00177
0,2,1420.8308,0.22001,-0.00134
0,2,1867.1811,0.22001,-0.00102
0,2,2453.7511,0.22,-0.00078
0,2,3224.5905,0.22,-0.00059
0,2,4237.5872,0.22,-0.00045
0,2,5568.814,0.22,-0.00034
0,2,7318.2422,0.22,-0.00026
0,2,9617.2487,0.22,-0.0002
0,2,12638.482,0.22,-0.00015
0,2,16608.8278,0.22,-0.00011
0,2,21826.4473,0.22,-9e-05
0,2,28683.1681,0.22,-7e-05
0,2,37693.9098,0.22,-5e-05
0,2,49535.3521,0.22,-4e-05
0,2,65096.7523,0.22,-3e-05
0,2,85546.7254,0.22,-2e-05
0,2,112421.0035,0.22,-2e-05
0,2,147737.7653,0.22,-1e-05
0,2,194149.1946,0.22,-1e-05
0,2,255140.652,0.22,-1e-05
0,2,335292.4149,0.22,-1e-05
0,2,440623.6428,0.22,-0.0
0,2,579044.3981,0.22,-0.0
0,2,760949.6685,0.22,-0.0
0,2,1000000.0,0.22,-0.0
0,3,0.1,0.39998,-0.0017
0,3,0.1314,0.39997,-0.00223
0,3,0.1727,0.39995,-0.00293
0,3,0.227,0.39992,-0.00385
0,3,0.2982,0.39986,-0.00506
0,3,0.3919,0.39975,-0.00664
0,3,0.5151,0.39958,-0.00872
0,3,0.6769,0.39927,-0.01144
0,3,0.8895,0.39874,-0.01498
0,3,1.169,0.39784,-0.01959
0,3,1.5362,0.3963,-0.02553
0,3,2.0188,0.39371,-0.03305
0,3,2.6529,0.38941,-0.04236
0,3,3.4864,0.38246,-0.05338
0,3,4.5816,0.37171,-0.06551
0,3,6.0209,0.35616,-0.07726
0,3,7.9123,0.33567,-0.08626
0,3,10.398,0.31182,-0.08998
0,3,13.6645,0.28771,-0.0872
0,3,17.9571,0.26658,-0.07883
0,3,23.5983,0.25027,-0.06732
0,3,31.0117,0.23886,-0.05513
0,3,40.7539,0.23143,-0.04389
0,3,53.5567,0.2268,-0.03431
0,3,70.3814,0.224,-0.02653
0,3,92.4915,0.22234,-0.02038
0,3,121.5474,0.22136,-0.01559
0,3,159.7312,0.22079,-0.0119
0,3,209.9104,0.22046,-0.00908
