cycle,tc_id,x_cm,y_cm,z_cm,temperature_C
1,1,3.329,2.579,1.214,713.38
1,2,0.117,0.679,1.607,714.47
1,3,3.085,2.853,2.616,721.04
1,4,0.129,0.47,4.64,733.95
1,5,2.876,3.658,2.7,720.45
1,6,0.221,3.125,4.949,734.44
1,7,2.042,0.35,3.196,721.84
1,8,3.029,3.324,3.758,724.98
1,9,3.916,1.534,3.703,723.82
1,10,2.888,1.532,4.462,732.5
1,11,0.954,2.714,2.032,716.56
1,12,1.119,0.454,0.038,702.87
1,13,0.895,2.874,2.351,718.33
1,14,3.058,3.88,0.761,707.44
1,15,1.387,0.826,2.928,722.94
1,16,3.065,0.856,3.996,730.95
1,17,0.156,2.594,4.238,733.08
1,18,3.671,1.422,0.537,707.91
1,19,2.004,1.862,3.127,723.41
1,20,2.322,0.795,0.228,702.76
1,21,3.881,1.649,2.874,719.32
1,22,0.147,0.695,2.462,722.44
1,23,1.811,0.99,4.013,729.43
1,24,3.627,1.163,3.454,727.97
1,25,0.641,0.417,0.895,706.6
1,26,0.592,1.955,1.047,711.13
1,27,1.024,0.892,3.212,720.8
1,28,3.688,1.11,1.223,708.0
1,29,0.495,3.94,4.12,727.93
1,30,1.462,0.087,2.647,724.52
2,1,3.329,2.579,1.214,715.67
2,2,0.117,0.679,1.607,722.14
2,3,3.085,2.853,2.616,725.18
2,4,0.129,0.47,4.64,740.3
2,5,2.876,3.658,2.7,727.56
2,6,0.221,3.125,4.949,742.33
2,7,2.042,0.35,3.196,728.22
2,8,3.029,3.324,3.758,733.08
2,9,3.916,1.534,3.703,732.46
2,10,2.888,1.532,4.462,741.85
2,11,0.954,2.714,2.032,723.99
2,12,1.119,0.454,0.038,709.94
2,13,0.895,2.874,2.351,728.17
2,14,3.058,3.88,0.761,718.8
2,15,1.387,0.826,2.928,726.28
2,16,3.065,0.856,3.996,734.53
2,17,0.156,2.594,4.238,734.66
2,18,3.671,1.422,0.537,710.08
2,19,2.004,1.862,3.127,729.13
2,20,2.322,0.795,0.228,705.26
2,21,3.881,1.649,2.874,727.41
2,22,0.147,0.695,2.462,724.67
2,23,1.811,0.99,4.013,733.95
2,24,3.627,1.163,3.454,730.3
2,25,0.641,0.417,0.895,714.51
2,26,0.592,1.955,1.047,712.86
2,27,1.024,0.892,3.212,726.47
2,28,3.688,1.11,1.223,717.22
2,29,0.495,3.94,4.12,734.62
2,30,1.462,0.087,2.647,727.6
3,1,3.329,2.579,1.214,721.33
3,2,0.117,0.679,1.607,722.49
3,3,3.085,2.853,2.616,730.08
3,4,0.129,0.47,4.64,738.44
3,5,2.876,3.658,2.7,731.55
3,6,0.221,3.125,4.949,745.84
3,7,2.042,0.35,3.196,736.82
3,8,3.029,3.324,3.758,738.1
3,9,3.916,1.534,3.703,734.96
3,10,2.888,1.532,4.462,740.39
3,11,0.954,2.714,2.032,726.82
3,12,1.119,0.454,0.038,713.82
3,13,0.895,2.874,2.351,726.76
3,14,3.058,3.88,0.761,718.35
3,15,1.387,0.826,2.928,734.5
3,16,3.065,0.856,3.996,739.72
3,17,0.156,2.594,4.238,742.13
3,18,3.671,1.422,0.537,716.64
3,19,2.004,1.862,3.127,736.5
3,20,2.322,0.795,0.228,717.06
3,21,3.881,1.649,2.874,733.05
3,22,0.147,0.695,2.462,729.65
3,23,1.811,0.99,4.013,734.13
3,24,3.627,1.163,3.454,738.48
3,25,0.641,0.417,0.895,720.98
3,26,0.592,1.955,1.047,719.24
3,27,1.024,0.892,3.212,738.41
3,28,3.688,1.11,1.223,722.37
3,29,0.495,3.94,4.12,738.97
3,30,1.462,0.087,2.647,728.92
4,1,3.329,2.579,1.214,726.02
4,2,0.117,0.679,1.607,726.42
4,3,3.085,2.853,2.616,734.8
4,4,0.129,0.47,4.64,747.58
4,5,2.876,3.658,2.7,737.3
4,6,0.221,3.125,4.949,746.05
4,7,2.042,0.35,3.196,737.56
4,8,3.029,3.324,3.758,740.08
4,9,3.916,1.534,3.703,744.02
4,10,2.888,1.532,4.462,748.12
4,11,0.954,2.714,2.032,728.37
4,12,1.119,0.454,0.038,719.67
4,13,0.895,2.874,2.351,736.9
4,14,3.058,3.88,0.761,726.04
4,15,1.387,0.826,2.928,736.87
4,16,3.065,0.856,3.996,744.83
4,17,0.156,2.594,4.238,747.02
4,18,3.671,1.422,0.537,726.75
4,19,2.004,1.862,3.127,737.89
4,20,2.322,0.795,0.228,724.09
4,21,3.881,1.649,2.874,736.14
4,22,0.147,0.695,2.462,733.57
4,23,1.811,0.99,4.013,743.71
4,24,3.627,1.163,3.454,741.04
4,25,0.641,0.417,0.895,726.88
4,26,0.592,1.955,1.047,726.09
4,27,1.024,0.892,3.212,738.25
4,28,3.688,1.11,1.223,725.62
4,29,0.495,3.94,4.12,745.9
4,30,1.462,0.087,2.647,735.96
5,1,3.329,2.579,1.214,732.88
5,2,0.117,0.679,1.607,735.43
5,3,3.085,2.853,2.616,743.49
5,4,0.129,0.47,4.64,755.08
5,5,2.876,3.658,2.7,742.7
5,6,0.221,3.125,4.949,754.39
5,7,2.042,0.35,3.196,741.62
5,8,3.029,3.324,3.758,746.59
5,9,3.916,1.534,3.703,747.03
5,10,2.888,1.532,4.462,750.41
5,11,0.954,2.714,2.032,738.32
5,12,1.119,0.454,0.038,725.36
5,13,0.895,2.874,2.351,737.31
5,14,3.058,3.88,0.761,732.28
5,15,1.387,0.826,2.928,743.45
5,16,3.065,0.856,3.996,749.18
5,17,0.156,2.594,4.238,752.6
5,18,3.671,1.422,0.537,726.65
5,19,2.004,1.862,3.127,742.51
5,20,2.322,0.795,0.228,725.65
5,21,3.881,1.649,2.874,743.29
5,22,0.147,0.695,2.462,740.43
5,23,1.811,0.99,4.013,755.34
5,24,3.627,1.163,3.454,743.79
5,25,0.641,0.417,0.895,730.54
5,26,0.592,1.955,1.047,730.75
5,27,1.024,0.892,3.212,745.15
5,28,3.688,1.11,1.223,734.07
5,29,0.495,3.94,4.12,750.18
5,30,1.462,0.087,2.647,741.62
6,1,3.329,2.579,1.214,736.57
6,2,0.117,0.679,1.607,742.91
6,3,3.085,2.853,2.616,744.76
6,4,0.129,0.47,4.64,751.58
6,5,2.876,3.658,2.7,745.0
6,6,0.221,3.125,4.949,764.46
6,7,2.042,0.35,3.196,746.81
6,8,3.029,3.324,3.758,753.51
6,9,3.916,1.534,3.703,750.62
6,10,2.888,1.532,4.462,757.7
6,11,0.954,2.714,2.032,744.4
6,12,1.119,0.454,0.038,729.31
6,13,0.895,2.874,2.351,746.66
6,14,3.058,3.88,0.761,736.73
6,15,1.387,0.826,2.928,748.21
6,16,3.065,0.856,3.996,753.83
6,17,0.156,2.594,4.238,754.98
6,18,3.671,1.422,0.537,731.59
6,19,2.004,1.862,3.127,746.51
6,20,2.322,0.795,0.228,732.53
6,21,3.881,1.649,2.874,747.93
6,22,0.147,0.695,2.462,745.6
6,23,1.811,0.99,4.013,756.1
6,24,3.627,1.163,3.454,750.68
6,25,0.641,0.417,0.895,738.04
6,26,0.592,1.955,1.047,733.02
6,27,1.024,0.892,3.212,752.86
6,28,3.688,1.11,1.223,737.27
6,29,0.495,3.94,4.12,753.31
6,30,1.462,0.087,2.647,745.65
7,1,3.329,2.579,1.214,745.45
7,2,0.117,0.679,1.607,743.32
7,3,3.085,2.853,2.616,750.9
7,4,0.129,0.47,4.64,760.77
7,5,2.876,3.658,2.7,752.0
7,6,0.221,3.125,4.949,767.2
7,7,2.042,0.35,3.196,754.75
7,8,3.029,3.324,3.758,756.83
7,9,3.916,1.534,3.703,756.4
7,10,2.888,1.532,4.462,762.0
7,11,0.954,2.714,2.032,748.28
7,12,1.119,0.454,0.038,736.96
7,13,0.895,2.874,2.351,747.02
7,14,3.058,3.88,0.761,738.59
7,15,1.387,0.826,2.928,755.47
7,16,3.065,0.856,3.996,759.97
7,17,0.156,2.594,4.238,760.72
7,18,3.671,1.422,0.537,739.79
7,19,2.004,1.862,3.127,749.08
7,20,2.322,0.795,0.228,737.71
7,21,3.881,1.649,2.874,757.3
7,22,0.147,0.695,2.462,749.92
7,23,1.811,0.99,4.013,759.64
7,24,3.627,1.163,3.454,755.07
7,25,0.641,0.417,0.895,738.46
7,26,0.592,1.955,1.047,740.29
7,27,1.024,0.892,3.212,756.06
7,28,3.688,1.11,1.223,743.47
7,29,0.495,3.94,4.12,757.98
7,30,1.462,0.087,2.647,749.61
8,1,3.329,2.579,1.214,746.06
8,2,0.117,0.679,1.607,749.97
8,3,3.085,2.853,2.616,755.3
8,4,0.129,0.47,4.64,767.7
8,5,2.876,3.658,2.7,754.05
8,6,0.221,3.125,4.949,772.94
8,7,2.042,0.35,3.196,759.78
8,8,3.029,3.324,3.758,761.5
8,9,3.916,1.534,3.703,760.62
8,10,2.888,1.532,4.462,766.0
8,11,0.954,2.714,2.032,754.53
8,12,1.119,0.454,0.038,743.24
8,13,0.895,2.874,2.351,752.84
8,14,3.058,3.88,0.761,743.69
8,15,1.387,0.826,2.928,754.23
8,16,3.065,0.856,3.996,760.75
8,17,0.156,2.594,4.238,765.69
8,18,3.671,1.422,0.537,742.59
8,19,2.004,1.862,3.127,758.04
8,20,2.322,0.795,0.228,740.38
8,21,3.881,1.649,2.874,757.89
8,22,0.147,0.695,2.462,755.03
8,23,1.811,0.99,4.013,766.16
8,24,3.627,1.163,3.454,765.93
8,25,0.641,0.417,0.895,743.23
8,26,0.592,1.955,1.047,743.81
8,27,1.024,0.892,3.212,762.5
8,28,3.688,1.11,1.223,747.22
8,29,0.495,3.94,4.12,766.33
8,30,1.462,0.087,2.647,753.64
9,1,3.329,2.579,1.214,750.17
9,2,0.117,0.679,1.607,756.38
9,3,3.085,2.853,2.616,758.2
9,4,0.129,0.47,4.64,775.71
9,5,2.876,3.658,2.7,762.89
9,6,0.221,3.125,4.949,773.32
9,7,2.042,0.35,3.196,767.29
9,8,3.029,3.324,3.758,768.64
9,9,3.916,1.534,3.703,766.82
9,10,2.888,1.532,4.462,771.96
9,11,0.954,2.714,2.032,753.32
9,12,1.119,0.454,0.038,742.56
9,13,0.895,2.874,2.351,760.66
9,14,3.058,3.88,0.761,750.01
9,15,1.387,0.826,2.928,765.5
9,16,3.065,0.856,3.996,769.77
9,17,0.156,2.594,4.238,768.04
9,18,3.671,1.422,0.537,746.16
9,19,2.004,1.862,3.127,762.13
9,20,2.322,0.795,0.228,745.2
9,21,3.881,1.649,2.874,762.56
9,22,0.147,0.695,2.462,762.15
9,23,1.811,0.99,4.013,770.34
9,24,3.627,1.163,3.454,768.25
9,25,0.641,0.417,0.895,751.18
9,26,0.592,1.955,1.047,750.44
9,27,1.024,0.892,3.212,761.5
9,28,3.688,1.11,1.223,753.6
9,29,0.495,3.94,4.12,769.53
9,30,1.462,0.087,2.647,762.46
10,1,3.329,2.579,1.214,756.08
10,2,0.117,0.679,1.607,762.91
10,3,3.085,2.853,2.616,768.97
10,4,0.129,0.47,4.64,776.1
10,5,2.876,3.658,2.7,766.86
10,6,0.221,3.125,4.949,776.55
10,7,2.042,0.35,3.196,767.54
10,8,3.029,3.324,3.758,770.8
10,9,3.916,1.534,3.703,771.01
10,10,2.888,1.532,4.462,776.23
10,11,0.954,2.714,2.032,760.63
10,12,1.119,0.454,0.038,750.53
10,13,0.895,2.874,2.351,761.04
10,14,3.058,3.88,0.761,756.55
10,15,1.387,0.826,2.928,765.44
10,16,3.065,0.856,3.996,773.66
10,17,0.156,2.594,4.238,774.58
10,18,3.671,1.422,0.537,755.28
10,19,2.004,1.862,3.127,768.1
10,20,2.322,0.795,0.228,754.28
10,21,3.881,1.649,2.874,767.96
10,22,0.147,0.695,2.462,762.9
10,23,1.811,0.99,4.013,773.65
10,24,3.627,1.163,3.454,770.64
10,25,0.641,0.417,0.895,756.84
10,26,0.592,1.955,1.047,756.62
10,27,1.024,0.892,3.212,768.83
10,28,3.688,1.11,1.223,755.81
10,29,0.495,3.94,4.12,775.67
10,30,1.462,0.087,2.647,765.17
