Specimen_ID,Mix_ID,Target_Temperature_C,Cooling_Method,Original_Strength_MPa,Residual_Strength_MPa,Strength_Retention_Percent,Failure_Mode,Visual_Damage,Crack_Pattern,Test_Date,Operator,Notes
TE-CTRL-23-1,CTRL,23,Ambient,50.2,50.2,100.0,Cone,None,None,2024-02-22,Tech_A,Reference specimen
TE-CTRL-23-2,CTRL,23,Ambient,49.8,49.8,100.0,Cone,None,None,2024-02-22,Tech_A,Reference specimen
TE-CTRL-23-3,CTRL,23,Ambient,50.4,50.4,100.0,Cone,None,None,2024-02-22,Tech_A,Reference specimen
TE-CTRL-200-FC-1,CTRL,200,Furnace_Cooling,50.0,47.5,95.0,Cone,Slight_Discoloration,None,2024-02-22,Tech_A,Minor strength loss
TE-CTRL-200-FC-2,CTRL,200,Furnace_Cooling,49.9,47.3,94.8,Cone,Slight_Discoloration,None,2024-02-22,Tech_A,Minor strength loss
TE-CTRL-200-FC-3,CTRL,200,Furnace_Cooling,50.4,47.8,94.8,Cone,Slight_Discoloration,None,2024-02-22,Tech_A,Minor strength loss
TE-CTRL-200-WQ-1,CTRL,200,Water_Quench,50.0,46.5,93.0,Cone-Shear,Slight_Discoloration,Micro_Cracks,2024-02-22,Tech_A,Thermal shock effect
TE-CTRL-200-WQ-2,CTRL,200,Water_Quench,49.9,46.2,92.6,Cone-Shear,Slight_Discoloration,Micro_Cracks,2024-02-22,Tech_A,Thermal shock effect
TE-CTRL-200-WQ-3,CTRL,200,Water_Quench,50.4,46.8,92.9,Cone-Shear,Slight_Discoloration,Micro_Cracks,2024-02-22,Tech_A,Thermal shock effect
TE-CTRL-400-FC-1,CTRL,400,Furnace_Cooling,50.0,42.5,85.0,Cone-Shear,Pink_Discoloration,Surface_Cracks,2024-02-23,Tech_B,Moderate strength loss
TE-CTRL-400-FC-2,CTRL,400,Furnace_Cooling,49.9,42.2,84.6,Cone-Shear,Pink_Discoloration,Surface_Cracks,2024-02-23,Tech_B,Moderate strength loss
