location,depth_um,replicate,Ni_wt%,Zr_wt%,Y_wt%,O_wt%,La_wt%,Sr_wt%,Mn_wt%
Anode_center,150,1,37.33814999188882,40.024605489578256,4.684004635051856,20.35856214565295,,,
Anode_center,150,2,38.87608207031532,37.45998643199755,5.289782059873912,20.58536033805791,,,
Anode_center,150,3,38.213209997999236,38.01067169376435,5.166336218445464,19.743390243885717,,,
Anode_center,150,4,41.95054204522495,36.06322095982429,4.978139832751695,20.43526369503955,,,
Anode_center,150,5,37.907381657325594,34.3639983475168,5.498684102165555,21.21411268672391,,,
Anode_interface,290,1,37.437754495168946,35.09945744309138,5.211818672659745,21.903341308340163,,,
Anode_interface,290,2,35.7864602487163,33.80658463538372,5.182769150450719,21.254251518892648,,,
Anode_interface,290,3,39.77502625170982,37.813679821059814,4.780535718907856,20.934411323774242,,,
Anode_interface,290,4,38.46493432310829,36.4918231498081,5.597768391641102,20.717461131994693,,,
Anode_interface,290,5,39.606666126206996,35.545785836610406,5.020995289940002,22.50094148645801,,,
Electrolyte_center,400,1,,52.83848386847819,7.460198376494178,41.266997627551554,,,
Electrolyte_center,400,2,,55.641240565182315,7.668497855215933,42.313862983079396,,,
Electrolyte_center,400,3,,54.79288010387592,6.833975796267849,39.78332731940605,,,
Electrolyte_center,400,4,,52.58004408094356,6.6154112086565044,36.9899898983659,,,
Electrolyte_center,400,5,,51.133471649105964,7.081862832926298,38.28186139009521,,,
Cathode_interface,510,1,,5.032705781254398,1.0727902679053984,40.72618820194143,15.245819032963414,3.0408527827114518,7.019497357399492
Cathode_interface,510,2,,5.244851511960254,0.9451151953676299,43.95601553962306,16.82716128164099,2.8422454805798365,6.801710774277491
Cathode_interface,510,3,,5.1409857173088085,1.076371510774255,39.80679830187598,16.13432057907302,3.3580761900209595,7.922155151290406
Cathode_interface,510,4,,4.800682845511153,1.0357429893735852,37.715444666129855,15.265696957681259,2.6764497505908436,7.047775911981922
Cathode_interface,510,5,,5.1203101566731535,1.0545812703786184,41.31493640451774,15.038453518739534,2.939859873844202,7.344390495028999
Cathode_center,650,1,,,,37.507836821113074,15.123539097477646,3.2799966204242264,6.873985574615342
Cathode_center,650,2,,,,39.93943495693677,14.577205898688456,3.1551598980750075,7.002227320407635
Cathode_center,650,3,,,,40.81226336009949,14.666085460464986,3.2433270124256603,7.022442903561149
Cathode_center,650,4,,,,39.002976283848746,14.999363391305367,2.9273142483366277,6.576127964958377
Cathode_center,650,5,,,,39.51061791044756,13.9664439663226,3.089556850868587,6.640676810485894
