T_C,stress_ratio,damage_index,intrinsic_permeability_m2
20.0,0.0,0.0,1.3000e-19
20.0,0.2,0.072,1.7339e-19
20.0,0.4,0.144,2.3126e-19
20.0,0.6,0.216,3.0844e-19
30.0,0.0,0.0,1.3000e-19
30.0,0.2,0.072,1.7339e-19
30.0,0.4,0.144,2.3126e-19
30.0,0.6,0.216,3.0844e-19
40.0,0.0,0.0,1.3000e-19
40.0,0.2,0.072,1.7339e-19
40.0,0.4,0.144,2.3126e-19
40.0,0.6,0.216,3.0844e-19
50.0,0.0,0.0,1.3000e-19
50.0,0.2,0.072,1.7339e-19
50.0,0.4,0.144,2.3126e-19
50.0,0.6,0.216,3.0844e-19
60.0,0.0,0.0,1.3000e-19
60.0,0.2,0.072,1.7339e-19
60.0,0.4,0.144,2.3126e-19
60.0,0.6,0.216,3.0844e-19
70.0,0.0,0.0,1.3000e-19
70.0,0.2,0.072,1.7339e-19
70.0,0.4,0.144,2.3126e-19
70.0,0.6,0.216,3.0844e-19
80.0,0.0,0.0,1.3000e-19
80.0,0.2,0.072,1.7339e-19
80.0,0.4,0.144,2.3126e-19
80.0,0.6,0.216,3.0844e-19
90.0,0.0,0.0,1.3000e-19
90.0,0.2,0.072,1.7339e-19
90.0,0.4,0.144,2.3126e-19
90.0,0.6,0.216,3.0844e-19
100.0,0.0,0.0,1.3000e-19
100.0,0.2,0.072,1.7339e-19
100.0,0.4,0.144,2.3126e-19
100.0,0.6,0.216,3.0844e-19
110.0,0.0,0.0,1.3000e-19
110.0,0.2,0.072,1.7339e-19
110.0,0.4,0.144,2.3126e-19
110.0,0.6,0.216,3.0844e-19
120.0,0.0,0.0,1.3000e-19
120.0,0.2,0.072,1.7339e-19
120.0,0.4,0.144,2.3126e-19
120.0,0.6,0.216,3.0844e-19
130.0,0.0,0.0,1.3000e-19
130.0,0.2,0.072,1.7339e-19
130.0,0.4,0.144,2.3126e-19
130.0,0.6,0.216,3.0844e-19
140.0,0.0,0.0,1.3000e-19
140.0,0.2,0.072,1.7339e-19
140.0,0.4,0.144,2.3126e-19
140.0,0.6,0.216,3.0844e-19
150.0,0.0,0.0,1.3000e-19
150.0,0.2,0.072,1.7339e-19
150.0,0.4,0.144,2.3126e-19
150.0,0.6,0.216,3.0844e-19
160.0,0.0,0.0,1.3943e-19
160.0,0.2,0.072,1.8596e-19
160.0,0.4,0.144,2.4803e-19
160.0,0.6,0.216,3.3081e-19
170.0,0.0,0.0,1.4954e-19
170.0,0.2,0.072,1.9944e-19
170.0,0.4,0.144,2.6601e-19
170.0,0.6,0.216,3.5479e-19
180.0,0.0,0.0,1.6038e-19
180.0,0.2,0.072,2.1391e-19
180.0,0.4,0.144,2.8530e-19
180.0,0.6,0.216,3.8052e-19
190.0,0.0,0.0,1.7201e-19
190.0,0.2,0.072,2.2942e-19
190.0,0.4,0.144,3.0598e-19
190.0,0.6,0.216,4.0811e-19
200.0,0.0,0.0,1.8448e-19
200.0,0.2,0.072,2.4605e-19
200.0,0.4,0.144,3.2817e-19
200.0,0.6,0.216,4.3770e-19
210.0,0.0,0.0078,2.0411e-19
210.0,0.2,0.0798,2.7223e-19
210.0,0.4,0.1518,3.6309e-19
210.0,0.6,0.2238,4.8427e-19
220.0,0.0,0.0156,2.2582e-19
220.0,0.2,0.0876,3.0119e-19
220.0,0.4,0.1596,4.0172e-19
220.0,0.6,0.2316,5.3580e-19
230.0,0.0,0.0233,2.4985e-19
230.0,0.2,0.0953,3.3324e-19
230.0,0.4,0.1673,4.4446e-19
230.0,0.6,0.2393,5.9281e-19
240.0,0.0,0.0311,2.7644e-19
240.0,0.2,0.1031,3.6870e-19
240.0,0.4,0.1751,4.9175e-19
240.0,0.6,0.2471,6.5588e-19
250.0,0.0,0.0389,3.0585e-19
250.0,0.2,0.1109,4.0793e-19
250.0,0.4,0.1829,5.4408e-19
250.0,0.6,0.2549,7.2567e-19
260.0,0.0,0.0467,3.3839e-19
260.0,0.2,0.1187,4.5133e-19
260.0,0.4,0.1907,6.0197e-19
260.0,0.6,0.2627,8.0288e-19
270.0,0.0,0.0544,3.7440e-19
270.0,0.2,0.1264,4.9935e-19
270.0,0.4,0.1984,6.6602e-19
270.0,0.6,0.2704,8.8830e-19
280.0,0.0,0.0622,4.1423e-19
280.0,0.2,0.1342,5.5248e-19
280.0,0.4,0.2062,7.3688e-19
280.0,0.6,0.2782,9.8282e-19
290.0,0.0,0.07,4.5830e-19
290.0,0.2,0.142,6.1127e-19
290.0,0.4,0.214,8.1528e-19
290.0,0.6,0.286,1.0874e-18
300.0,0.0,0.0778,5.0707e-19
300.0,0.2,0.1498,6.7631e-19
300.0,0.4,0.2218,9.0203e-19
300.0,0.6,0.2938,1.2031e-18
310.0,0.0,0.0856,5.6102e-19
310.0,0.2,0.1576,7.4826e-19
310.0,0.4,0.2296,9.9800e-19
310.0,0.6,0.3016,1.3311e-18
320.0,0.0,0.0933,6.2071e-19
320.0,0.2,0.1653,8.2788e-19
320.0,0.4,0.2373,1.1042e-18
320.0,0.6,0.3093,1.4727e-18
330.0,0.0,0.1011,6.8676e-19
330.0,0.2,0.1731,9.1597e-19
330.0,0.4,0.2451,1.2217e-18
330.0,0.6,0.3171,1.6294e-18
340.0,0.0,0.1089,7.5983e-19
340.0,0.2,0.1809,1.0134e-18
340.0,0.4,0.2529,1.3517e-18
340.0,0.6,0.3249,1.8028e-18
350.0,0.0,0.1167,8.4067e-19
350.0,0.2,0.1887,1.1213e-18
350.0,0.4,0.2607,1.4955e-18
350.0,0.6,0.3327,1.9946e-18
360.0,0.0,0.1244,9.3012e-19
360.0,0.2,0.1964,1.2406e-18
360.0,0.4,0.2684,1.6546e-18
360.0,0.6,0.3404,2.2068e-18
370.0,0.0,0.1322,1.0291e-18
370.0,0.2,0.2042,1.3725e-18
370.0,0.4,0.2762,1.8306e-18
370.0,0.6,0.3482,2.4416e-18
380.0,0.0,0.14,1.1386e-18
380.0,0.2,0.212,1.5186e-18
380.0,0.4,0.284,2.0254e-18
380.0,0.6,0.356,2.7014e-18
390.0,0.0,0.1478,1.2597e-18
390.0,0.2,0.2198,1.6802e-18
390.0,0.4,0.2918,2.2409e-18
390.0,0.6,0.3638,2.9889e-18
400.0,0.0,0.1556,1.3938e-18
400.0,0.2,0.2276,1.8589e-18
400.0,0.4,0.2996,2.4794e-18
400.0,0.6,0.3716,3.3069e-18
410.0,0.0,0.1633,1.5420e-18
410.0,0.2,0.2353,2.0567e-18
410.0,0.4,0.3073,2.7432e-18
410.0,0.6,0.3793,3.6587e-18
420.0,0.0,0.1711,1.7061e-18
420.0,0.2,0.2431,2.2756e-18
420.0,0.4,0.3151,3.0350e-18
420.0,0.6,0.3871,4.0480e-18
430.0,0.0,0.1789,1.8877e-18
430.0,0.2,0.2509,2.5177e-18
430.0,0.4,0.3229,3.3580e-18
430.0,0.6,0.3949,4.4787e-18
440.0,0.0,0.1867,2.0885e-18
440.0,0.2,0.2587,2.7856e-18
440.0,0.4,0.3307,3.7152e-18
440.0,0.6,0.4027,4.9552e-18
450.0,0.0,0.1944,2.3107e-18
450.0,0.2,0.2664,3.0819e-18
450.0,0.4,0.3384,4.1106e-18
450.0,0.6,0.4104,5.4825e-18
460.0,0.0,0.2022,2.5566e-18
460.0,0.2,0.2742,3.4098e-18
460.0,0.4,0.3462,4.5479e-18
460.0,0.6,0.4182,6.0658e-18
470.0,0.0,0.21,2.8286e-18
470.0,0.2,0.282,3.7727e-18
470.0,0.4,0.354,5.0318e-18
470.0,0.6,0.426,6.7112e-18
480.0,0.0,0.2178,3.1296e-18
480.0,0.2,0.2898,4.1741e-18
480.0,0.4,0.3618,5.5672e-18
480.0,0.6,0.4338,7.4253e-18
490.0,0.0,0.2256,3.4625e-18
490.0,0.2,0.2976,4.6182e-18
490.0,0.4,0.3696,6.1595e-18
490.0,0.6,0.4416,8.2153e-18
500.0,0.0,0.2333,3.8309e-18
500.0,0.2,0.3053,5.1096e-18
500.0,0.4,0.3773,6.8149e-18
500.0,0.6,0.4493,9.0894e-18
510.0,0.0,0.2411,4.2386e-18
510.0,0.2,0.3131,5.6532e-18
510.0,0.4,0.3851,7.5400e-18
510.0,0.6,0.4571,1.0057e-17
520.0,0.0,0.2489,4.6895e-18
520.0,0.2,0.3209,6.2547e-18
520.0,0.4,0.3929,8.3423e-18
520.0,0.6,0.4649,1.1127e-17
530.0,0.0,0.2567,5.1885e-18
530.0,0.2,0.3287,6.9202e-18
530.0,0.4,0.4007,9.2299e-18
530.0,0.6,0.4727,1.2310e-17
540.0,0.0,0.2644,5.7406e-18
540.0,0.2,0.3364,7.6565e-18
540.0,0.4,0.4084,1.0212e-17
540.0,0.6,0.4804,1.3620e-17
550.0,0.0,0.2722,6.3514e-18
550.0,0.2,0.3442,8.4712e-18
550.0,0.4,0.4162,1.1298e-17
550.0,0.6,0.4882,1.5069e-17
560.0,0.0,0.28,7.0271e-18
560.0,0.2,0.352,9.3725e-18
560.0,0.4,0.424,1.2501e-17
560.0,0.6,0.496,1.6673e-17
570.0,0.0,0.2878,7.7748e-18
570.0,0.2,0.3598,1.0370e-17
570.0,0.4,0.4318,1.3831e-17
570.0,0.6,0.5038,1.8447e-17
580.0,0.0,0.2956,8.6021e-18
580.0,0.2,0.3676,1.1473e-17
580.0,0.4,0.4396,1.5302e-17
580.0,0.6,0.5116,2.0410e-17
590.0,0.0,0.3033,9.5173e-18
590.0,0.2,0.3753,1.2694e-17
590.0,0.4,0.4473,1.6930e-17
590.0,0.6,0.5193,2.2581e-17
600.0,0.0,0.3111,1.0530e-17
600.0,0.2,0.3831,1.4044e-17
600.0,0.4,0.4551,1.8732e-17
600.0,0.6,0.5271,2.4984e-17
610.0,0.0,0.3189,1.1650e-17
610.0,0.2,0.3909,1.5539e-17
610.0,0.4,0.4629,2.0725e-17
610.0,0.6,0.5349,2.7642e-17
620.0,0.0,0.3267,1.2890e-17
620.0,0.2,0.3987,1.7192e-17
620.0,0.4,0.4707,2.2930e-17
620.0,0.6,0.5427,3.0583e-17
630.0,0.0,0.3344,1.4261e-17
630.0,0.2,0.4064,1.9021e-17
630.0,0.4,0.4784,2.5370e-17
630.0,0.6,0.5504,3.3837e-17
640.0,0.0,0.3422,1.5779e-17
640.0,0.2,0.4142,2.1045e-17
640.0,0.4,0.4862,2.8069e-17
640.0,0.6,0.5582,3.7437e-17
650.0,0.0,0.35,1.7458e-17
650.0,0.2,0.422,2.3284e-17
650.0,0.4,0.494,3.1056e-17
