T_C,k_W_mK,cp_J_kgK,rho_kg_m3,fc_MPa,ft_MPa,E_GPa,nu,alpha_1_K,eps_tts,porosity
20.0,1.1712,1037.0,1946.1,49.200,4.040,27.440,0.2430,1.047329e-05,-1.124147e-04,0.2146
30.0,1.1589,1097.1,1944.2,49.061,4.007,27.207,0.2445,1.066268e-05,-1.662586e-04,0.2168
40.0,1.1466,1204.5,1942.2,48.922,3.973,26.973,0.2460,1.084739e-05,-2.185858e-04,0.2189
50.0,1.1344,1382.4,1940.2,48.783,3.940,26.740,0.2475,1.102754e-05,-2.694391e-04,0.2211
60.0,1.1222,1652.0,1938.3,48.644,3.907,26.507,0.2490,1.120325e-05,-3.188601e-04,0.2231
70.0,1.1101,2021.4,1936.3,48.506,3.873,26.273,0.2505,1.137462e-05,-3.668890e-04,0.2251
80.0,0.9333,2473.5,1934.4,48.367,3.840,26.040,0.2520,1.154176e-05,-4.135650e-04,0.2271
90.0,0.9231,2959.5,1932.5,48.228,3.807,25.807,0.2535,1.170477e-05,-4.589263e-04,0.2291
100.0,0.9129,3402.5,1930.5,48.089,3.773,25.573,0.2550,1.186375e-05,-5.030100e-04,0.2310
110.0,0.9028,3716.1,1928.5,47.950,3.740,25.340,0.2565,1.201881e-05,-5.458519e-04,0.2328
120.0,0.8927,3831.8,1926.6,47.811,3.707,25.107,0.2580,1.217004e-05,-5.874871e-04,0.2346
130.0,0.8827,3723.5,1924.7,47.672,3.673,24.873,0.2595,1.231754e-05,-6.279495e-04,0.2364
140.0,0.8727,3417.3,1922.7,47.533,3.640,24.640,0.2610,1.246140e-05,-6.672722e-04,0.2382
150.0,0.8628,2981.7,1920.8,47.394,3.607,24.407,0.2625,1.260170e-05,-7.054873e-04,0.2399
160.0,0.8529,2503.2,1918.8,47.256,3.573,24.173,0.2640,1.273854e-05,-7.426261e-04,0.2415
170.0,0.8430,2058.5,1916.8,47.117,3.540,23.940,0.2655,1.287200e-05,-7.787187e-04,0.2431
180.0,0.8332,1696.7,1914.9,46.978,3.507,23.707,0.2670,1.300217e-05,-8.137947e-04,0.2447
190.0,0.9687,1434.6,1913.0,46.839,3.473,23.473,0.2685,1.312912e-05,-8.478827e-04,0.2463
200.0,0.9573,1264.1,1911.0,46.700,3.440,23.240,0.2700,1.325294e-05,-8.810105e-04,0.2478
210.0,0.9459,1164.3,1907.9,46.325,3.380,22.890,0.2715,1.337370e-05,-9.132052e-04,0.2493
220.0,0.9346,1111.9,1904.8,45.950,3.320,22.540,0.2730,1.349148e-05,-9.444931e-04,0.2508
230.0,0.9233,1087.5,1901.8,45.575,3.260,22.190,0.2745,1.360635e-05,-9.748997e-04,0.2522
240.0,0.9121,1078.1,1898.7,45.200,3.200,21.840,0.2760,1.371838e-05,-1.004450e-03,0.2536
250.0,0.9009,1075.8,1895.6,44.825,3.140,21.490,0.2775,1.382765e-05,-1.033168e-03,0.2550
260.0,0.8898,1076.5,1892.6,44.450,3.080,21.140,0.2790,1.393422e-05,-1.061077e-03,0.2563
270.0,0.8787,1078.5,1889.5,44.075,3.020,20.790,0.2805,1.403816e-05,-1.088199e-03,0.2577
280.0,0.8677,1080.8,1886.4,43.700,2.960,20.440,0.2820,1.413954e-05,-1.114558e-03,0.2589
290.0,0.8567,1083.2,1883.4,43.325,2.900,20.090,0.2835,1.423841e-05,-1.140175e-03,0.2602
300.0,0.8458,1085.5,1880.3,42.950,2.840,19.740,0.2850,1.433484e-05,-1.165069e-03,0.2614
310.0,0.8349,1087.9,1877.2,42.575,2.780,19.390,0.2865,1.442888e-05,-1.189263e-03,0.2626
320.0,0.8241,1090.1,1874.2,42.200,2.720,19.040,0.2880,1.452061e-05,-1.212775e-03,0.2638
330.0,0.8134,1092.4,1871.1,41.825,2.660,18.690,0.2895,1.461007e-05,-1.235625e-03,0.2650
340.0,0.8027,1094.5,1868.0,41.450,2.600,18.340,0.2910,1.469733e-05,-1.257831e-03,0.2661
350.0,0.7920,1096.6,1865.0,41.075,2.540,17.990,0.2925,1.478242e-05,-1.279412e-03,0.2672
360.0,0.7814,1098.7,1861.9,40.700,2.480,17.640,0.2940,1.486542e-05,-1.300385e-03,0.2683
370.0,0.7709,1100.7,1858.9,40.325,2.420,17.290,0.2955,1.494637e-05,-1.320767e-03,0.2694
380.0,0.7604,1102.7,1855.8,39.950,2.360,16.940,0.2970,1.502532e-05,-1.340575e-03,0.2704
390.0,0.7499,1104.6,1852.8,39.575,2.300,16.590,0.2985,1.510232e-05,-1.359825e-03,0.2714
400.0,0.7395,1106.4,1849.7,39.200,2.240,16.240,0.3000,1.517742e-05,-1.378533e-03,0.2724
410.0,0.7292,1108.2,1846.7,38.575,2.186,15.890,0.3015,1.525067e-05,-1.396714e-03,0.2734
420.0,0.7189,1110.0,1843.6,37.950,2.132,15.540,0.3030,1.532210e-05,-1.414383e-03,0.2744
430.0,0.7087,1111.7,1840.6,37.325,2.078,15.190,0.3045,1.539177e-05,-1.431554e-03,0.2753
440.0,0.6985,1113.4,1837.5,36.700,2.024,14.840,0.3060,1.545973e-05,-1.448242e-03,0.2762
450.0,0.6884,1115.1,1834.5,36.075,1.970,14.490,0.3075,1.552600e-05,-1.464459e-03,0.2771
460.0,0.6783,1116.7,1831.4,35.450,1.916,14.140,0.3090,1.559064e-05,-1.480220e-03,0.2780
470.0,0.6683,1118.2,1828.4,34.825,1.862,13.790,0.3105,1.565368e-05,-1.495536e-03,0.2788
480.0,0.6583,1119.8,1825.3,34.200,1.808,13.440,0.3120,1.571517e-05,-1.510422e-03,0.2797
490.0,0.6484,1121.2,1822.3,33.575,1.754,13.090,0.3135,1.577514e-05,-1.524888e-03,0.2805
500.0,0.6385,1122.7,1819.3,32.950,1.700,12.740,0.3150,1.583363e-05,-1.538946e-03,0.2813
510.0,0.6287,1124.1,1816.2,32.325,1.646,12.390,0.3165,1.589067e-05,-1.552609e-03,0.2821
520.0,0.6189,1125.5,1813.2,31.700,1.592,12.040,0.3180,1.594630e-05,-1.565887e-03,0.2829
530.0,0.6092,1126.8,1810.1,31.075,1.538,11.690,0.3195,1.600056e-05,-1.578790e-03,0.2836
540.0,0.5995,1128.2,1807.1,30.450,1.484,11.340,0.3210,1.605349e-05,-1.591331e-03,0.2844
550.0,0.5899,1129.4,1804.1,29.825,1.430,10.990,0.3225,1.610510e-05,-1.603518e-03,0.2851
560.0,0.5804,1130.7,1801.0,29.200,1.376,10.640,0.3240,1.615544e-05,-1.615361e-03,0.2858
570.0,0.5709,1131.9,1798.0,28.575,1.322,10.290,0.3255,1.620454e-05,-1.626872e-03,0.2865
580.0,0.5614,1133.1,1795.0,27.950,1.268,9.940,0.3270,1.625243e-05,-1.638058e-03,0.2872
590.0,0.5520,1134.2,1792.0,27.325,1.214,9.590,0.3285,1.629913e-05,-1.648928e-03,0.2879
600.0,0.5427,1135.4,1788.9,26.700,1.160,9.240,0.3300,1.634468e-05,-1.659493e-03,0.2885
610.0,0.5334,1136.5,1786.4,26.125,1.128,9.002,0.3290,1.638910e-05,-1.669760e-03,0.2892
620.0,0.5242,1137.6,1783.8,25.550,1.096,8.764,0.3280,1.643243e-05,-1.679738e-03,0.2898
630.0,0.5150,1138.6,1781.2,24.975,1.064,8.526,0.3270,1.647469e-05,-1.689435e-03,0.2904
640.0,0.5058,1139.6,1778.6,24.400,1.032,8.288,0.3260,1.651591e-05,-1.698859e-03,0.2910
650.0,0.4967,1140.6,1776.1,23.825,1.000,8.050,0.3250,1.655610e-05,-1.708017e-03,0.2916
660.0,0.4877,1141.6,1773.5,23.250,0.968,7.812,0.3240,1.659531e-05,-1.716917e-03,0.2922
670.0,0.4787,1142.5,1770.9,22.675,0.936,7.574,0.3230,1.663355e-05,-1.725567e-03,0.2927
680.0,0.4698,1143.5,1768.3,22.100,0.904,7.336,0.3220,1.667084e-05,-1.733973e-03,0.2933
690.0,0.4609,1144.4,1765.8,21.525,0.872,7.098,0.3210,1.670721e-05,-1.742142e-03,0.2938
700.0,0.4521,1145.2,1763.2,20.950,0.840,6.860,0.3200,1.674269e-05,-1.750081e-03,0.2944
710.0,0.4433,1146.1,1760.6,20.375,0.808,6.622,0.3190,1.677729e-05,-1.757797e-03,0.2949
720.0,0.4346,1146.9,1758.0,19.800,0.776,6.384,0.3180,1.681103e-05,-1.765295e-03,0.2954
730.0,0.4260,1147.8,1755.5,19.225,0.744,6.146,0.3170,1.684394e-05,-1.772582e-03,0.2959
740.0,0.4173,1148.6,1752.9,18.650,0.712,5.908,0.3160,1.687604e-05,-1.779664e-03,0.2964
750.0,0.4088,1149.3,1750.3,18.075,0.680,5.670,0.3150,1.690735e-05,-1.786546e-03,0.2969
760.0,0.4003,1150.1,1747.7,17.500,0.648,5.432,0.3140,1.693788e-05,-1.793234e-03,0.2973
770.0,0.3918,1150.8,1745.2,16.925,0.616,5.194,0.3130,1.696766e-05,-1.799734e-03,0.2978
780.0,0.3834,1151.5,1742.6,16.350,0.584,4.956,0.3120,1.699670e-05,-1.806051e-03,0.2982
790.0,0.3751,1152.2,1740.0,15.775,0.552,4.718,0.3110,1.702503e-05,-1.812190e-03,0.2987
800.0,0.3668,1152.9,1737.5,15.200,0.520,4.480,0.3100,1.705266e-05,-1.818156e-03,0.2991
810.0,0.3585,1153.6,1733.6,14.850,0.508,4.368,0.3090,1.707960e-05,-1.823954e-03,0.2995
820.0,0.3503,1154.3,1729.7,14.500,0.496,4.256,0.3080,1.710588e-05,-1.829589e-03,0.3000
