T_C,stress_ratio,damage_index,intrinsic_permeability_m2
20.0,0.0,0.0,1.6000e-19
20.0,0.2,0.072,2.1340e-19
20.0,0.4,0.144,2.8463e-19
20.0,0.6,0.216,3.7962e-19
30.0,0.0,0.0,1.6000e-19
30.0,0.2,0.072,2.1340e-19
30.0,0.4,0.144,2.8463e-19
30.0,0.6,0.216,3.7962e-19
40.0,0.0,0.0,1.6000e-19
40.0,0.2,0.072,2.1340e-19
40.0,0.4,0.144,2.8463e-19
40.0,0.6,0.216,3.7962e-19
50.0,0.0,0.0,1.6000e-19
50.0,0.2,0.072,2.1340e-19
50.0,0.4,0.144,2.8463e-19
50.0,0.6,0.216,3.7962e-19
60.0,0.0,0.0,1.6000e-19
60.0,0.2,0.072,2.1340e-19
60.0,0.4,0.144,2.8463e-19
60.0,0.6,0.216,3.7962e-19
70.0,0.0,0.0,1.6000e-19
70.0,0.2,0.072,2.1340e-19
70.0,0.4,0.144,2.8463e-19
70.0,0.6,0.216,3.7962e-19
80.0,0.0,0.0,1.6000e-19
80.0,0.2,0.072,2.1340e-19
80.0,0.4,0.144,2.8463e-19
80.0,0.6,0.216,3.7962e-19
90.0,0.0,0.0,1.6000e-19
90.0,0.2,0.072,2.1340e-19
90.0,0.4,0.144,2.8463e-19
90.0,0.6,0.216,3.7962e-19
100.0,0.0,0.0,1.6000e-19
100.0,0.2,0.072,2.1340e-19
100.0,0.4,0.144,2.8463e-19
100.0,0.6,0.216,3.7962e-19
110.0,0.0,0.0,1.6000e-19
110.0,0.2,0.072,2.1340e-19
110.0,0.4,0.144,2.8463e-19
110.0,0.6,0.216,3.7962e-19
120.0,0.0,0.0,1.6000e-19
120.0,0.2,0.072,2.1340e-19
120.0,0.4,0.144,2.8463e-19
120.0,0.6,0.216,3.7962e-19
130.0,0.0,0.0,1.6000e-19
130.0,0.2,0.072,2.1340e-19
130.0,0.4,0.144,2.8463e-19
130.0,0.6,0.216,3.7962e-19
140.0,0.0,0.0,1.6000e-19
140.0,0.2,0.072,2.1340e-19
140.0,0.4,0.144,2.8463e-19
140.0,0.6,0.216,3.7962e-19
150.0,0.0,0.0,1.6000e-19
150.0,0.2,0.072,2.1340e-19
150.0,0.4,0.144,2.8463e-19
150.0,0.6,0.216,3.7962e-19
160.0,0.0,0.0,1.7160e-19
160.0,0.2,0.072,2.2887e-19
160.0,0.4,0.144,3.0526e-19
160.0,0.6,0.216,4.0715e-19
170.0,0.0,0.0,1.8404e-19
170.0,0.2,0.072,2.4547e-19
170.0,0.4,0.144,3.2740e-19
170.0,0.6,0.216,4.3667e-19
180.0,0.0,0.0,1.9739e-19
180.0,0.2,0.072,2.6327e-19
180.0,0.4,0.144,3.5114e-19
180.0,0.6,0.216,4.6833e-19
190.0,0.0,0.0,2.1170e-19
190.0,0.2,0.072,2.8236e-19
190.0,0.4,0.144,3.7660e-19
