T_C,stress_ratio,damage_index,intrinsic_permeability_m2
20.0,0.0,0.0,1.0000e-19
20.0,0.2,0.072,1.3338e-19
20.0,0.4,0.144,1.7789e-19
20.0,0.6,0.216,2.3726e-19
30.0,0.0,0.0,1.0000e-19
30.0,0.2,0.072,1.3338e-19
30.0,0.4,0.144,1.7789e-19
30.0,0.6,0.216,2.3726e-19
40.0,0.0,0.0,1.0000e-19
40.0,0.2,0.072,1.3338e-19
40.0,0.4,0.144,1.7789e-19
40.0,0.6,0.216,2.3726e-19
50.0,0.0,0.0,1.0000e-19
50.0,0.2,0.072,1.3338e-19
50.0,0.4,0.144,1.7789e-19
50.0,0.6,0.216,2.3726e-19
60.0,0.0,0.0,1.0000e-19
60.0,0.2,0.072,1.3338e-19
60.0,0.4,0.144,1.7789e-19
60.0,0.6,0.216,2.3726e-19
70.0,0.0,0.0,1.0000e-19
70.0,0.2,0.072,1.3338e-19
70.0,0.4,0.144,1.7789e-19
70.0,0.6,0.216,2.3726e-19
80.0,0.0,0.0,1.0000e-19
80.0,0.2,0.072,1.3338e-19
80.0,0.4,0.144,1.7789e-19
80.0,0.6,0.216,2.3726e-19
90.0,0.0,0.0,1.0000e-19
90.0,0.2,0.072,1.3338e-19
90.0,0.4,0.144,1.7789e-19
90.0,0.6,0.216,2.3726e-19
100.0,0.0,0.0,1.0000e-19
100.0,0.2,0.072,1.3338e-19
100.0,0.4,0.144,1.7789e-19
100.0,0.6,0.216,2.3726e-19
110.0,0.0,0.0,1.0000e-19
110.0,0.2,0.072,1.3338e-19
110.0,0.4,0.144,1.7789e-19
110.0,0.6,0.216,2.3726e-19
120.0,0.0,0.0,1.0000e-19
120.0,0.2,0.072,1.3338e-19
120.0,0.4,0.144,1.7789e-19
120.0,0.6,0.216,2.3726e-19
130.0,0.0,0.0,1.0000e-19
130.0,0.2,0.072,1.3338e-19
130.0,0.4,0.144,1.7789e-19
130.0,0.6,0.216,2.3726e-19
140.0,0.0,0.0,1.0000e-19
140.0,0.2,0.072,1.3338e-19
140.0,0.4,0.144,1.7789e-19
140.0,0.6,0.216,2.3726e-19
150.0,0.0,0.0,1.0000e-19
150.0,0.2,0.072,1.3338e-19
150.0,0.4,0.144,1.7789e-19
150.0,0.6,0.216,2.3726e-19
