T_C,k_W_mK,cp_J_kgK,rho_kg_m3,fc_MPa,ft_MPa,E_GPa,nu,alpha_1_K,eps_tts,porosity
20.0,2.1544,957.0,2345.3,70.000,5.500,38.000,0.2030,1.090967e-05,-1.221899e-04,0.1239
30.0,2.1317,1017.1,2342.9,69.806,5.454,37.683,0.2045,1.110695e-05,-1.807158e-04,0.1258
40.0,2.1091,1124.5,2340.6,69.611,5.408,37.367,0.2060,1.129937e-05,-2.375933e-04,0.1277
50.0,2.0866,1302.4,2338.2,69.417,5.363,37.050,0.2075,1.148703e-05,-2.928686e-04,0.1295
60.0,2.0642,1572.0,2335.9,69.222,5.317,36.733,0.2090,1.167005e-05,-3.465870e-04,0.1313
70.0,2.0419,1941.4,2333.6,69.028,5.271,36.417,0.2105,1.184856e-05,-3.987923e-04,0.1331
80.0,1.7168,2393.5,2331.2,68.833,5.225,36.100,0.2120,1.202266e-05,-4.495272e-04,0.1348
90.0,1.6980,2879.5,2328.8,68.639,5.179,35.783,0.2135,1.219246e-05,-4.988330e-04,0.1365
100.0,1.6793,3322.5,2326.5,68.444,5.133,35.467,0.2150,1.235807e-05,-5.467500e-04,0.1381
110.0,1.6607,3636.1,2324.2,68.250,5.088,35.150,0.2165,1.251959e-05,-5.933173e-04,0.1397
120.0,1.6421,3751.8,2321.8,68.056,5.042,34.833,0.2180,1.267713e-05,-6.385729e-04,0.1413
130.0,1.6237,3643.5,2319.4,67.861,4.996,34.517,0.2195,1.283077e-05,-6.825538e-04,0.1429
140.0,1.6053,3337.3,2317.1,67.667,4.950,34.200,0.2210,1.298062e-05,-7.252959e-04,0.1444
150.0,1.5870,2901.7,2314.8,67.472,4.904,33.883,0.2225,1.312677e-05,-7.668341e-04,0.1459
160.0,1.5688,2423.2,2312.4,67.278,4.858,33.567,0.2240,1.326931e-05,-8.072022e-04,0.1474
170.0,1.5507,1978.5,2310.1,67.083,4.812,33.250,0.2255,1.340833e-05,-8.464333e-04,0.1488
180.0,1.5326,1616.7,2307.7,66.889,4.767,32.933,0.2270,1.354392e-05,-8.845594e-04,0.1502
190.0,1.7820,1354.6,2305.3,66.694,4.721,32.617,0.2285,1.367617e-05,-9.216116e-04,0.1516
200.0,1.7609,1184.1,2303.0,66.500,4.675,32.300,0.2300,1.380514e-05,-9.576201e-04,0.1530
210.0,1.7400,1084.3,2299.9,65.975,4.592,31.825,0.2315,1.393093e-05,-9.926144e-04,0.1543
220.0,1.7191,1031.9,2296.7,65.450,4.510,31.350,0.2330,1.405362e-05,-1.026623e-03,0.1556
230.0,1.6984,1007.5,2293.6,64.925,4.427,30.875,0.2345,1.417328e-05,-1.059674e-03,0.1569
240.0,1.6777,998.1,2290.5,64.400,4.345,30.400,0.2360,1.428998e-05,-1.091793e-03,0.1581
250.0,1.6572,995.8,2287.3,63.875,4.262,29.925,0.2375,1.440380e-05,-1.123008e-03,0.1593
260.0,1.6367,996.5,2284.2,63.350,4.180,29.450,0.2390,1.451482e-05,-1.153344e-03,0.1605
270.0,1.6163,998.5,2281.1,62.825,4.098,28.975,0.2405,1.462309e-05,-1.182825e-03,0.1617
280.0,1.5961,1000.8,2277.9,62.300,4.015,28.500,0.2420,1.472868e-05,-1.211476e-03,0.1629
290.0,1.5759,1003.2,2274.8,61.775,3.933,28.025,0.2435,1.483167e-05,-1.239320e-03,0.1640
300.0,1.5558,1005.5,2271.7,61.250,3.850,27.550,0.2450,1.493212e-05,-1.266380e-03,0.1651
310.0,1.5358,1007.9,2268.5,60.725,3.768,27.075,0.2465,1.503009e-05,-1.292677e-03,0.1662
320.0,1.5159,1010.1,2265.4,60.200,3.685,26.600,0.2480,1.512564e-05,-1.318234e-03,0.1673
330.0,1.4962,1012.4,2262.3,59.675,3.603,26.125,0.2495,1.521883e-05,-1.343071e-03,0.1683
