T_C,k_W_mK,cp_J_kgK,rho_kg_m3,fc_MPa,ft_MPa,E_GPa,nu,alpha_1_K,eps_tts,porosity
20.0,1.5041,1007.0,2095.8,57.536,4.623,31.680,0.2230,1.069148e-05,-1.173023e-04,0.1742
30.0,1.4883,1067.1,2093.7,57.375,4.585,31.413,0.2245,1.088482e-05,-1.734872e-04,0.1763
40.0,1.4725,1174.5,2091.6,57.214,4.546,31.147,0.2260,1.107338e-05,-2.280895e-04,0.1783
50.0,1.4568,1352.4,2089.5,57.053,4.508,30.880,0.2275,1.125729e-05,-2.811539e-04,0.1803
60.0,1.4412,1622.0,2087.4,56.892,4.470,30.613,0.2290,1.143665e-05,-3.327235e-04,0.1822
70.0,1.4256,1991.4,2085.3,56.730,4.431,30.347,0.2305,1.161159e-05,-3.828406e-04,0.1841
80.0,1.1986,2443.5,2083.2,56.569,4.393,30.080,0.2320,1.178221e-05,-4.315461e-04,0.1860
90.0,1.1855,2929.5,2081.1,56.408,4.355,29.813,0.2335,1.194861e-05,-4.788797e-04,0.1878
100.0,1.1725,3372.5,2079.0,56.247,4.316,29.547,0.2350,1.211091e-05,-5.248800e-04,0.1895
110.0,1.1595,3686.1,2076.9,56.086,4.278,29.280,0.2365,1.226920e-05,-5.695846e-04,0.1913
120.0,1.1465,3801.8,2074.8,55.925,4.240,29.013,0.2380,1.242358e-05,-6.130300e-04,0.1930
130.0,1.1336,3693.5,2072.7,55.764,4.201,28.747,0.2395,1.257415e-05,-6.552516e-04,0.1947
140.0,1.1208,3387.3,2070.6,55.603,4.163,28.480,0.2410,1.272101e-05,-6.962841e-04,0.1963
150.0,1.1080,2951.7,2068.5,55.442,4.125,28.213,0.2425,1.286423e-05,-7.361607e-04,0.1979
160.0,1.0953,2473.2,2066.4,55.280,4.086,27.947,0.2440,1.300393e-05,-7.749141e-04,0.1995
170.0,1.0827,2028.5,2064.3,55.119,4.048,27.680,0.2455,1.314017e-05,-8.125760e-04,0.2010
180.0,1.0701,1666.7,2062.2,54.958,4.010,27.413,0.2470,1.327305e-05,-8.491770e-04,0.2025
190.0,1.2441,1404.6,2060.1,54.797,3.971,27.147,0.2485,1.340264e-05,-8.847471e-04,0.2040
200.0,1.2294,1234.1,2058.0,54.636,3.933,26.880,0.2500,1.352904e-05,-9.193153e-04,0.2054
210.0,1.2148,1134.3,2054.9,54.201,3.864,26.480,0.2515,1.365232e-05,-9.529098e-04,0.2068
220.0,1.2003,1081.9,2051.9,53.766,3.795,26.080,0.2530,1.377255e-05,-9.855581e-04,0.2082
230.0,1.1858,1057.5,2048.8,53.331,3.726,25.680,0.2545,1.388981e-05,-1.017287e-03,0.2095
240.0,1.1714,1048.1,2045.8,52.896,3.657,25.280,0.2560,1.400418e-05,-1.048122e-03,0.2109
250.0,1.1570,1045.8,2042.7,52.461,3.588,24.880,0.2575,1.411573e-05,-1.078088e-03,0.2122
260.0,1.1427,1046.5,2039.7,52.026,3.519,24.480,0.2590,1.422452e-05,-1.107210e-03,0.2134
270.0,1.1285,1048.5,2036.6,51.591,3.450,24.080,0.2605,1.433062e-05,-1.135512e-03,0.2147
280.0,1.1143,1050.8,2033.6,51.156,3.381,23.680,0.2620,1.443411e-05,-1.163017e-03,0.2159
290.0,1.1003,1053.2,2030.5,50.721,3.312,23.280,0.2635,1.453504e-05,-1.189747e-03,0.2171
300.0,1.0862,1055.5,2027.5,50.286,3.243,22.880,0.2650,1.463348e-05,-1.215725e-03,0.2183
310.0,1.0723,1057.9,2024.4,49.851,3.174,22.480,0.2665,1.472949e-05,-1.240970e-03,0.2194
320.0,1.0584,1060.1,2021.4,49.416,3.105,22.080,0.2680,1.482312e-05,-1.265504e-03,0.2205
330.0,1.0446,1062.4,2018.3,48.981,3.036,21.680,0.2695,1.491445e-05,-1.289348e-03,0.2217
340.0,1.0308,1064.5,2015.3,48.546,2.967,21.280,0.2710,1.500352e-05,-1.312520e-03,0.2227
350.0,1.0172,1066.6,2012.2,48.111,2.898,20.880,0.2725,1.509039e-05,-1.335039e-03,0.2238
360.0,1.0035,1068.7,2009.2,47.676,2.829,20.480,0.2740,1.517512e-05,-1.356923e-03,0.2248
370.0,0.9900,1070.7,2006.1,47.241,2.760,20.080,0.2755,1.525775e-05,-1.378192e-03,0.2258
380.0,0.9765,1072.7,2003.1,46.806,2.691,19.680,0.2770,1.533835e-05,-1.398861e-03,0.2268
390.0,0.9631,1074.6,2000.0,46.371,2.622,19.280,0.2785,1.541695e-05,-1.418948e-03,0.2278
400.0,0.9498,1076.4,1997.0,45.936,2.553,18.880,0.2800,1.549362e-05,-1.438469e-03,0.2287
410.0,0.9365,1078.2,1994.0,45.211,2.491,18.480,0.2815,1.556839e-05,-1.457441e-03,0.2297
420.0,0.9233,1080.0,1990.9,44.486,2.429,18.080,0.2830,1.564131e-05,-1.475878e-03,0.2306
430.0,0.9101,1081.7,1987.9,43.761,2.367,17.680,0.2845,1.571244e-05,-1.493796e-03,0.2315
