frequency,attenuation_coefficient
100.0,23.5594321575479
109.85411419875584,27.174883030419128
120.67926406393289,31.399288381840755
132.57113655901094,36.34256160797821
145.63484775012444,42.13545974137338
159.98587196060572,48.933669902883985
175.7510624854791,56.922714136984055
193.06977288832496,66.32383868560864
212.09508879201903,77.40108771515723
232.99518105153717,90.46980244794925
255.95479226995357,105.90683600079632
281.1768697974231,124.16283373345564
308.88435964774817,145.777000650463
339.32217718953297,171.3948639049016
372.7593720314938,201.78964276670257
409.4915062380423,237.8879642143603
449.8432668969444,280.80081401919733
494.1713361323833,331.86079616246536
542.867543932386,392.66699410876845
596.3623316594643,465.1389936382342
655.1285568595509,551.5819480059884
719.6856730011522,654.7649534823875
790.6043210907701,778.015470503743
868.511373751352,925.3330892284656
954.0954763499943,1101.5266181539362
1048.1131341546852,1312.3792946245712
1151.395399326447,1564.847905534873
1264.8552168552958,1867.302800275126
1389.4954943731375,2229.817218182962
1526.4179671752333,2664.5160903729525
1676.8329368110064,3185.9965722664597
1842.0699693267163,3811.8350925828004
2023.5896477251556,4563.198756454525
2222.9964825261955,5465.582622664083
2442.05309454865,6549.698818052508
2682.6957952797247,7852.548813146161
2947.0517025518097,9418.716651703466
3237.457542817643,11301.928732146454
3556.4803062231285,13566.935156981319
3906.939937054613,16291.779030719374
4291.934260128778,19570.53379979816
4714.8663634573895,23516.60527506172
5179.474679231213,28266.714944359173
5689.866029018293,33985.70527674695
6250.55192527397,40872.33679381575
6866.488450042998,49166.28176735781
7543.120063354615,59156.561738405166
8286.427728546842,71191.72713992036
9102.981779915217,85692.13895345943
10000.0,103164.78672240097
