sample_id,npz_path
train_000052,/workspace/data/sintering_ds/train/fields/train_000052.npz
train_000064,/workspace/data/sintering_ds/train/fields/train_000064.npz
train_000070,/workspace/data/sintering_ds/train/fields/train_000070.npz
train_000097,/workspace/data/sintering_ds/train/fields/train_000097.npz
train_000138,/workspace/data/sintering_ds/train/fields/train_000138.npz
train_000177,/workspace/data/sintering_ds/train/fields/train_000177.npz
train_000178,/workspace/data/sintering_ds/train/fields/train_000178.npz
train_000190,/workspace/data/sintering_ds/train/fields/train_000190.npz
train_000211,/workspace/data/sintering_ds/train/fields/train_000211.npz
train_000218,/workspace/data/sintering_ds/train/fields/train_000218.npz
train_000219,/workspace/data/sintering_ds/train/fields/train_000219.npz
train_000222,/workspace/data/sintering_ds/train/fields/train_000222.npz
train_000247,/workspace/data/sintering_ds/train/fields/train_000247.npz
train_000249,/workspace/data/sintering_ds/train/fields/train_000249.npz
train_000297,/workspace/data/sintering_ds/train/fields/train_000297.npz
train_000315,/workspace/data/sintering_ds/train/fields/train_000315.npz
train_000334,/workspace/data/sintering_ds/train/fields/train_000334.npz
train_000358,/workspace/data/sintering_ds/train/fields/train_000358.npz
train_000367,/workspace/data/sintering_ds/train/fields/train_000367.npz
train_000405,/workspace/data/sintering_ds/train/fields/train_000405.npz
train_000418,/workspace/data/sintering_ds/train/fields/train_000418.npz
train_000442,/workspace/data/sintering_ds/train/fields/train_000442.npz
train_000443,/workspace/data/sintering_ds/train/fields/train_000443.npz
train_000562,/workspace/data/sintering_ds/train/fields/train_000562.npz
train_000608,/workspace/data/sintering_ds/train/fields/train_000608.npz
train_000635,/workspace/data/sintering_ds/train/fields/train_000635.npz
train_000648,/workspace/data/sintering_ds/train/fields/train_000648.npz
train_000668,/workspace/data/sintering_ds/train/fields/train_000668.npz
train_000730,/workspace/data/sintering_ds/train/fields/train_000730.npz
train_000762,/workspace/data/sintering_ds/train/fields/train_000762.npz
train_000770,/workspace/data/sintering_ds/train/fields/train_000770.npz
train_000803,/workspace/data/sintering_ds/train/fields/train_000803.npz
train_000809,/workspace/data/sintering_ds/train/fields/train_000809.npz
train_000817,/workspace/data/sintering_ds/train/fields/train_000817.npz
train_000822,/workspace/data/sintering_ds/train/fields/train_000822.npz
train_000838,/workspace/data/sintering_ds/train/fields/train_000838.npz
train_000847,/workspace/data/sintering_ds/train/fields/train_000847.npz
train_000849,/workspace/data/sintering_ds/train/fields/train_000849.npz
train_000870,/workspace/data/sintering_ds/train/fields/train_000870.npz
train_000872,/workspace/data/sintering_ds/train/fields/train_000872.npz
train_000878,/workspace/data/sintering_ds/train/fields/train_000878.npz
train_000895,/workspace/data/sintering_ds/train/fields/train_000895.npz
train_000896,/workspace/data/sintering_ds/train/fields/train_000896.npz
train_000922,/workspace/data/sintering_ds/train/fields/train_000922.npz
train_000932,/workspace/data/sintering_ds/train/fields/train_000932.npz
train_000936,/workspace/data/sintering_ds/train/fields/train_000936.npz
train_001009,/workspace/data/sintering_ds/train/fields/train_001009.npz
train_001026,/workspace/data/sintering_ds/train/fields/train_001026.npz
train_001054,/workspace/data/sintering_ds/train/fields/train_001054.npz
train_001058,/workspace/data/sintering_ds/train/fields/train_001058.npz
train_001065,/workspace/data/sintering_ds/train/fields/train_001065.npz
train_001089,/workspace/data/sintering_ds/train/fields/train_001089.npz
train_001101,/workspace/data/sintering_ds/train/fields/train_001101.npz
train_001144,/workspace/data/sintering_ds/train/fields/train_001144.npz
train_001166,/workspace/data/sintering_ds/train/fields/train_001166.npz
train_001188,/workspace/data/sintering_ds/train/fields/train_001188.npz
train_001208,/workspace/data/sintering_ds/train/fields/train_001208.npz
train_001213,/workspace/data/sintering_ds/train/fields/train_001213.npz
train_001219,/workspace/data/sintering_ds/train/fields/train_001219.npz
train_001229,/workspace/data/sintering_ds/train/fields/train_001229.npz
train_001240,/workspace/data/sintering_ds/train/fields/train_001240.npz
train_001243,/workspace/data/sintering_ds/train/fields/train_001243.npz
train_001301,/workspace/data/sintering_ds/train/fields/train_001301.npz
train_001306,/workspace/data/sintering_ds/train/fields/train_001306.npz
train_001314,/workspace/data/sintering_ds/train/fields/train_001314.npz
train_001341,/workspace/data/sintering_ds/train/fields/train_001341.npz
train_001344,/workspace/data/sintering_ds/train/fields/train_001344.npz
train_001365,/workspace/data/sintering_ds/train/fields/train_001365.npz
train_001375,/workspace/data/sintering_ds/train/fields/train_001375.npz
