sensor_id,x_mm,y_mm,time_s,temperature_C
TC_CENTER,50.0,50.0,0.0,800.1469047301152
TC_NW,0.0,100.0,0.0,675.5695241659278
TC_NE,100.0,100.0,0.0,875.5321816781227
TC_SW,0.0,0.0,0.0,674.7700168483661
TC_SE,100.0,0.0,0.0,875.5505744158364
TC_MID_W,0.0,50.0,0.0,675.2844511059246
TC_MID_E,100.0,50.0,0.0,875.5626026153553
TC_MID_N,50.0,100.0,0.0,774.8301479528565
TC_CENTER,50.0,50.0,30.252100840336134,802.1576948536606
TC_NW,0.0,100.0,30.252100840336134,675.861800487368
TC_NE,100.0,100.0,30.252100840336134,877.5589234358315
TC_SW,0.0,0.0,30.252100840336134,677.1331586686767
TC_SE,100.0,0.0,30.252100840336134,877.2457710968964
TC_MID_W,0.0,50.0,30.252100840336134,676.6871983742052
TC_MID_E,100.0,50.0,30.252100840336134,876.9420755008524
TC_MID_N,50.0,100.0,30.252100840336134,776.8099162407875
TC_CENTER,50.0,50.0,60.50420168067227,803.9987632424585
TC_NW,0.0,100.0,60.50420168067227,679.0616532540901
TC_NE,100.0,100.0,60.50420168067227,880.3443068850472
TC_SW,0.0,0.0,60.50420168067227,680.3921101266379
TC_SE,100.0,0.0,60.50420168067227,880.24836110176
TC_MID_W,0.0,50.0,60.50420168067227,680.0649660280313
TC_MID_E,100.0,50.0,60.50420168067227,879.2110827177355
TC_MID_N,50.0,100.0,60.50420168067227,778.175717604591
TC_CENTER,50.0,50.0,90.7563025210084,805.6952592286175
TC_NW,0.0,100.0,90.7563025210084,680.8468732976178
TC_NE,100.0,100.0,90.7563025210084,880.6926000562963
TC_SW,0.0,0.0,90.7563025210084,681.1003355504923
TC_SE,100.0,0.0,90.7563025210084,880.4228193523754
TC_MID_W,0.0,50.0,90.7563025210084,681.3569778208591
TC_MID_E,100.0,50.0,90.7563025210084,880.555994622626
TC_MID_N,50.0,100.0,90.7563025210084,780.7750655110964
TC_CENTER,50.0,50.0,121.00840336134453,807.7559283139213
TC_NW,0.0,100.0,121.00840336134453,682.4541100501852
TC_NE,100.0,100.0,121.00840336134453,882.7848764678856
TC_SW,0.0,0.0,121.00840336134453,682.9224179562701
TC_SE,100.0,0.0,121.00840336134453,882.0730409748705
TC_MID_W,0.0,50.0,121.00840336134453,682.9340317336578
TC_MID_E,100.0,50.0,121.00840336134453,882.7743761336276
TC_MID_N,50.0,100.0,121.00840336134453,782.937639769164
TC_CENTER,50.0,50.0,151.26050420168067,808.3766126912683
TC_NW,0.0,100.0,151.26050420168067,683.9840321312375
TC_NE,100.0,100.0,151.26050420168067,883.6952985348472
TC_SW,0.0,0.0,151.26050420168067,684.2848105669034
TC_SE,100.0,0.0,151.26050420168067,883.3628834458361
TC_MID_W,0.0,50.0,151.26050420168067,683.6648392900113
TC_MID_E,100.0,50.0,151.26050420168067,884.1676094233237
