material,temperature_C,specimen,fracture_strength_MPa,weibull_modulus,characteristic_strength_MPa
YSZ,25,1,312.48,12.0,300.0
YSZ,25,2,305.48,12.0,300.0
YSZ,25,3,324.64,12.0,300.0
YSZ,25,4,311.15,12.0,300.0
YSZ,25,5,275.99,12.0,300.0
YSZ,25,6,292.68,12.0,300.0
YSZ,25,7,338.4,12.0,300.0
YSZ,25,8,322.52,12.0,300.0
YSZ,25,9,259.74,12.0,300.0
YSZ,25,10,261.53,12.0,300.0
YSZ,600,1,305.43,11.65,274.12
YSZ,600,2,268.67,11.65,274.12
YSZ,600,3,273.48,11.65,274.12
YSZ,600,4,268.94,11.65,274.12
YSZ,600,5,262.79,11.65,274.12
YSZ,600,6,281.08,11.65,274.12
YSZ,600,7,280.35,11.65,274.12
YSZ,600,8,256.48,11.65,274.12
YSZ,600,9,255.3,11.65,274.12
YSZ,600,10,271.5,11.65,274.12
YSZ,750,1,265.85,11.56,267.38
YSZ,750,2,282.33,11.56,267.38
YSZ,750,3,279.83,11.56,267.38
YSZ,750,4,270.1,11.56,267.38
YSZ,750,5,259.15,11.56,267.38
YSZ,750,6,285.96,11.56,267.38
YSZ,750,7,237.82,11.56,267.38
YSZ,750,8,219.34,11.56,267.38
YSZ,750,9,196.43,11.56,267.38
YSZ,750,10,273.51,11.56,267.38
YSZ,850,1,284.89,11.5,262.88
YSZ,850,2,229.23,11.5,262.88
YSZ,850,3,208.87,11.5,262.88
YSZ,850,4,281.66,11.5,262.88
YSZ,850,5,211.75,11.5,262.88
YSZ,850,6,275.08,11.5,262.88
YSZ,850,7,256.48,11.5,262.88
YSZ,850,8,273.5,11.5,262.88
YSZ,850,9,256.82,11.5,262.88
YSZ,850,10,276.74,11.5,262.88
Ni-YSZ,25,1,148.64,8.0,200.0
Ni-YSZ,25,2,179.25,8.0,200.0
Ni-YSZ,25,3,213.2,8.0,200.0
Ni-YSZ,25,4,143.82,8.0,200.0
Ni-YSZ,25,5,236.01,8.0,200.0
Ni-YSZ,25,6,198.36,8.0,200.0
Ni-YSZ,25,7,182.82,8.0,200.0
