material,specimen,temperature_C,E_GPa,G_GPa,poisson
YSZ,1,25,208.94,78.12,0.278
YSZ,1,75,198.42,77.93,0.276
YSZ,1,125,200.68,77.73,0.266
YSZ,1,175,203.53,77.54,0.278
YSZ,1,225,202.56,77.34,0.282
YSZ,1,275,197.55,77.15,0.278
YSZ,1,325,187.47,76.95,0.29
YSZ,1,375,198.57,76.76,0.28
YSZ,1,425,187.12,76.56,0.286
YSZ,1,475,201.38,76.37,0.281
YSZ,1,525,195.68,76.17,0.284
YSZ,1,575,198.5,75.98,0.281
YSZ,1,625,190.39,75.78,0.287
YSZ,1,675,187.29,75.59,0.28
YSZ,1,725,194.04,75.39,0.282
YSZ,1,775,192.37,75.2,0.282
YSZ,1,825,190.03,75.0,0.279
YSZ,1,875,191.84,74.8,0.282
YSZ,2,25,195.26,78.12,0.294
YSZ,2,75,190.75,77.93,0.284
YSZ,2,125,199.6,77.73,0.285
YSZ,2,175,199.8,77.54,0.284
YSZ,2,225,202.84,77.34,0.287
YSZ,2,275,203.79,77.15,0.279
YSZ,2,325,203.28,76.95,0.27
YSZ,2,375,192.51,76.76,0.279
YSZ,2,425,194.59,76.56,0.284
YSZ,2,475,197.42,76.37,0.275
YSZ,2,525,205.13,76.17,0.279
YSZ,2,575,200.42,75.98,0.277
YSZ,2,625,198.48,75.78,0.288
YSZ,2,675,191.95,75.59,0.284
YSZ,2,725,189.47,75.39,0.283
YSZ,2,775,195.66,75.2,0.283
YSZ,2,825,187.6,75.0,0.28
YSZ,2,875,190.55,74.8,0.281
YSZ,3,25,192.16,78.12,0.279
YSZ,3,75,202.32,77.93,0.288
YSZ,3,125,192.36,77.73,0.278
YSZ,3,175,199.74,77.54,0.268
YSZ,3,225,194.45,77.34,0.283
YSZ,3,275,192.86,77.15,0.277
YSZ,3,325,195.23,76.95,0.28
YSZ,3,375,195.77,76.76,0.28
YSZ,3,425,193.42,76.56,0.279
YSZ,3,475,197.85,76.37,0.284
YSZ,3,525,193.22,76.17,0.272
