material,specimen,pO2_atm,chemical_strain
Ni-YSZ,1,1e-05,0.003948
Ni-YSZ,1,0.0001,0.002706
Ni-YSZ,1,0.0005,0.002091
Ni-YSZ,1,0.001,0.001663
Ni-YSZ,1,0.01,0.00046
Ni-YSZ,1,0.1,-0.000675
Ni-YSZ,1,0.21,-0.000905
Ni-YSZ,2,1e-05,0.003829
Ni-YSZ,2,0.0001,0.002726
Ni-YSZ,2,0.0005,0.0019
Ni-YSZ,2,0.001,0.001515
Ni-YSZ,2,0.01,0.000292
Ni-YSZ,2,0.1,-0.00083
Ni-YSZ,2,0.21,-0.001308
Ni-YSZ,3,1e-05,0.004034
Ni-YSZ,3,0.0001,0.002805
Ni-YSZ,3,0.0005,0.002009
Ni-YSZ,3,0.001,0.001651
Ni-YSZ,3,0.01,0.00046
Ni-YSZ,3,0.1,-0.000837
Ni-YSZ,3,0.21,-0.000975
Ni-YSZ,4,1e-05,0.004023
Ni-YSZ,4,0.0001,0.002614
Ni-YSZ,4,0.0005,0.001861
Ni-YSZ,4,0.001,0.001426
Ni-YSZ,4,0.01,0.000402
Ni-YSZ,4,0.1,-0.000812
Ni-YSZ,4,0.21,-0.001234
Ni-YSZ,5,1e-05,0.004201
Ni-YSZ,5,0.0001,0.002855
Ni-YSZ,5,0.0005,0.002034
Ni-YSZ,5,0.001,0.001507
Ni-YSZ,5,0.01,0.0003
Ni-YSZ,5,0.1,-0.000796
Ni-YSZ,5,0.21,-0.001169
Ni-YSZ,6,1e-05,0.003814
Ni-YSZ,6,0.0001,0.002782
Ni-YSZ,6,0.0005,0.001963
Ni-YSZ,6,0.001,0.001578
Ni-YSZ,6,0.01,0.000319
Ni-YSZ,6,0.1,-0.000854
Ni-YSZ,6,0.21,-0.001204
Ni-YSZ,7,1e-05,0.004009
Ni-YSZ,7,0.0001,0.00286
Ni-YSZ,7,0.0005,0.002069
Ni-YSZ,7,0.001,0.001571
Ni-YSZ,7,0.01,0.000354
Ni-YSZ,7,0.1,-0.000756
Ni-YSZ,7,0.21,-0.001126
Ni-YSZ,8,1e-05,0.003957
Ni-YSZ,8,0.0001,0.002879
Ni-YSZ,8,0.0005,0.002059
Ni-YSZ,8,0.001,0.001729
Ni-YSZ,8,0.01,0.000578
Ni-YSZ,8,0.1,-0.000887
Ni-YSZ,8,0.21,-0.001185
Ni-YSZ,9,1e-05,0.004001
Ni-YSZ,9,0.0001,0.00279
Ni-YSZ,9,0.0005,0.001896
Ni-YSZ,9,0.001,0.001451
Ni-YSZ,9,0.01,0.000409
Ni-YSZ,9,0.1,-0.000877
Ni-YSZ,9,0.21,-0.001178
Ni-YSZ,10,1e-05,0.003921
Ni-YSZ,10,0.0001,0.00269
Ni-YSZ,10,0.0005,0.001985
Ni-YSZ,10,0.001,0.001615
Ni-YSZ,10,0.01,0.000458
Ni-YSZ,10,0.1,-0.000581
Ni-YSZ,10,0.21,-0.001159
YSZ,1,1e-05,0.001049
YSZ,1,0.0001,0.000592
YSZ,1,0.0005,0.000362
YSZ,1,0.001,0.000558
YSZ,1,0.01,8e-06
YSZ,1,0.1,-0.000304
YSZ,1,0.21,-0.000301
YSZ,2,1e-05,0.000991
YSZ,2,0.0001,0.00061
YSZ,2,0.0005,0.00046
YSZ,2,0.001,0.000523
YSZ,2,0.01,1.9e-05
YSZ,2,0.1,-0.000339
YSZ,2,0.21,-0.000202
YSZ,3,1e-05,0.001049
YSZ,3,0.0001,0.000638
YSZ,3,0.0005,0.000332
YSZ,3,0.001,0.000326
YSZ,3,0.01,9.5e-05
YSZ,3,0.1,-8.3e-05
YSZ,3,0.21,-0.0004
YSZ,4,1e-05,0.000992
YSZ,4,0.0001,0.000768
YSZ,4,0.0005,0.000252
YSZ,4,0.001,0.000503
YSZ,4,0.01,-1.8e-05
YSZ,4,0.1,-0.000167
YSZ,4,0.21,-0.000272
YSZ,5,1e-05,0.001108
YSZ,5,0.0001,0.000755
YSZ,5,0.0005,0.000253
YSZ,5,0.001,0.000322
YSZ,5,0.01,0.000114
YSZ,5,0.1,-0.000219
YSZ,5,0.21,-0.000249
YSZ,6,1e-05,0.001079
YSZ,6,0.0001,0.000761
YSZ,6,0.0005,0.000469
YSZ,6,0.001,0.000215
YSZ,6,0.01,5.4e-05
YSZ,6,0.1,-0.000158
YSZ,6,0.21,-0.000406
YSZ,7,1e-05,0.001063
YSZ,7,0.0001,0.000791
YSZ,7,0.0005,0.000503
YSZ,7,0.001,9.4e-05
YSZ,7,0.01,-2.8e-05
YSZ,7,0.1,-1.1e-05
YSZ,7,0.21,-0.000351
YSZ,8,1e-05,0.000802
YSZ,8,0.0001,0.000824
YSZ,8,0.0005,0.000492
YSZ,8,0.001,0.00051
YSZ,8,0.01,0.000128
YSZ,8,0.1,-0.000154
YSZ,8,0.21,-0.00026
YSZ,9,1e-05,0.00107
YSZ,9,0.0001,0.000928
YSZ,9,0.0005,0.000587
YSZ,9,0.001,0.000242
YSZ,9,0.01,0.000145
YSZ,9,0.1,-8.6e-05
YSZ,9,0.21,-0.000176
YSZ,10,1e-05,0.000957
YSZ,10,0.0001,0.000816
YSZ,10,0.0005,0.000583
YSZ,10,0.001,0.000657
YSZ,10,0.01,2.5e-05
YSZ,10,0.1,-0.000251
YSZ,10,0.21,-0.000327
