material,specimen,temperature_C,cte_ppm_K,cte_mean,cte_std
YSZ,1,25,10.5244,10.5,0.08
YSZ,1,50,10.4206,10.5038,0.08
YSZ,1,75,10.5675,10.5075,0.08
YSZ,1,100,10.5865,10.5113,0.08
YSZ,1,125,10.3589,10.515,0.08
YSZ,1,150,10.4146,10.5188,0.08
YSZ,1,175,10.5327,10.5225,0.08
YSZ,1,200,10.501,10.5262,0.08
YSZ,1,225,10.5287,10.53,0.08
YSZ,1,250,10.4655,10.5337,0.08
YSZ,1,275,10.6079,10.5375,0.08
YSZ,1,300,10.6035,10.5412,0.08
YSZ,1,325,10.5503,10.545,0.08
YSZ,1,350,10.6389,10.5488,0.08
YSZ,1,375,10.5899,10.5525,0.08
YSZ,1,400,10.4875,10.5563,0.08
YSZ,1,425,10.5895,10.56,0.08
YSZ,1,450,10.487,10.5638,0.08
YSZ,1,475,10.6378,10.5675,0.08
YSZ,1,500,10.5673,10.5712,0.08
YSZ,1,525,10.5602,10.575,0.08
YSZ,1,550,10.5243,10.5787,0.08
YSZ,1,575,10.6803,10.5825,0.08
YSZ,1,600,10.5739,10.5862,0.08
YSZ,1,625,10.5557,10.59,0.08
YSZ,1,650,10.5656,10.5938,0.08
YSZ,1,675,10.6401,10.5975,0.08
YSZ,1,700,10.6305,10.6013,0.08
YSZ,1,725,10.638,10.605,0.08
YSZ,1,750,10.6432,10.6088,0.08
YSZ,1,775,10.7838,10.6125,0.08
YSZ,1,800,10.5837,10.6163,0.08
YSZ,1,825,10.579,10.62,0.08
YSZ,1,850,10.5586,10.6237,0.08
YSZ,1,875,10.6768,10.6275,0.08
YSZ,1,900,10.7216,10.6312,0.08
YSZ,2,25,10.4909,10.5,0.08
YSZ,2,50,10.4365,10.5038,0.08
YSZ,2,75,10.4415,10.5075,0.08
YSZ,2,100,10.5633,10.5113,0.08
YSZ,2,125,10.5745,10.515,0.08
YSZ,2,150,10.5622,10.5188,0.08
YSZ,2,175,10.4693,10.5225,0.08
YSZ,2,200,10.5448,10.5262,0.08
YSZ,2,225,10.5393,10.53,0.08
YSZ,2,250,10.5512,10.5337,0.08
YSZ,2,275,10.6072,10.5375,0.08
YSZ,2,300,10.5591,10.5412,0.08
YSZ,2,325,10.5993,10.545,0.08
YSZ,2,350,10.5542,10.5488,0.08
YSZ,2,375,10.5756,10.5525,0.08
YSZ,2,400,10.6068,10.5563,0.08
YSZ,2,425,10.4434,10.56,0.08
YSZ,2,450,10.5382,10.5638,0.08
YSZ,2,475,10.5299,10.5675,0.08
YSZ,2,500,10.5201,10.5712,0.08
YSZ,2,525,10.553,10.575,0.08
YSZ,2,550,10.6983,10.5787,0.08
YSZ,2,575,10.5132,10.5825,0.08
YSZ,2,600,10.6637,10.5862,0.08
YSZ,2,625,10.4554,10.59,0.08
YSZ,2,650,10.567,10.5938,0.08
YSZ,2,675,10.6105,10.5975,0.08
YSZ,2,700,10.6481,10.6013,0.08
YSZ,2,725,10.6619,10.605,0.08
YSZ,2,750,10.6722,10.6088,0.08
YSZ,2,775,10.5846,10.6125,0.08
YSZ,2,800,10.5793,10.6163,0.08
YSZ,2,825,10.6886,10.62,0.08
YSZ,2,850,10.6084,10.6237,0.08
YSZ,2,875,10.5254,10.6275,0.08
YSZ,2,900,10.5406,10.6312,0.08
YSZ,3,25,10.4264,10.5,0.08
YSZ,3,50,10.5435,10.5038,0.08
YSZ,3,75,10.5189,10.5075,0.08
YSZ,3,100,10.5665,10.5113,0.08
YSZ,3,125,10.4808,10.515,0.08
YSZ,3,150,10.5314,10.5188,0.08
YSZ,3,175,10.5725,10.5225,0.08
YSZ,3,200,10.5015,10.5262,0.08
YSZ,3,225,10.5665,10.53,0.08
YSZ,3,250,10.4808,10.5337,0.08
YSZ,3,275,10.5085,10.5375,0.08
YSZ,3,300,10.5107,10.5412,0.08
YSZ,3,325,10.4493,10.545,0.08
YSZ,3,350,10.5877,10.5488,0.08
YSZ,3,375,10.5149,10.5525,0.08
YSZ,3,400,10.5572,10.5563,0.08
YSZ,3,425,10.5985,10.56,0.08
YSZ,3,450,10.5995,10.5638,0.08
YSZ,3,475,10.6207,10.5675,0.08
YSZ,3,500,10.5634,10.5712,0.08
YSZ,3,525,10.5411,10.575,0.08
YSZ,3,550,10.5724,10.5787,0.08
YSZ,3,575,10.4475,10.5825,0.08
YSZ,3,600,10.4705,10.5862,0.08
YSZ,3,625,10.4842,10.59,0.08
YSZ,3,650,10.514,10.5938,0.08
YSZ,3,675,10.6295,10.5975,0.08
YSZ,3,700,10.5288,10.6013,0.08
YSZ,3,725,10.5747,10.605,0.08
YSZ,3,750,10.7127,10.6088,0.08
YSZ,3,775,10.584,10.6125,0.08
YSZ,3,800,10.6753,10.6163,0.08
YSZ,3,825,10.5453,10.62,0.08
YSZ,3,850,10.6073,10.6237,0.08
YSZ,3,875,10.5515,10.6275,0.08
YSZ,3,900,10.6041,10.6312,0.08
YSZ,4,25,10.5672,10.5,0.08
YSZ,4,50,10.3656,10.5038,0.08
YSZ,4,75,10.5423,10.5075,0.08
YSZ,4,100,10.5303,10.5113,0.08
YSZ,4,125,10.4675,10.515,0.08
YSZ,4,150,10.4031,10.5188,0.08
YSZ,4,175,10.5283,10.5225,0.08
YSZ,4,200,10.4839,10.5262,0.08
YSZ,4,225,10.5486,10.53,0.08
YSZ,4,250,10.5355,10.5337,0.08
YSZ,4,275,10.6656,10.5375,0.08
YSZ,4,300,10.5221,10.5412,0.08
YSZ,4,325,10.4631,10.545,0.08
YSZ,4,350,10.5631,10.5488,0.08
YSZ,4,375,10.5701,10.5525,0.08
YSZ,4,400,10.665,10.5563,0.08
YSZ,4,425,10.6268,10.56,0.08
YSZ,4,450,10.5923,10.5638,0.08
YSZ,4,475,10.6846,10.5675,0.08
YSZ,4,500,10.4761,10.5712,0.08
YSZ,4,525,10.5238,10.575,0.08
YSZ,4,550,10.5046,10.5787,0.08
YSZ,4,575,10.5513,10.5825,0.08
YSZ,4,600,10.4761,10.5862,0.08
YSZ,4,625,10.6408,10.59,0.08
YSZ,4,650,10.576,10.5938,0.08
YSZ,4,675,10.4798,10.5975,0.08
YSZ,4,700,10.52,10.6013,0.08
YSZ,4,725,10.6301,10.605,0.08
YSZ,4,750,10.6758,10.6088,0.08
YSZ,4,775,10.7722,10.6125,0.08
YSZ,4,800,10.8494,10.6163,0.08
YSZ,4,825,10.6532,10.62,0.08
YSZ,4,850,10.5446,10.6237,0.08
YSZ,4,875,10.4569,10.6275,0.08
YSZ,4,900,10.6527,10.6312,0.08
YSZ,5,25,10.435,10.5,0.08
YSZ,5,50,10.4705,10.5038,0.08
YSZ,5,75,10.4585,10.5075,0.08
YSZ,5,100,10.5,10.5113,0.08
YSZ,5,125,10.6003,10.515,0.08
YSZ,5,150,10.5313,10.5188,0.08
YSZ,5,175,10.5098,10.5225,0.08
YSZ,5,200,10.4434,10.5262,0.08
YSZ,5,225,10.396,10.53,0.08
YSZ,5,250,10.4948,10.5337,0.08
YSZ,5,275,10.5332,10.5375,0.08
YSZ,5,300,10.6827,10.5412,0.08
YSZ,5,325,10.5554,10.545,0.08
YSZ,5,350,10.6274,10.5488,0.08
YSZ,5,375,10.5126,10.5525,0.08
YSZ,5,400,10.4615,10.5563,0.08
YSZ,5,425,10.4828,10.56,0.08
YSZ,5,450,10.5057,10.5638,0.08
YSZ,5,475,10.7378,10.5675,0.08
YSZ,5,500,10.5055,10.5712,0.08
YSZ,5,525,10.6421,10.575,0.08
YSZ,5,550,10.5065,10.5787,0.08
YSZ,5,575,10.657,10.5825,0.08
YSZ,5,600,10.617,10.5862,0.08
YSZ,5,625,10.5775,10.59,0.08
YSZ,5,650,10.5905,10.5938,0.08
YSZ,5,675,10.5451,10.5975,0.08
YSZ,5,700,10.6369,10.6013,0.08
YSZ,5,725,10.5686,10.605,0.08
YSZ,5,750,10.5107,10.6088,0.08
YSZ,5,775,10.5103,10.6125,0.08
YSZ,5,800,10.6301,10.6163,0.08
YSZ,5,825,10.7463,10.62,0.08
YSZ,5,850,10.6365,10.6237,0.08
YSZ,5,875,10.618,10.6275,0.08
YSZ,5,900,10.6541,10.6312,0.08
YSZ,6,25,10.6045,10.5,0.08
YSZ,6,50,10.5213,10.5038,0.08
YSZ,6,75,10.4746,10.5075,0.08
YSZ,6,100,10.5998,10.5113,0.08
YSZ,6,125,10.5493,10.515,0.08
YSZ,6,150,10.6416,10.5188,0.08
YSZ,6,175,10.5372,10.5225,0.08
YSZ,6,200,10.4283,10.5262,0.08
YSZ,6,225,10.4205,10.53,0.08
YSZ,6,250,10.6658,10.5337,0.08
YSZ,6,275,10.6754,10.5375,0.08
YSZ,6,300,10.5269,10.5412,0.08
YSZ,6,325,10.5143,10.545,0.08
YSZ,6,350,10.6657,10.5488,0.08
YSZ,6,375,10.4639,10.5525,0.08
YSZ,6,400,10.4847,10.5563,0.08
YSZ,6,425,10.6115,10.56,0.08
YSZ,6,450,10.5322,10.5638,0.08
YSZ,6,475,10.5671,10.5675,0.08
YSZ,6,500,10.5582,10.5712,0.08
YSZ,6,525,10.602,10.575,0.08
YSZ,6,550,10.6913,10.5787,0.08
YSZ,6,575,10.5897,10.5825,0.08
YSZ,6,600,10.6378,10.5862,0.08
YSZ,6,625,10.426,10.59,0.08
YSZ,6,650,10.5899,10.5938,0.08
YSZ,6,675,10.53,10.5975,0.08
YSZ,6,700,10.5037,10.6013,0.08
YSZ,6,725,10.5347,10.605,0.08
YSZ,6,750,10.582,10.6088,0.08
YSZ,6,775,10.6858,10.6125,0.08
YSZ,6,800,10.5101,10.6163,0.08
YSZ,6,825,10.6225,10.62,0.08
YSZ,6,850,10.585,10.6237,0.08
YSZ,6,875,10.6013,10.6275,0.08
YSZ,6,900,10.7115,10.6312,0.08
YSZ,7,25,10.543,10.5,0.08
YSZ,7,50,10.6107,10.5038,0.08
YSZ,7,75,10.4951,10.5075,0.08
YSZ,7,100,10.4556,10.5113,0.08
YSZ,7,125,10.4971,10.515,0.08
YSZ,7,150,10.5381,10.5188,0.08
YSZ,7,175,10.5366,10.5225,0.08
YSZ,7,200,10.4395,10.5262,0.08
YSZ,7,225,10.5372,10.53,0.08
YSZ,7,250,10.552,10.5337,0.08
YSZ,7,275,10.7389,10.5375,0.08
YSZ,7,300,10.6914,10.5412,0.08
