phi1,c_eff
0.05,1212.1212106519743
0.1,1224.489794418992
0.15,1237.1134005314063
0.2,1249.9999984374997
0.25,1263.1578931412744
0.3,1276.5957430511546
0.35,1290.322578980229
0.39999999999999997,1304.347824385633
0.44999999999999996,1318.6813169423983
0.49999999999999994,1333.3333315555556
0.5499999999999999,1348.3146049236207
0.6,1363.6363617768595
0.65,1379.3103429250893
0.7,1395.348835262304
0.75,1411.7647038892733
0.7999999999999999,1428.5714265306124
0.85,1445.7831304398317
0.9,1463.4146320047591
0.95,1481.4814792866941
