experiment_id,measurement_location_m,radial_position_mm,phase,axial_velocity_ms,radial_velocity_ms,tangential_velocity_ms,velocity_fluctuation_rms_ms,reynolds_number_local,friction_velocity_ms
EXP001,1.0,0,gas,0.52,0.0,0.0,0.046,2847,0.0234
EXP001,1.0,5,gas,0.51,0.001,0.0,0.043,2793,0.0218
EXP001,1.0,10,gas,0.51,0.002,0.0,0.043,2793,0.0218
EXP001,1.0,15,gas,0.50,0.003,0.0,0.041,2738,0.0203
EXP001,1.0,20,gas,0.49,0.004,0.0,0.040,2684,0.0189
EXP001,1.0,25,interface,0.38,0.008,0.0,0.065,20805,0.0423
EXP001,1.0,30,liquid,1.21,0.005,0.0,0.030,121000,0.0089
EXP001,1.0,40,liquid,1.20,0.003,0.0,0.027,120000,0.0078
EXP001,1.0,50,liquid,1.19,0.002,0.0,0.026,119000,0.0067
EXP001,1.0,60,liquid,1.18,0.001,0.0,0.024,118000,0.0056
EXP001,1.0,70,liquid,1.17,0.001,0.0,0.022,117000,0.0045
EXP001,1.0,80,liquid,1.17,0.001,0.0,0.021,117000,0.0045
EXP001,1.0,90,liquid,1.16,0.0,0.0,0.018,116000,0.0034
EXP001,1.0,101.6,liquid,1.15,0.0,0.0,0.015,115000,0.0023
EXP003,1.0,0,gas,1.02,0.0,0.0,0.103,5587,0.0356
EXP003,1.0,5,gas,1.01,0.002,0.0,0.096,5532,0.0334
EXP003,1.0,10,gas,1.01,0.004,0.0,0.096,5532,0.0334
EXP003,1.0,15,gas,1.00,0.006,0.0,0.092,5478,0.0312
EXP003,1.0,20,gas,0.99,0.008,0.0,0.088,5423,0.0289
EXP003,1.0,25,gas,0.98,0.010,0.0,0.087,5369,0.0278
EXP003,1.0,32,interface,0.49,0.015,0.0,0.126,49000,0.0634
EXP003,1.0,35,liquid,1.02,0.012,0.0,0.039,102000,0.0156
EXP003,1.0,45,liquid,1.01,0.008,0.0,0.038,101000,0.0145
EXP003,1.0,55,liquid,1.00,0.005,0.0,0.034,100000,0.0123
EXP003,1.0,65,liquid,0.99,0.003,0.0,0.032,99000,0.0112
EXP003,1.0,75,liquid,0.98,0.002,0.0,0.029,98000,0.0089
EXP003,1.0,85,liquid,0.97,0.001,0.0,0.027,97000,0.0078
EXP003,1.0,95,liquid,0.96,0.001,0.0,0.024,96000,0.0067
EXP003,1.0,101.6,liquid,0.95,0.0,0.0,0.020,95000,0.0045
EXP005,1.0,0,gas,1.82,0.0,0.0,0.228,9978,0.0523
EXP005,1.0,10,gas,1.81,0.005,0.0,0.212,9923,0.0489
EXP005,1.0,20,gas,1.80,0.010,0.0,0.198,9868,0.0456
EXP005,1.0,30,gas,1.78,0.015,0.0,0.183,9758,0.0423
EXP005,1.0,40,gas,1.76,0.020,0.0,0.169,9648,0.0389
EXP005,1.0,42,interface,0.64,0.025,0.0,0.302,64000,0.0923
EXP005,1.0,50,liquid,0.82,0.020,0.0,0.049,82000,0.0267
EXP005,1.0,60,liquid,0.81,0.015,0.0,0.043,81000,0.0234
EXP005,1.0,70,liquid,0.80,0.010,0.0,0.038,80000,0.0201
EXP005,1.0,80,liquid,0.79,0.008,0.0,0.034,79000,0.0178
EXP005,1.0,90,liquid,0.78,0.005,0.0,0.030,78000,0.0156
EXP005,1.0,95,liquid,0.77,0.003,0.0,0.027,77000,0.0134
EXP005,1.0,101.6,liquid,0.75,0.0,0.0,0.025,75000,0.0123
EXP007,1.0,0,gas,0.31,0.0,0.0,0.024,1698,0.0145
EXP007,1.0,5,gas,0.30,0.001,0.0,0.022,1643,0.0134
EXP007,1.0,10,gas,0.30,0.001,0.0,0.022,1643,0.0134
EXP007,1.0,15,gas,0.29,0.002,0.0,0.020,1589,0.0123
EXP007,1.0,18,gas,0.29,0.003,0.0,0.020,1589,0.0123
EXP007,1.0,21,interface,0.92,0.005,0.0,0.052,92000,0.0278
EXP007,1.0,25,liquid,1.51,0.003,0.0,0.023,151000,0.0067
EXP007,1.0,35,liquid,1.50,0.002,0.0,0.021,150000,0.0056
EXP007,1.0,45,liquid,1.49,0.001,0.0,0.020,149000,0.0052
EXP007,1.0,55,liquid,1.49,0.001,0.0,0.020,149000,0.0052
EXP007,1.0,65,liquid,1.48,0.001,0.0,0.018,148000,0.0041
EXP007,1.0,75,liquid,1.47,0.0,0.0,0.016,147000,0.0034
EXP007,1.0,85,liquid,1.47,0.0,0.0,0.016,147000,0.0034
EXP007,1.0,95,liquid,1.46,0.0,0.0,0.014,146000,0.0027
EXP007,1.0,101.6,liquid,1.45,0.0,0.0,0.012,145000,0.0023
EXP009,1.0,0,gas,3.52,0.0,0.0,0.440,19304,0.0756
EXP009,1.0,15,gas,3.51,0.008,0.0,0.421,19249,0.0723
EXP009,1.0,30,gas,3.49,0.015,0.0,0.401,19139,0.0689
EXP009,1.0,45,gas,3.46,0.023,0.0,0.381,18974,0.0656
EXP009,1.0,60,gas,3.42,0.030,0.0,0.361,18754,0.0623
EXP009,1.0,64,interface,0.52,0.035,0.0,0.301,52000,0.1123
EXP009,1.0,70,liquid,0.51,0.030,0.0,0.039,51000,0.0334
EXP009,1.0,80,liquid,0.50,0.020,0.0,0.034,50000,0.0289
EXP009,1.0,90,liquid,0.49,0.015,0.0,0.030,49000,0.0245
EXP009,1.0,95,liquid,0.48,0.010,0.0,0.027,48000,0.0223
EXP009,1.0,101.6,liquid,0.47,0.0,0.0,0.024,47000,0.0201
