specimen_id,mixture,rubber_pct,temperature_C,replicate,tga_mass_200C,tga_mass_400C,tga_mass_600C,tga_mass_800C,tga_total_loss
HPRC-0_T20_R1,HPRC-0,0,20,1,0.9042963436575322,0.8545245512379467,0.6703066933958781,0.6637502482364588,0.34206943494780184
HPRC-0_T200_R1,HPRC-0,0,200,1,0.9042968914257843,0.856021659906606,0.6882403770628882,0.6817502259075628,0.3240694349552924
HPRC-0_T400_R1,HPRC-0,0,400,1,0.9042988086146666,0.8612615402469133,0.7510082698974233,0.7447501477564272,0.26106943498150925
HPRC-0_T600_R1,HPRC-0,0,600,1,0.9043012735718009,0.8679985292558798,0.8317098463989684,0.8257500472763958,0.18006943501521655
HPRC-0_T800_R1,HPRC-0,0,800,1,0.9043021657651652,0.8692089263548485,0.8464012453077157,0.845150029413279,0.1560138869963481
HPRC-20_T20_R1,HPRC-20,20,20,1,0.9039707325956712,0.8243212974990913,0.5911856489041216,0.5837562359360816,0.4220693945999945
HPRC-20_T200_R1,HPRC-20,20,200,1,0.9039712803639233,0.8258184061677505,0.6091193325711317,0.6017562136071857,0.40406939460748514
HPRC-20_T400_R1,HPRC-20,20,400,1,0.9039731975528056,0.8310582865080579,0.6718872254056668,0.6647561354560501,0.341069394633702
HPRC-20_T600_R1,HPRC-20,20,600,1,0.9039756625099399,0.8377952755170245,0.752588801907212,0.7457560349760186,0.2600693946674093
HPRC-20_T800_R1,HPRC-20,20,800,1,0.9039765547033043,0.8390056726159931,0.7672802008159592,0.7651560171129018,0.23601384664854086
