temperature_C,mass,dtg
25.00,0.999982,inf
26.00,0.999980,inf
27.00,0.999978,inf
28.00,0.999976,inf
29.00,0.999974,inf
30.00,0.999971,inf
31.00,0.999968,inf
32.00,0.999965,inf
33.00,0.999961,inf
34.00,0.999957,inf
35.00,0.999952,inf
36.00,0.999947,inf
37.00,0.999941,inf
38.00,0.999934,inf
39.00,0.999927,inf
40.00,0.999918,inf
41.00,0.999909,inf
42.00,0.999899,inf
43.00,0.999887,inf
44.00,0.999874,inf
45.00,0.999859,inf
46.00,0.999842,inf
47.00,0.999824,inf
48.00,0.999803,inf
49.00,0.999779,inf
50.00,0.999753,inf
51.00,0.999723,inf
52.00,0.999690,inf
53.00,0.999652,inf
54.00,0.999610,inf
55.00,0.999562,inf
56.00,0.999509,inf
57.00,0.999449,inf
58.00,0.999382,inf
59.00,0.999306,inf
60.00,0.999221,inf
61.00,0.999125,inf
62.00,0.999018,inf
63.00,0.998898,inf
64.00,0.998763,inf
65.00,0.998612,inf
66.00,0.998443,inf
67.00,0.998255,inf
68.00,0.998045,inf
69.00,0.997810,inf
70.00,0.997550,inf
71.00,0.997261,inf
72.00,0.996940,inf
73.00,0.996586,inf
74.00,0.996196,inf
75.00,0.995768,inf
76.00,0.995299,inf
77.00,0.994787,inf
78.00,0.994231,inf
79.00,0.993629,inf
80.00,0.992981,inf
81.00,0.992286,inf
82.00,0.991545,inf
83.00,0.990761,inf
84.00,0.989934,inf
85.00,0.989070,inf
86.00,0.988170,inf
87.00,0.987242,inf
88.00,0.986291,inf
89.00,0.985323,inf
90.00,0.984345,inf
91.00,0.983364,inf
92.00,0.982387,inf
93.00,0.981422,inf
94.00,0.980473,inf
95.00,0.979549,inf
96.00,0.978652,inf
97.00,0.977788,inf
98.00,0.976960,inf
99.00,0.976169,inf
100.00,0.975417,inf
101.00,0.974705,inf
102.00,0.974033,inf
103.00,0.973398,inf
104.00,0.972801,inf
105.00,0.972238,inf
106.00,0.971708,inf
107.00,0.971208,inf
108.00,0.970735,inf
109.00,0.970286,inf
110.00,0.969858,inf
111.00,0.969448,inf
112.00,0.969053,inf
113.00,0.968671,inf
114.00,0.968299,inf
115.00,0.967934,inf
116.00,0.967574,inf
117.00,0.967215,inf
118.00,0.966857,inf
119.00,0.966496,inf
120.00,0.966131,inf
121.00,0.965759,inf
122.00,0.965379,inf
123.00,0.964989,inf
124.00,0.964588,inf
125.00,0.964172,inf
126.00,0.963742,inf
127.00,0.963295,inf
128.00,0.962830,inf
129.00,0.962346,inf
130.00,0.961841,inf
131.00,0.961314,inf
132.00,0.960765,inf
133.00,0.960191,inf
134.00,0.959593,inf
135.00,0.958968,inf
136.00,0.958317,inf
137.00,0.957638,inf
138.00,0.956931,inf
139.00,0.956196,inf
140.00,0.955432,inf
141.00,0.954639,inf
142.00,0.953817,inf
143.00,0.952965,inf
144.00,0.952085,inf
145.00,0.951177,inf
146.00,0.950241,inf
147.00,0.949277,inf
148.00,0.948288,inf
149.00,0.947273,inf
150.00,0.946235,inf
151.00,0.945175,inf
152.00,0.944094,inf
153.00,0.942994,inf
154.00,0.941878,inf
155.00,0.940747,inf
156.00,0.939603,inf
157.00,0.938450,inf
158.00,0.937289,inf
159.00,0.936122,inf
160.00,0.934953,inf
161.00,0.933785,inf
162.00,0.932618,inf
163.00,0.931457,inf
164.00,0.930304,inf
165.00,0.929160,inf
166.00,0.928029,inf
167.00,0.926913,inf
168.00,0.925813,inf
169.00,0.924732,inf
170.00,0.923672,inf
171.00,0.922634,inf
172.00,0.921620,inf
173.00,0.920631,inf
174.00,0.919669,inf
175.00,0.918733,inf
176.00,0.917826,inf
177.00,0.916948,inf
178.00,0.916099,inf
179.00,0.915279,inf
180.00,0.914489,inf
181.00,0.913729,inf
182.00,0.912999,inf
183.00,0.912298,inf
184.00,0.911626,inf
185.00,0.910982,inf
186.00,0.910367,inf
187.00,0.909780,inf
188.00,0.909219,inf
189.00,0.908684,inf
190.00,0.908175,inf
191.00,0.907691,inf
192.00,0.907230,inf
193.00,0.906792,inf
194.00,0.906376,inf
195.00,0.905982,inf
196.00,0.905608,inf
197.00,0.905253,inf
198.00,0.904916,inf
199.00,0.904598,inf
200.00,0.904296,inf
201.00,0.904011,inf
202.00,0.903740,inf
203.00,0.903485,inf
204.00,0.903242,inf
205.00,0.903013,inf
206.00,0.902796,inf
207.00,0.902591,inf
208.00,0.902396,inf
209.00,0.902212,inf
210.00,0.902038,inf
211.00,0.901872,inf
212.00,0.901715,inf
213.00,0.901566,inf
214.00,0.901424,inf
215.00,0.901290,inf
216.00,0.901162,inf
217.00,0.901039,inf
218.00,0.900923,inf
219.00,0.900812,inf
220.00,0.900705,inf
221.00,0.900603,inf
222.00,0.900505,inf
223.00,0.900411,inf
224.00,0.900320,inf
225.00,0.900233,inf
226.00,0.900148,inf
227.00,0.900066,inf
228.00,0.899987,inf
229.00,0.899909,inf
230.00,0.899833,inf
231.00,0.899759,inf
232.00,0.899686,inf
233.00,0.899614,inf
234.00,0.899544,inf
235.00,0.899474,inf
236.00,0.899405,inf
237.00,0.899336,inf
238.00,0.899267,inf
239.00,0.899199,inf
240.00,0.899130,inf
241.00,0.899061,inf
242.00,0.898992,inf
243.00,0.898922,inf
244.00,0.898852,inf
245.00,0.898781,inf
246.00,0.898708,inf
247.00,0.898635,inf
248.00,0.898560,inf
249.00,0.898484,inf
250.00,0.898407,inf
251.00,0.898328,inf
252.00,0.898247,inf
253.00,0.898165,inf
254.00,0.898080,inf
255.00,0.897994,inf
256.00,0.897905,inf
257.00,0.897814,inf
258.00,0.897720,inf
259.00,0.897624,inf
260.00,0.897525,inf
261.00,0.897424,inf
262.00,0.897319,inf
263.00,0.897212,inf
264.00,0.897101,inf
265.00,0.896988,inf
266.00,0.896871,inf
267.00,0.896750,inf
268.00,0.896626,inf
269.00,0.896499,inf
270.00,0.896368,inf
271.00,0.896233,inf
272.00,0.896094,inf
273.00,0.895951,inf
274.00,0.895804,inf
275.00,0.895653,inf
276.00,0.895498,inf
277.00,0.895338,inf
278.00,0.895174,inf
279.00,0.895006,inf
280.00,0.894833,inf
281.00,0.894655,inf
282.00,0.894473,inf
283.00,0.894286,inf
284.00,0.894094,inf
285.00,0.893898,inf
286.00,0.893697,inf
287.00,0.893490,inf
288.00,0.893279,inf
289.00,0.893064,inf
290.00,0.892843,inf
291.00,0.892617,inf
292.00,0.892387,inf
293.00,0.892151,inf
294.00,0.891911,inf
295.00,0.891666,inf
296.00,0.891416,inf
297.00,0.891162,inf
298.00,0.890903,inf
299.00,0.890639,inf
300.00,0.890371,inf
301.00,0.890098,inf
302.00,0.889821,inf
303.00,0.889540,inf
304.00,0.889255,inf
305.00,0.888966,inf
306.00,0.888673,inf
307.00,0.888376,inf
308.00,0.888076,inf
309.00,0.887772,inf
310.00,0.887466,inf
311.00,0.887156,inf
312.00,0.886843,inf
313.00,0.886528,inf
314.00,0.886210,inf
315.00,0.885890,inf
316.00,0.885567,inf
317.00,0.885243,inf
318.00,0.884917,inf
319.00,0.884590,inf
320.00,0.884261,inf
321.00,0.883930,inf
322.00,0.883599,inf
323.00,0.883268,inf
324.00,0.882935,inf
325.00,0.882602,inf
326.00,0.882269,inf
327.00,0.881936,inf
328.00,0.881603,inf
329.00,0.881270,inf
330.00,0.880938,inf
331.00,0.880606,inf
332.00,0.880275,inf
333.00,0.879945,inf
334.00,0.879615,inf
335.00,0.879287,inf
336.00,0.878960,inf
337.00,0.878634,inf
338.00,0.878309,inf
339.00,0.877985,inf
340.00,0.877663,inf
341.00,0.877342,inf
342.00,0.877022,inf
343.00,0.876704,inf
344.00,0.876387,inf
345.00,0.876072,inf
346.00,0.875758,inf
347.00,0.875445,inf
348.00,0.875133,inf
349.00,0.874822,inf
350.00,0.874512,inf
351.00,0.874203,inf
352.00,0.873894,inf
353.00,0.873587,inf
354.00,0.873279,inf
355.00,0.872972,inf
356.00,0.872665,inf
357.00,0.872358,inf
358.00,0.872051,inf
359.00,0.871743,inf
360.00,0.871434,inf
361.00,0.871124,inf
362.00,0.870814,inf
363.00,0.870501,inf
364.00,0.870187,inf
365.00,0.869870,inf
366.00,0.869552,inf
367.00,0.869230,inf
368.00,0.868906,inf
369.00,0.868578,inf
370.00,0.868247,inf
371.00,0.867912,inf
372.00,0.867572,inf
373.00,0.867228,inf
374.00,0.866878,inf
375.00,0.866523,inf
376.00,0.866162,inf
377.00,0.865795,inf
378.00,0.865421,inf
379.00,0.865039,inf
380.00,0.864651,inf
381.00,0.864254,inf
382.00,0.863848,inf
383.00,0.863434,inf
384.00,0.863010,inf
385.00,0.862577,inf
386.00,0.862132,inf
387.00,0.861677,inf
388.00,0.861211,inf
389.00,0.860732,inf
390.00,0.860241,inf
391.00,0.859737,inf
392.00,0.859220,inf
393.00,0.858688,inf
394.00,0.858142,inf
395.00,0.857580,inf
396.00,0.857003,inf
397.00,0.856410,inf
398.00,0.855799,inf
399.00,0.855171,inf
400.00,0.854525,inf
401.00,0.853860,inf
402.00,0.853175,inf
403.00,0.852471,inf
404.00,0.851747,inf
405.00,0.851002,inf
406.00,0.850234,inf
407.00,0.849445,inf
408.00,0.848633,inf
409.00,0.847798,inf
410.00,0.846939,inf
411.00,0.846055,inf
412.00,0.845146,inf
413.00,0.844212,inf
414.00,0.843252,inf
415.00,0.842266,inf
416.00,0.841252,inf
417.00,0.840212,inf
418.00,0.839143,inf
419.00,0.838046,inf
420.00,0.836921,inf
421.00,0.835767,inf
422.00,0.834584,inf
423.00,0.833371,inf
424.00,0.832128,inf
425.00,0.830856,inf
426.00,0.829554,inf
427.00,0.828221,inf
428.00,0.826858,inf
429.00,0.825466,inf
430.00,0.824043,inf
431.00,0.822590,inf
432.00,0.821107,inf
433.00,0.819594,inf
434.00,0.818053,inf
435.00,0.816482,inf
436.00,0.814882,inf
437.00,0.813255,inf
438.00,0.811600,inf
439.00,0.809917,inf
440.00,0.808209,inf
441.00,0.806475,inf
442.00,0.804716,inf
443.00,0.802933,inf
444.00,0.801127,inf
445.00,0.799298,inf
446.00,0.797449,inf
447.00,0.795580,inf
448.00,0.793692,inf
449.00,0.791787,inf
450.00,0.789866,inf
451.00,0.787929,inf
452.00,0.785979,inf
453.00,0.784017,inf
454.00,0.782044,inf
455.00,0.780062,inf
456.00,0.778072,inf
457.00,0.776076,inf
458.00,0.774076,inf
459.00,0.772072,inf
460.00,0.770067,inf
461.00,0.768063,inf
462.00,0.766060,inf
463.00,0.764060,inf
464.00,0.762065,inf
465.00,0.760077,inf
466.00,0.758097,inf
467.00,0.756126,inf
468.00,0.754166,inf
469.00,0.752219,inf
470.00,0.750286,inf
471.00,0.748368,inf
472.00,0.746466,inf
473.00,0.744583,inf
474.00,0.742718,inf
475.00,0.740874,inf
476.00,0.739051,inf
477.00,0.737251,inf
478.00,0.735474,inf
479.00,0.733722,inf
480.00,0.731995,inf
481.00,0.730294,inf
482.00,0.728619,inf
483.00,0.726973,inf
484.00,0.725354,inf
485.00,0.723764,inf
486.00,0.722203,inf
487.00,0.720671,inf
488.00,0.719170,inf
489.00,0.717698,inf
490.00,0.716258,inf
491.00,0.714847,inf
492.00,0.713468,inf
493.00,0.712119,inf
494.00,0.710801,inf
495.00,0.709514,inf
496.00,0.708257,inf
497.00,0.707031,inf
498.00,0.705836,inf
499.00,0.704670,inf
500.00,0.703535,inf
501.00,0.702429,inf
502.00,0.701353,inf
503.00,0.700306,inf
504.00,0.699288,inf
505.00,0.698298,inf
506.00,0.697335,inf
507.00,0.696401,inf
508.00,0.695493,inf
509.00,0.694612,inf
510.00,0.693757,inf
511.00,0.692927,inf
512.00,0.692123,inf
513.00,0.691343,inf
514.00,0.690587,inf
515.00,0.689855,inf
516.00,0.689146,inf
517.00,0.688459,inf
518.00,0.687794,inf
519.00,0.687151,inf
520.00,0.686528,inf
521.00,0.685926,inf
522.00,0.685343,inf
523.00,0.684780,inf
524.00,0.684236,inf
525.00,0.683709,inf
526.00,0.683201,inf
527.00,0.682710,inf
528.00,0.682235,inf
529.00,0.681777,inf
530.00,0.681334,inf
531.00,0.680907,inf
532.00,0.680495,inf
533.00,0.680096,inf
534.00,0.679712,inf
535.00,0.679342,inf
536.00,0.678984,inf
537.00,0.678639,inf
538.00,0.678306,inf
539.00,0.677985,inf
540.00,0.677676,inf
541.00,0.677377,inf
542.00,0.677090,inf
543.00,0.676812,inf
544.00,0.676545,inf
545.00,0.676287,inf
546.00,0.676039,inf
547.00,0.675799,inf
548.00,0.675568,inf
549.00,0.675346,inf
550.00,0.675132,inf
551.00,0.674925,inf
552.00,0.674726,inf
553.00,0.674534,inf
554.00,0.674350,inf
555.00,0.674172,inf
556.00,0.674000,inf
557.00,0.673835,inf
558.00,0.673676,inf
559.00,0.673522,inf
560.00,0.673374,inf
561.00,0.673232,inf
562.00,0.673095,inf
563.00,0.672963,inf
564.00,0.672835,inf
565.00,0.672712,inf
566.00,0.672594,inf
567.00,0.672480,inf
568.00,0.672370,inf
569.00,0.672264,inf
570.00,0.672162,inf
571.00,0.672064,inf
572.00,0.671969,inf
573.00,0.671878,inf
574.00,0.671789,inf
575.00,0.671704,inf
576.00,0.671622,inf
577.00,0.671543,inf
578.00,0.671467,inf
579.00,0.671393,inf
580.00,0.671322,inf
581.00,0.671253,inf
582.00,0.671187,inf
583.00,0.671123,inf
584.00,0.671061,inf
585.00,0.671001,inf
586.00,0.670944,inf
587.00,0.670888,inf
588.00,0.670834,inf
589.00,0.670782,inf
590.00,0.670731,inf
591.00,0.670683,inf
592.00,0.670635,inf
593.00,0.670590,inf
594.00,0.670545,inf
595.00,0.670503,inf
596.00,0.670461,inf
597.00,0.670421,inf
598.00,0.670381,inf
599.00,0.670344,inf
600.00,0.670307,inf
601.00,0.670271,inf
602.00,0.670236,inf
603.00,0.670202,inf
604.00,0.670169,inf
605.00,0.670137,inf
606.00,0.670106,inf
607.00,0.670076,inf
608.00,0.670046,inf
609.00,0.670017,inf
610.00,0.669989,inf
611.00,0.669962,inf
612.00,0.669935,inf
613.00,0.669909,inf
614.00,0.669883,inf
615.00,0.669858,inf
616.00,0.669833,inf
617.00,0.669809,inf
618.00,0.669785,inf
619.00,0.669762,inf
620.00,0.669739,inf
621.00,0.669717,inf
622.00,0.669695,inf
623.00,0.669673,inf
624.00,0.669651,inf
625.00,0.669630,inf
626.00,0.669609,inf
627.00,0.669589,inf
628.00,0.669568,inf
629.00,0.669548,inf
630.00,0.669528,inf
