SG1_center,SG2_edge,SG3_corner,SG4_outlet,time_hours
2705.712964615559,19378.60975557655,11865.628046541728,19121.258633400324,0.0
11237.490382203734,11112.155372372285,20079.787208841117,16142.142178837274,10.0
2870.688378069104,3997.7172597930926,13783.37619178536,27155.980165507437,20.0
26230.43941963286,12065.223093273302,7022.251424390922,27888.147810893384,30.0
15906.136704702054,11472.774636478947,13369.56487666949,15304.104130463647,40.0
4600.9885770240835,15899.527442789953,20135.80179322019,19524.288104148272,50.0
13935.184056648606,13705.293980643535,5025.816169396371,4955.586274448093,60.0
3053.4152500787036,12072.631866924217,5603.129056779445,10675.434940735135,70.0
20761.654916793814,17756.854931947804,6907.284861814094,14792.168744663824,80.0
21709.581219183074,2588.0835004771193,11507.194288010944,22227.797885762648,90.0
6069.406982954371,15184.107200532888,20014.256913435704,13461.791840306243,100.0
4479.145777929551,7712.256656165691,5850.170617740998,28304.453947723312,110.0
15197.90383387767,8583.078303106917,12505.092022284658,30134.2372240666,120.0
21477.806453654437,12529.88773537315,10420.160757613117,16074.50799689161,130.0
9742.345263151834,14084.09536760021,7996.929081710274,5718.905548558744,140.0
23932.550289453942,7344.435869048337,3434.622277402563,24413.936593359467,150.0
9724.749659081019,10622.078016293783,10691.206558768528,10854.105103164182,160.0
9641.158468666405,9984.377860292632,21358.913011824472,29989.909525953582,170.0
8620.739361611237,13185.383738116538,33094.403252850614,38533.20599087372,180.0
11488.36753028142,21786.928031504198,6281.40630467719,13731.672214573433,190.0
5668.067721144344,9238.501103352108,7700.10464690283,34007.88579880792,200.0
17953.57925225511,9305.579535371491,10420.355573182342,23676.119011965602,210.0
8242.38718036301,13788.524585299869,7404.926879191583,23748.05667111943,220.0
8631.00538275193,19336.355716545746,3659.0105757396727,5123.644104276923,230.0
25641.823029857325,5397.63895468082,6881.84734068261,25686.87318780881,240.0
9753.154048549077,19622.619196128126,12042.365965286046,19861.86320746703,250.0
5857.0619150399025,12819.881872011994,10205.775968688973,20932.070448678624,260.0
5238.49615106637,5255.39527160647,17826.183332933888,17247.91570738202,270.0
4193.236344319315,10887.046834739333,10827.28650434566,33600.89693098554,280.0
7460.059958962926,17864.454855072327,21990.024043299185,13967.596119834425,290.0
9141.373802657976,18972.26173398196,6285.8767963641585,17480.825026851995,300.0
17038.510281279414,15088.221723194343,10462.537166558772,20854.93885874639,310.0
6218.855401598642,15547.090096981823,12693.10855424887,38154.83213419392,320.0
9659.958935071236,15340.604773143254,17078.265442442793,27887.600934884413,330.0
7741.152757586855,16181.018478173484,3994.8463530664753,17991.948873070443,340.0
4223.752779332668,7130.983833791955,18721.798645135743,18055.094966195782,350.0
13196.781234378432,17675.18932267285,27567.354504396022,24485.85955264155,360.0
13699.827591361509,6006.837191214611,14789.369633196171,27378.234006199757,370.0
13286.748440939271,14381.731550125203,8335.884190236075,23443.113284152125,380.0
12753.006216312713,6995.917358459281,18575.538522664807,28045.490983295553,390.0
11632.581153933626,13984.273145140945,13170.110029485219,24070.235548547535,400.0
11000.693185492823,14633.766371065301,8822.197376667184,17343.779469812936,410.0
24672.4143191922,20299.515658090262,18889.734239583628,26638.200634758883,420.0
17445.413107610457,17734.99153489013,18698.238930748565,18486.66996301796,430.0
23183.47896331868,7451.671866471085,7352.7309706017995,22841.93056483098,440.0
6235.987700489271,7385.134285307206,8313.072985212395,24930.51069994087,450.0
21206.35503606391,8257.875910926798,15611.359283549093,25056.28195004225,460.0
15720.870796334582,10321.936248511342,21329.96005275586,25519.76604341632,470.0
8651.34190970155,8342.884816722413,10540.880314903108,18592.394088912042,480.0
11125.267348887826,23204.65225574994,14559.048832994782,21460.638702060252,490.0
9108.853687286297,32471.092413184662,18329.819859561743,16566.037084521246,500.0
18163.774298866287,9960.679412373805,17193.126992178477,11682.458052788561,510.0
7909.928042006167,21106.412047005844,18845.60513100688,22895.105761808645,520.0
13544.847096171228,5134.7276537096695,22847.539939248185,16305.58527428496,530.0
2453.9945792431,9852.47699928841,12684.056259135577,27574.460977025796,540.0
9354.5949780465,9125.499808823335,8218.467292397196,26543.728459004382,550.0
8867.09092268508,14581.446366100865,14508.276668620525,24352.79133914607,560.0
9115.865979539201,8885.62871496796,10948.253137400741,13647.564188293345,570.0
9521.082872248317,10313.265348234141,3079.0127715440412,10132.236403620052,580.0
4057.0290235381335,9954.087348710598,3938.8269028004365,26453.527237726652,590.0
3710.000350352377,5291.758696699706,17818.055009859636,16257.613340585936,600.0
14813.845194494545,10413.322974849438,24507.654508606793,19361.31827930927,610.0
7654.364428002549,13203.086383815209,5719.0931183584735,34510.78352903596,620.0
15794.190030495389,7299.873010145362,9516.299389013282,24364.948558398883,630.0
17004.00171083601,19336.594830808233,8504.609420840843,29485.972945994326,640.0
3400.252916313625,16779.395164772213,15935.102418419194,16761.169412292118,650.0
4440.915274880101,14596.118104308669,12251.804051188288,29274.105705793114,660.0
19359.752752125758,7499.925261237951,17349.067396344813,38057.88700222278,670.0
11105.166199492387,21850.71382667575,5237.090911714131,7090.511456609067,680.0
7814.936377950137,7903.704522276447,4521.566011966595,22863.777842063966,690.0
20931.152251502685,8590.356333332556,9926.142346718589,21587.462118772182,700.0
15985.723195111947,11420.915785580992,6336.296943675349,19447.017362066912,710.0
10906.393364654912,19060.678798353,20754.273607896685,14088.175131344402,720.0
20304.815034875315,4226.453535645672,7727.28892571185,26637.917327971987,730.0
28237.506439067936,11415.78314261389,15312.829808981674,29512.801667527816,740.0
7513.024086212528,9707.203482503302,22813.036116462223,15737.921206212166,750.0
13349.68771516745,15061.290939648183,12452.40499224414,25140.308085219833,760.0
