time_index,time_s,temperature_K
0,0.00,300.00
1,60.00,322.53
2,120.00,357.42
3,180.00,399.26
4,240.00,446.37
5,300.00,497.83
6,360.00,553.03
7,420.00,611.57
8,480.00,673.12
9,540.00,737.42
10,600.00,804.28
11,660.00,873.53
12,720.00,945.01
13,780.00,1018.62
14,840.00,1094.23
15,900.00,1171.76
16,960.00,1251.12
17,1020.00,1332.24
18,1080.00,1415.04
19,1140.00,1499.48
20,1200.00,1585.48
21,1260.00,1673.00
22,1320.00,1672.07
23,1380.00,1671.15
24,1440.00,1670.22
25,1500.00,1669.30
26,1560.00,1668.37
27,1620.00,1667.44
28,1680.00,1666.52
29,1740.00,1665.59
30,1800.00,1664.67
31,1860.00,1663.74
32,1920.00,1662.81
33,1980.00,1661.89
34,2040.00,1660.96
35,2100.00,1660.04
36,2160.00,1659.11
37,2220.00,1658.19
38,2280.00,1657.26
39,2340.00,1656.33
40,2400.00,1655.41
41,2460.00,1654.48
42,2520.00,1653.56
43,2580.00,1652.63
44,2640.00,1651.70
45,2700.00,1650.78
46,2760.00,1649.85
47,2820.00,1648.93
48,2880.00,1648.00
49,2940.00,1626.47
50,3000.00,1600.23
51,3060.00,1571.85
52,3120.00,1541.99
53,3180.00,1510.98
54,3240.00,1479.02
55,3300.00,1446.24
56,3360.00,1412.75
57,3420.00,1378.63
58,3480.00,1343.93
59,3540.00,1308.71
60,3600.00,1273.00
