rubber_content,heating_rate,atmosphere,temperature_range,temp_start,temp_end,onset_temperature,peak_temperature,endset_temperature,mass_loss_percent,max_mass_loss_rate_percent_per_min,temperature_range_width,mass_loss_per_degree,residue_at_range_end,specimen_id,analysis_method,calculation_basis
0,10,air,free_water,25,120,35.30276960853408,61.90268038903601,103.09187557140856,4.694271377622246,0.4941338292233943,95,0.04941338292233943,95.30572862237776,ML_0_10_air_free_water,TGA,dry_weight
0,10,air,bound_water_1,120,300,132.05185743327905,223.5725819688686,285.58285804442926,2.1072041422472925,0.11706689679151625,180,0.011706689679151625,97.8927958577527,ML_0_10_air_bound_water_1,TGA,dry_weight
0,10,air,bound_water_2,300,450,307.54754338448936,393.2670716212218,443.9126917614141,6.272557571507131,0.4181705047671421,150,0.04181705047671421,93.72744242849286,ML_0_10_air_bound_water_2,TGA,dry_weight
0,10,air,portlandite,450,550,457.86116589946454,507.3460365264517,547.344531255429,4.329439650926693,0.43294396509266925,100,0.043294396509266926,95.67056034907331,ML_0_10_air_portlandite,TGA,dry_weight
0,10,air,calcite,600,900,604.6891309046755,764.6996623219546,888.9176923640046,2.1140023893829794,0.07046674631276598,300,0.007046674631276598,97.88599761061703,ML_0_10_air_calcite,TGA,dry_weight
0,10,air,total,25,1000,39.236363141169065,506.8489078712553,987.9349734134763,15.0,0.15384615384615385,975,0.015384615384615385,85.0,ML_0_10_air_total,TGA,dry_weight
0,10,nitrogen,free_water,25,120,35.479345410838995,64.09160354199007,115.9348701705855,3.0924227850693646,0.32551818790203835,95,0.032551818790203836,96.90757721493064,ML_0_10_nitrogen_free_water,TGA,dry_weight
0,10,nitrogen,bound_water_1,120,300,127.43929816444815,206.00963808647506,289.8384883789294,1.875858241064749,0.1042143467258194,180,0.01042143467258194,98.12414175893525,ML_0_10_nitrogen_bound_water_1,TGA,dry_weight
0,10,nitrogen,bound_water_2,300,450,318.8461882573183,376.77130495643695,442.70367452690067,9.167589711013878,0.6111726474009251,150,0.06111726474009252,90.83241028898613,ML_0_10_nitrogen_bound_water_2,TGA,dry_weight
0,10,nitrogen,portlandite,450,550,452.3632342374428,488.41291528263633,548.009922458375,3.937694778395873,0.3937694778395873,100,0.039376947783958734,96.06230522160412,ML_0_10_nitrogen_portlandite,TGA,dry_weight
0,10,nitrogen,calcite,600,900,610.5424088334508,753.3886384564191,894.9845606822668,3.8933829240357705,0.12977943080119234,300,0.012977943080119235,96.10661707596422,ML_0_10_nitrogen_calcite,TGA,dry_weight
0,10,nitrogen,total,25,1000,44.61286224916388,513.4471872544079,980.4625055472469,15.0,0.15384615384615385,975,0.015384615384615385,85.0,ML_0_10_nitrogen_total,TGA,dry_weight
5,10,air,free_water,25,120,40.30463332779515,59.349897321478565,109.33287637289376,2.056825552328642,0.21650795287669913,95,0.021650795287669913,97.94317444767135,ML_5_10_air_free_water,TGA,dry_weight
5,10,air,bound_water_1,120,300,134.19124884068023,215.83734622423486,281.86457439331446,2.4930213244455426,0.13850118469141903,180,0.013850118469141904,97.50697867555446,ML_5_10_air_bound_water_1,TGA,dry_weight
5,10,air,bound_water_2,300,450,301.11710254159783,360.11269926654916,434.19761708870317,11.206993413523746,0.7471328942349164,150,0.07471328942349163,88.79300658647625,ML_5_10_air_bound_water_2,TGA,dry_weight
5,10,air,portlandite,450,550,451.63796600288185,508.5455593668836,540.4422929690483,4.431349528904359,0.443134952890436,100,0.044313495289043596,95.56865047109564,ML_5_10_air_portlandite,TGA,dry_weight
5,10,air,calcite,600,900,614.3652045464851,748.7401618156864,881.5945236593559,2.705471319720759,0.09018237732402529,300,0.00901823773240253,97.29452868027924,ML_5_10_air_calcite,TGA,dry_weight
5,10,air,total,25,1000,30.691320414111154,510.0386682051629,998.9188221563185,18.85,0.19333333333333336,975,0.019333333333333334,81.15,ML_5_10_air_total,TGA,dry_weight
5,10,air,rubber_pyrolysis,300,500,307.1607629448915,396.1818900294089,494.7113405322049,4.0,0.2,200,0.02,96.0,ML_5_10_air_rubber_pyrolysis,TGA,dry_weight
5,10,air,rubber_carbonization,500,800,513.4239515067843,644.389768316602,780.7157335781533,1.25,0.041666666666666664,300,0.004166666666666667,98.75,ML_5_10_air_rubber_carbonization,TGA,dry_weight
5,10,nitrogen,free_water,25,120,30.127623158748637,67.2244813414554,117.54095229015566,3.3004873757479425,0.3474197237629413,95,0.03474197237629413,96.69951262425205,ML_5_10_nitrogen_free_water,TGA,dry_weight
5,10,nitrogen,bound_water_1,120,300,135.4850541784187,200.92299374434788,294.15444733762695,2.182478284987936,0.12124879361044089,180,0.012124879361044089,97.81752171501206,ML_5_10_nitrogen_bound_water_1,TGA,dry_weight
5,10,nitrogen,bound_water_2,300,450,312.5481204793204,392.0389495863449,443.54463378410753,8.767300405363372,0.5844866936908915,150,0.05844866936908914,91.23269959463663,ML_5_10_nitrogen_bound_water_2,TGA,dry_weight
5,10,nitrogen,portlandite,450,550,454.7696377252349,511.83977714550053,539.4733569613819,4.6683235084596575,0.46683235084596575,100,0.046683235084596576,95.33167649154035,ML_5_10_nitrogen_portlandite,TGA,dry_weight
5,10,nitrogen,calcite,600,900,617.315650795687,734.2823410442099,895.7461191933903,3.7268670341175287,0.12422890113725096,300,0.012422890113725096,96.27313296588247,ML_5_10_nitrogen_calcite,TGA,dry_weight
5,10,nitrogen,total,25,1000,31.9523493308035,521.8957073167709,981.569117630886,18.85,0.19333333333333336,975,0.019333333333333334,81.15,ML_5_10_nitrogen_total,TGA,dry_weight
5,10,nitrogen,rubber_pyrolysis,300,500,304.65044329174236,394.8848636806412,495.3582808415609,3.5,0.17500000000000002,200,0.0175,96.5,ML_5_10_nitrogen_rubber_pyrolysis,TGA,dry_weight
5,10,nitrogen,rubber_carbonization,500,800,519.8571208555737,650.9842490333111,788.6835232470439,0.75,0.025,300,0.0025,99.25,ML_5_10_nitrogen_rubber_carbonization,TGA,dry_weight
10,10,air,free_water,25,120,26.090294177387616,80.65623610434614,105.80883139421725,4.079412932820426,0.42941188766530797,95,0.042941188766530795,95.92058706717957,ML_10_10_air_free_water,TGA,dry_weight
