company_id,distress_score,is_distressed,revenue_decline_rate,user_decline_rate,has_revenue_decline,has_user_decline,has_regulatory_issues,regulatory_issues_count,months_since_founded
FT0001,0.2715,0,0.1424,-0.8882,1,0,0,0,44
FT0002,0.552,1,0.2516,0.3977,1,1,0,0,57
FT0003,0.0663,0,0.083,-0.2959,0,0,0,0,24
FT0004,0.4743,1,0.1986,0.4393,1,1,0,0,34
FT0005,0.5245,1,0.224,0.17,1,1,0,0,30
FT0006,0.5887,1,0.3398,-0.6515,1,0,0,0,19
FT0007,0.4014,1,0.1077,0.318,1,1,0,0,66
FT0008,0.3866,0,0.2302,-0.1955,1,0,0,0,79
FT0009,0.0,0,0.0382,-0.2197,0,0,0,0,168
FT0010,0.0987,0,0.045,-0.7278,0,0,0,0,45
FT0011,0.2941,0,0.2532,-0.1799,1,0,0,0,26
FT0012,0.2305,0,0.1351,-0.9111,1,0,0,0,63
FT0013,0.3636,0,0.2335,-0.2359,1,0,0,0,25
FT0014,0.1997,0,0.2742,-0.3714,1,0,0,0,88
FT0015,0.4214,1,0.1405,0.5669,1,1,0,0,70
FT0016,0.5569,1,0.1572,0.0,1,0,0,0,12
FT0017,0.1895,0,0.1393,-0.1553,1,0,0,0,26
FT0018,0.3801,0,0.2239,0.055,1,1,0,0,56
FT0019,0.5991,1,0.4381,0.4156,1,1,0,0,48
FT0020,0.6983,1,0.288,0.3886,1,1,0,0,21
FT0021,0.5756,1,0.2463,-0.8938,1,0,0,0,19
FT0022,0.2325,0,0.1255,0.1146,1,1,0,0,114
FT0023,0.0,0,-0.0267,-0.4073,0,0,0,0,87
FT0024,0.1439,0,0.1562,-0.6065,1,0,0,0,93
FT0025,0.1813,0,-0.0074,0.2036,0,1,0,0,49
FT0026,0.5068,1,0.2046,0.2641,1,1,0,0,142
FT0027,0.3962,0,0.234,-0.0224,1,0,0,0,26
FT0028,0.232,0,-0.1026,0.6706,0,1,0,0,48
FT0029,0.2865,0,0.113,0.1207,1,1,0,0,27
FT0030,0.4566,1,0.1881,0.0626,1,1,0,0,13
FT0031,0.4404,1,0.2667,-0.096,1,0,0,0,26
FT0032,0.4254,1,0.1675,-0.5537,1,0,0,0,19
FT0033,0.5532,1,0.2425,0.4093,1,1,0,0,27
FT0034,0.3476,0,0.2989,-0.37,1,0,0,0,24
FT0035,0.8624,1,0.4011,0.3333,1,1,0,0,19
FT0036,0.337,0,0.2406,-0.4385,1,0,0,0,26
FT0037,0.38,0,0.217,-0.3602,1,0,0,0,27
FT0038,0.6831,1,0.1281,0.1325,1,1,0,0,19
FT0039,0.5466,1,0.3159,0.0818,1,1,0,0,69
FT0040,0.3186,0,0.1867,0.4662,1,1,0,0,55
FT0041,0.3349,0,0.2419,-0.3535,1,0,0,0,24
FT0042,0.4803,1,-0.0266,0.5661,0,1,0,0,18
FT0043,0.723,1,0.1553,0.25,1,1,0,0,19
FT0044,0.4082,1,0.1872,0.0521,1,1,0,0,13
FT0045,0.3926,0,0.1619,0.3834,1,1,0,0,39
FT0046,0.5425,1,0.2875,0.5308,1,1,0,0,52
FT0047,0.3157,0,-0.1015,0.4321,0,1,0,0,50
FT0048,0.3418,0,0.1223,0.2737,1,1,0,0,26
FT0049,0.3147,0,0.2367,-0.2788,1,0,0,0,54
FT0050,0.3013,0,0.3106,-0.3017,1,0,0,0,32
FT0051,0.59,1,0.3349,0.2148,1,1,0,0,82
FT0052,0.1676,0,0.199,-0.4327,1,0,0,0,30
FT0053,0.5718,1,0.2388,0.1558,1,1,0,0,124
FT0054,0.3431,0,0.3678,-0.3896,1,0,0,0,40
FT0055,0.1106,0,-0.1738,-0.1364,0,0,0,0,32
FT0056,0.324,0,0.296,-0.0565,1,0,0,0,78
FT0057,0.5319,1,0.3731,-0.5223,1,0,0,0,21
FT0058,0.3329,0,0.286,-0.5045,1,0,0,0,28
FT0059,0.6038,1,0.2524,0.0477,1,0,0,0,22
FT0060,0.7393,1,0.2467,-0.0789,1,0,0,0,21
FT0061,0.3038,0,0.2184,0.0452,1,0,0,0,40
FT0062,0.7079,1,0.2001,-0.3778,1,0,0,0,14
FT0063,0.7005,1,0.202,0.0876,1,1,0,0,13
FT0064,0.4527,1,0.3224,0.1047,1,1,0,0,49
FT0065,0.6638,1,0.3174,0.0388,1,0,0,0,13
FT0066,0.1252,0,0.0547,-0.1029,0,0,0,0,58
FT0067,0.4329,1,0.2903,0.0199,1,0,0,0,36
FT0068,0.5093,1,0.2654,-0.1724,1,0,0,0,14
FT0069,0.0707,0,0.099,-0.2976,0,0,0,0,99
FT0070,0.6627,1,0.2944,0.5702,1,1,0,0,122
FT0071,0.3611,0,0.2866,0.0565,1,1,0,0,37
FT0072,0.3937,0,0.2054,-0.3701,1,0,0,0,30
FT0073,0.2658,0,0.1407,0.0928,1,1,0,0,46
FT0074,0.5582,1,0.3645,0.1989,1,1,0,0,38
FT0075,0.4057,1,0.2669,0.0483,1,0,0,0,78
FT0076,0.3491,0,0.1588,0.0288,1,0,0,0,21
FT0077,0.0065,0,-0.2166,-0.4992,0,0,0,0,93
FT0078,0.2301,0,0.143,-0.0752,1,0,0,0,27
FT0079,0.2543,0,0.129,-0.4158,1,0,0,0,54
FT0080,0.0658,0,0.0434,-0.39,0,0,0,0,61
FT0081,0.0836,0,0.0179,-0.3931,0,0,0,0,57
FT0082,0.6538,1,0.1623,0.2959,1,1,0,0,15
FT0083,0.3305,0,0.261,-0.4851,1,0,0,0,78
FT0084,0.2964,0,0.2326,-0.1879,1,0,0,0,49
FT0085,0.2357,0,0.1958,-0.3647,1,0,0,0,26
FT0086,0.6145,1,0.2618,-0.13,1,0,0,0,21
FT0087,0.5971,1,0.0569,0.5801,0,1,0,0,13
FT0088,0.2159,0,0.1993,-0.9903,1,0,0,0,36
FT0089,0.3958,0,0.3228,-0.0114,1,0,0,0,20
FT0090,0.3998,0,0.2317,0.0361,1,0,0,0,64
FT0091,0.3811,0,0.0657,0.4101,0,1,0,0,16
FT0092,0.2186,0,0.4168,0.0255,1,0,0,0,44
FT0093,0.3107,0,0.0394,0.281,0,1,0,0,112
FT0094,0.2946,0,0.303,-0.3193,1,0,0,0,69
FT0095,0.2697,0,-0.2515,0.2205,0,1,0,0,44
FT0096,0.373,0,0.3055,-0.0726,1,0,0,0,32
FT0097,0.5758,1,0.2399,0.3971,1,1,0,0,32
FT0098,0.553,1,0.2778,0.3049,1,1,0,0,68
FT0099,0.2407,0,-0.0016,0.2438,0,1,0,0,63
FT0100,0.3732,0,0.1706,0.1917,1,1,0,0,69
FT0101,0.6611,1,0.1933,0.1875,1,1,0,0,22
FT0102,0.4073,1,0.0414,0.062,0,1,0,0,18
FT0103,0.8379,1,0.2378,0.5316,1,1,0,0,13
FT0104,0.0,0,-0.1006,-0.0586,0,0,0,0,105
FT0105,0.4717,1,0.2077,-0.0988,1,0,0,0,25
FT0106,0.1704,0,0.1859,0.0487,1,0,0,0,45
FT0107,0.3836,0,0.1233,0.1539,1,1,0,0,33
FT0108,0.4132,1,0.3389,0.0013,1,0,0,0,100
FT0109,0.5085,1,0.3853,0.1967,1,1,0,0,33
FT0110,0.5844,1,0.3495,0.1638,1,1,0,0,30
FT0111,0.303,0,-0.1274,0.5154,0,1,0,0,33
FT0112,0.2688,0,0.1324,-0.1222,1,0,0,0,28
FT0113,0.3853,0,0.2068,-0.3458,1,0,0,0,50
FT0114,0.3622,0,-0.0481,0.0443,0,0,0,0,19
FT0115,0.4305,1,0.1691,0.3238,1,1,0,0,116
FT0116,0.7021,1,0.2343,0.3165,1,1,0,0,16
FT0117,0.5373,1,0.2202,0.1827,1,1,0,0,28
FT0118,0.0,0,-0.2481,-0.3214,0,0,0,0,144
FT0119,0.2361,0,-0.1209,-0.0075,0,0,0,0,13
FT0120,0.3407,0,-0.015,0.1899,0,1,0,0,162
FT0121,0.3797,0,0.3611,0.0335,1,0,0,0,37
FT0122,0.126,0,0.0647,0.0288,0,0,0,0,94
FT0123,0.625,1,0.2746,0.6812,1,1,0,0,31
FT0124,0.0,0,0.0733,0.0487,0,0,0,0,64
FT0125,0.1602,0,0.0851,0.1244,0,1,0,0,118
FT0126,0.1995,0,-0.0729,-0.0689,0,0,0,0,18
FT0127,0.377,0,0.2196,-0.3604,1,0,0,0,27
FT0128,0.2792,0,0.3824,-0.2703,1,0,0,0,69
FT0129,0.3013,0,-0.0112,0.2285,0,1,0,0,16
FT0130,0.2868,0,0.1996,-0.0672,1,0,0,0,58
FT0131,0.5294,1,0.1821,0.0536,1,1,0,0,13
FT0132,0.5206,1,0.1548,-0.1238,1,0,0,0,19
FT0133,0.2188,0,0.1328,-1.2677,1,0,0,0,75
FT0134,0.2363,0,0.0861,0.1572,0,1,0,0,32
FT0135,0.0,0,0.043,0.024,0,0,0,0,90
FT0136,0.1724,0,0.094,0.1283,0,1,0,0,39
FT0137,0.3904,0,0.2251,-0.4305,1,0,0,0,48
FT0138,0.8642,1,0.2808,0.4972,1,1,0,0,12
FT0139,0.5797,1,0.1593,0.2926,1,1,0,0,13
FT0140,0.2274,0,0.1297,-0.2401,1,0,0,0,157
FT0141,0.1756,0,-0.0421,0.1182,0,1,0,0,78
FT0142,0.4213,1,0.2869,-0.1165,1,0,0,0,66
FT0143,0.6778,1,0.1391,0.6299,1,1,0,0,19
FT0144,0.2113,0,0.15,-0.0518,1,0,0,0,44
FT0145,0.8891,1,0.2567,0.244,1,1,0,0,13
FT0146,0.3386,0,0.2656,-0.4865,1,0,0,0,58
FT0147,0.5512,1,0.2157,0.4302,1,1,0,0,36
FT0148,0.4871,1,0.129,-0.3525,1,0,0,0,21
FT0149,0.3377,0,-0.0123,0.4843,0,1,0,0,62
FT0150,0.5092,1,0.2737,-0.9306,1,0,0,0,21
FT0151,0.2261,0,0.1022,-0.5748,1,0,0,0,154
FT0152,0.4801,1,0.2421,0.3805,1,1,0,0,32
FT0153,0.4311,1,0.1964,-0.0676,1,0,0,0,14
FT0154,0.5798,1,0.316,0.5148,1,1,0,0,86
FT0155,0.0914,0,-0.2981,0.1297,0,1,0,0,74
FT0156,0.07,0,-0.057,-0.1189,0,0,0,0,33
FT0157,0.6452,1,0.2277,0.4232,1,1,0,0,24
FT0158,0.1061,0,0.1154,-0.4471,1,0,0,0,24
FT0159,0.4364,1,0.1733,0.3523,1,1,0,0,57
FT0160,0.2488,0,0.1312,-0.1723,1,0,0,0,79
FT0161,0.5568,1,0.4017,0.1581,1,1,0,0,69
FT0162,0.5172,1,0.0845,0.331,0,1,0,0,18
FT0163,0.1346,0,0.0522,0.353,0,1,0,0,36
FT0164,0.2895,0,0.0037,-0.4485,0,0,0,0,15
FT0165,0.0687,0,-0.2065,0.0575,0,1,0,0,114
FT0166,0.2195,0,0.0076,0.1831,0,1,0,0,26
FT0167,0.5159,1,0.2096,0.2948,1,1,0,0,121
FT0168,0.1972,0,0.1028,-0.1718,1,0,0,0,85
FT0169,0.2177,0,0.1475,0.0819,1,1,0,0,44
FT0170,0.1501,0,0.1788,-0.1395,1,0,0,0,44
FT0171,0.471,1,0.1522,0.4876,1,1,0,0,86
FT0172,0.2265,0,-0.0403,0.1803,0,1,0,0,39
FT0173,0.5683,1,0.3956,-0.0452,1,0,0,0,19
FT0174,0.4048,1,0.1486,0.3918,1,1,0,0,43
FT0175,0.3558,0,0.274,-0.1376,1,0,0,0,180
FT0176,0.0328,0,0.0631,-0.238,0,0,0,0,57
