company_id,quarter,quarter_date,revenue_usd,revenue_growth_rate,net_income_usd,profit_margin,operating_expenses_usd,burn_rate_usd
FT0001,Q1,2025-10-11,192297.53,0.267,21893.56,0.1139,170403.97,198070.15
FT0001,Q2,2025-07-13,93417.53,0.1839,19849.65,0.2125,73567.88,66377.21
FT0001,Q3,2025-04-14,107353.03,0.2915,17045.28,0.1588,90307.75,101488.93
FT0001,Q4,2025-01-14,89291.22,0.3026,14162.45,0.1586,75128.77,72843.2
FT0001,Q5,2024-10-16,55605.94,0.2156,7394.87,0.133,48211.07,48892.93
FT0001,Q6,2024-07-18,51933.78,0.2927,4679.81,0.0901,47253.98,42155.2
FT0001,Q7,2024-04-19,36670.98,0.2659,6370.2,0.1737,30300.78,24949.12
FT0001,Q8,2024-01-20,31450.29,0.1904,3222.27,0.1025,28228.02,29323.8
FT0002,Q1,2025-10-11,636792.63,0.0961,295107.1,0.4634,341685.53,275510.76
FT0002,Q2,2025-07-13,570275.5,0.1064,200741.16,0.352,369534.34,384791.59
FT0002,Q3,2025-04-14,577886.17,0.1611,196809.67,0.3406,381076.5,403223.12
FT0002,Q4,2025-01-14,473182.4,0.1904,216266.93,0.457,256915.46,243243.05
FT0002,Q5,2024-10-16,395950.26,0.1851,174189.41,0.4399,221760.86,236805.34
FT0002,Q6,2024-07-18,357737.39,0.1163,124458.86,0.3479,233278.54,211923.98
FT0002,Q7,2024-04-19,370826.94,0.2115,135601.98,0.3657,235224.96,206087.63
FT0002,Q8,2024-01-20,277538.98,0.0701,97573.52,0.3516,179965.46,170099.34
FT0003,Q1,2025-10-11,372556.24,0.1644,124218.51,0.3334,248337.73,0.0
FT0003,Q2,2025-07-13,221848.6,0.0752,72038.75,0.3247,149809.85,0.0
FT0003,Q3,2025-04-14,223644.04,0.1487,78824.91,0.3525,144819.12,0.0
FT0003,Q4,2025-01-14,237400.59,0.17,73399.66,0.3092,164000.93,0.0
FT0003,Q5,2024-10-16,173009.74,0.1193,57658.24,0.3333,115351.5,0.0
FT0003,Q6,2024-07-18,197986.55,0.2032,45980.6,0.2322,152005.96,0.0
FT0003,Q7,2024-04-19,140586.51,0.1532,43758.81,0.3113,96827.7,0.0
FT0003,Q8,2024-01-20,128918.07,0.2018,53280.12,0.4133,75637.95,0.0
FT0004,Q1,2025-10-11,3457526.14,0.2315,591798.87,0.1712,2865727.26,2689567.3
FT0004,Q2,2025-07-13,2155922.2,0.1691,320063.42,0.1485,1835858.78,2074730.53
FT0004,Q3,2025-04-14,2594640.05,0.2557,641563.8,0.2473,1953076.25,2005086.95
FT0004,Q4,2025-01-14,2681639.68,0.3361,283108.36,0.1056,2398531.33,2299883.36
FT0004,Q5,2024-10-16,2233032.83,0.3556,553017.16,0.2477,1680015.67,1828812.69
FT0004,Q6,2024-07-18,1465798.85,0.3461,302680.05,0.2065,1163118.8,1311409.47
FT0004,Q7,2024-04-19,971651.14,0.2243,226750.09,0.2334,744901.04,873837.67
FT0004,Q8,2024-01-20,778668.77,0.2933,280679.44,0.3605,497989.33,460884.68
FT0005,Q1,2025-10-11,513604.59,0.1238,122929.14,0.2393,390675.45,441494.64
FT0005,Q2,2025-07-13,517609.04,0.1692,125560.26,0.2426,392048.79,388635.46
FT0005,Q3,2025-04-14,349390.36,0.0959,82838.13,0.2371,266552.24,313086.84
FT0005,Q4,2025-01-14,366271.62,0.1465,93996.68,0.2566,272274.94,310551.2
FT0005,Q5,2024-10-16,322922.97,0.0922,91128.67,0.2822,231794.3,203217.07
FT0005,Q6,2024-07-18,252090.11,0.0742,38062.03,0.151,214028.08,235795.04
FT0005,Q7,2024-04-19,263635.73,0.1002,43094.22,0.1635,220541.51,183016.8
FT0005,Q8,2024-01-20,204585.04,0.182,54772.13,0.2677,149812.91,130503.01
FT0006,Q1,2025-10-11,122655.64,0.3059,-5852.94,-0.0477,128508.58,114765.64
FT0006,Q2,2025-07-13,71369.52,0.2903,-668.49,-0.0094,72038.02,76525.23
FT0006,Q3,2025-04-14,61213.05,0.2825,-344.42,-0.0056,61557.47,65351.28
FT0006,Q4,2025-01-14,55906.25,0.3454,-5182.01,-0.0927,61088.26,60639.5
FT0006,Q5,2024-10-16,27613.95,0.2387,120.57,0.0044,27493.37,30686.32
FT0006,Q6,2024-07-18,28125.04,0.2067,1566.59,0.0557,26558.45,23261.96
FT0006,Q7,2024-04-19,21445.91,0.1824,789.46,0.0368,20656.45,18168.23
FT0006,Q8,2024-01-20,14158.22,0.3328,-313.07,-0.0221,14471.28,15316.93
FT0007,Q1,2025-10-11,1484074.53,0.0879,497936.94,0.3355,986137.59,1045980.62
FT0007,Q2,2025-07-13,2602595.29,0.2027,1080848.3,0.4153,1521746.99,1740613.92
FT0007,Q3,2025-04-14,2022947.78,0.1997,765184.59,0.3783,1257763.18,1413164.08
FT0007,Q4,2025-01-14,1692504.16,0.2033,568701.93,0.336,1123802.23,1317239.56
FT0007,Q5,2024-10-16,1373617.01,0.2154,486373.81,0.3541,887243.2,846908.74
FT0007,Q6,2024-07-18,1076110.46,0.2406,367183.56,0.3412,708926.9,819346.77
FT0007,Q7,2024-04-19,996062.72,0.2255,323504.28,0.3248,672558.43,548275.51
FT0007,Q8,2024-01-20,888808.19,0.1912,370088.72,0.4164,518719.47,581407.87
FT0008,Q1,2025-10-11,666491.11,0.1033,218467.86,0.3278,448023.25,532386.02
FT0008,Q2,2025-07-13,987038.26,0.2241,224125.26,0.2271,762913.0,778054.09
FT0008,Q3,2025-04-14,757493.67,0.1851,275292.45,0.3634,482201.22,536687.06
FT0008,Q4,2025-01-14,725971.4,0.2467,197447.45,0.272,528523.95,437460.18
FT0008,Q5,2024-10-16,637011.09,0.2236,191468.03,0.3006,445543.06,378753.23
