company_id,round_number,round_date,round_type,amount_raised_usd,valuation_usd,num_investors,investors,months_since_last_round
FT0001,1,2024-08-22,Seed,26975.4,94206.57,4,"4DX Ventures, Andela, Global Founders Capital, Development Bank",0
FT0002,1,2024-06-22,Seed,179386.15,640613.31,3,"Speedinvest, CRE Venture Capital, 4DX Ventures",0
FT0002,2,2023-03-11,Series A,683747.69,4952549.4,4,"Development Bank, Partech Partners, Andreessen Horowitz, Andela",22
FT0002,3,2025-05-15,Series B,1844727.91,11750950.77,1,Andela,21
FT0003,1,2024-05-30,Seed,112900.5,1115166.65,4,"Partech Partners, TLcom Capital, Speedinvest, Global Founders Capital",0
FT0003,2,2025-06-20,Series A,524487.24,4496039.58,4,"Andela, TLcom Capital, Andreessen Horowitz, 4DX Ventures",13
FT0003,3,2025-06-30,Series B,1905059.07,10932367.31,1,Local Angel Investors,19
FT0003,4,2025-05-25,Series C,2927271.92,13494510.72,3,"Global Founders Capital, Andela, Novastar Ventures",21
FT0003,5,2025-07-01,Series D,2404543.2,19189555.09,4,"Andreessen Horowitz, 500 Startups, Global Founders Capital, Partech Partners",12
FT0004,1,2023-08-23,Seed,197827.9,877952.86,3,"TLcom Capital, 500 Startups, 4DX Ventures",0
FT0005,1,2024-04-18,Seed,60626.26,403344.3,1,Partech Partners,0
FT0006,1,2024-12-27,Seed,24172.27,189335.43,2,"Sequoia Capital, 4DX Ventures",0
FT0007,1,2020-08-30,Seed,356110.08,2813354.49,3,"Accel Partners, Development Bank, Global Founders Capital",0
FT0007,2,2021-05-26,Series A,996764.62,5094272.69,1,TLcom Capital,9
FT0008,1,2021-05-27,Seed,443939.98,2532868.81,4,"Local Angel Investors, 4DX Ventures, Sequoia Capital, TLcom Capital",0
FT0008,2,2019-07-08,Series A,511931.27,1552424.3,3,"Development Bank, Y Combinator, Accel Partners",9
FT0008,3,2019-05-24,Series B,3451266.35,21936675.5,3,"TLcom Capital, Partech Partners, TLcom Capital",18
FT0009,1,2022-12-25,Seed,153777.32,1100604.82,3,"Speedinvest, Y Combinator, Partech Partners",0
FT0009,2,2021-09-07,Series A,1258312.59,8010027.27,4,"Speedinvest, 4DX Ventures, Sequoia Capital, CRE Venture Capital",21
FT0009,3,2016-09-11,Series B,2753046.67,13314340.75,4,"Local Angel Investors, Accel Partners, Novastar Ventures, Corporate VC",23
FT0009,4,2022-12-07,Series C,8045021.47,27550577.74,1,Accel Partners,23
FT0009,5,2016-12-28,Series D,15495296.3,90955190.21,2,"TLcom Capital, Global Founders Capital",7
FT0009,6,2014-01-02,Bridge,42201904.64,339963046.96,3,"Partech Partners, Novastar Ventures, Speedinvest",7
FT0009,7,2016-02-06,Series D+,16840641.16,96996437.2,1,Novastar Ventures,22
FT0010,1,2024-10-07,Seed,184312.11,1448361.32,3,"Local Angel Investors, Sequoia Capital, Global Founders Capital",0
FT0010,2,2022-02-21,Series A,769018.24,3633259.02,1,Development Bank,18
FT0010,3,2022-03-28,Series B,1343117.21,4864717.34,3,"Speedinvest, 500 Startups, TLcom Capital",11
FT0010,4,2023-07-11,Series C,2861243.12,18479919.27,1,Speedinvest,6
FT0011,1,2024-02-07,Seed,151415.7,871230.04,3,"TLcom Capital, 500 Startups, Sequoia Capital",0
FT0011,2,2023-12-13,Series A,470405.75,2239957.32,1,Global Founders Capital,7
FT0012,1,2025-04-17,Seed,146142.83,1317757.73,1,Partech Partners,0
FT0012,2,2024-04-04,Series A,253073.44,1026113.5,4,"TLcom Capital, 500 Startups, Development Bank, Government Fund",20
FT0012,3,2023-06-07,Series B,1848216.64,14347615.93,3,"Corporate VC, Sequoia Capital, Local Angel Investors",9
FT0013,1,2023-12-24,Seed,34350.36,292431.76,2,"CRE Venture Capital, Global Founders Capital",0
FT0013,2,2024-06-07,Series A,129279.26,448612.54,2,"CRE Venture Capital, Speedinvest",20
FT0013,3,2025-02-24,Series B,426376.65,1594358.44,2,"Development Bank, Global Founders Capital",20
FT0013,4,2023-10-11,Series C,1422698.28,10764468.68,2,"Andreessen Horowitz, Sequoia Capital",21
FT0014,1,2022-10-10,Seed,84397.84,604669.31,1,Accel Partners,0
FT0014,2,2018-08-07,Series A,624735.22,3461406.8,2,"Speedinvest, CRE Venture Capital",10
FT0014,3,2023-11-20,Series B,1720932.18,9105110.76,2,"Government Fund, Corporate VC",13
FT0014,4,2021-04-09,Series C,1439510.02,4507267.16,2,"Partech Partners, TLcom Capital",17
FT0014,5,2021-05-03,Series D,4730009.71,28151937.12,3,"4DX Ventures, CRE Venture Capital, Novastar Ventures",18
FT0014,6,2019-08-24,Bridge,5679969.53,46244273.4,4,"Andreessen Horowitz, Partech Partners, Sequoia Capital, TLcom Capital",18
FT0015,1,2024-12-31,Seed,263554.52,1227534.8,2,"Local Angel Investors, Government Fund",0
FT0015,2,2024-01-18,Series A,1926022.91,16806196.51,4,"Global Founders Capital, Andela, 4DX Ventures, 500 Startups",18
FT0016,1,2025-02-03,Seed,20020.13,125657.77,3,"Development Bank, Global Founders Capital, 500 Startups",0
FT0016,2,2025-05-27,Series A,192759.97,1433867.47,3,"4DX Ventures, Y Combinator, Andreessen Horowitz",10
FT0016,3,2025-08-27,Series B,404864.81,2934206.92,2,"Novastar Ventures, Local Angel Investors",14
FT0017,1,2024-08-05,Seed,26222.94,87679.58,2,"Andela, Global Founders Capital",0
FT0017,2,2023-09-21,Series A,161524.48,1075511.4,1,Government Fund,21
FT0017,3,2024-06-07,Series B,328602.99,1316296.52,2,"Novastar Ventures, Government Fund",6
FT0017,4,2025-06-21,Series C,1815739.7,9865021.52,3,"4DX Ventures, Y Combinator, TLcom Capital",12
FT0017,5,2024-07-28,Series D,1907195.56,15371504.36,4,"CRE Venture Capital, Accel Partners, Novastar Ventures, Global Founders Capital",11
FT0017,6,2025-08-25,Bridge,4279613.11,34090625.08,4,"Government Fund, Andela, 500 Startups, Speedinvest",19
FT0018,1,2023-04-20,Seed,28231.07,181685.31,2,"Andela, 4DX Ventures",0
FT0018,2,2024-09-17,Series A,128938.03,1280701.38,1,Accel Partners,20
FT0018,3,2022-12-25,Series B,653516.47,4381267.02,1,Y Combinator,18
FT0018,4,2023-01-01,Series C,1354237.76,9209539.54,1,Speedinvest,22
FT0018,5,2024-11-29,Series D,2944828.07,20589284.03,4,"TLcom Capital, Speedinvest, Partech Partners, Development Bank",8
FT0019,1,2023-02-16,Seed,92112.79,581711.85,2,"Corporate VC, Partech Partners",0
FT0019,2,2024-05-02,Series A,271341.81,2627723.27,2,"Development Bank, CRE Venture Capital",12
FT0019,3,2022-03-27,Series B,1553822.12,6001711.1,4,"CRE Venture Capital, Corporate VC, Novastar Ventures, Development Bank",21
FT0020,1,2025-08-14,Seed,90858.75,312654.75,2,"Government Fund, Andreessen Horowitz",0
FT0020,2,2025-04-11,Series A,399616.98,3427184.63,2,"TLcom Capital, Development Bank",13
FT0020,3,2025-08-31,Series B,636695.35,3608467.54,4,"Y Combinator, Sequoia Capital, Accel Partners, Speedinvest",12
FT0021,1,2024-12-27,Seed,40090.27,289313.41,2,"Government Fund, Local Angel Investors",0
