company_id,company_name,country,fintech_type,age_years,company_size,employees,regulatory_status,funding_stage,gdp_per_capita,mobile_penetration,fintech_maturity
FT0001,MTN Mobile Money Digital,Rwanda,Lending Platform,3.7,Small,94,Licensed,Seed,822,0.85,medium
FT0002,Wari Inc,Senegal,Remittance,4.8,Medium,149,Licensed,Bootstrap,1444,0.88,medium
FT0003,MTN Mobile Money,Zambia,Insurance Tech,2.0,Medium,189,Licensed,IPO,1209,0.79,low
FT0004,SpotMoney,South Africa,Lending Platform,2.9,Medium,154,Licensed,Bootstrap,6994,0.95,high
FT0005,Zeepay,Ghana,Mobile Money,2.5,Small,149,Pending,Seed,2202,0.87,medium
FT0006,MTN Mobile Money,Rwanda,Lending Platform,1.6,Startup,44,Pending,Seed,822,0.85,medium
FT0007,HaloPesa Inc,Tanzania,Digital Banking,5.5,Large,369,Pending,Seed,1098,0.82,medium
FT0008,MTN Mobile Money,Rwanda,Lending Platform,6.6,Large,978,Unlicensed,Seed,822,0.85,medium
FT0009,Chapa Ltd,Ethiopia,Investment Platform,14.0,Large,747,Licensed,Series B,925,0.45,low
FT0010,Kuda,Nigeria,Remittance,3.8,Medium,60,Unlicensed,Series B,2028,0.89,high
FT0011,Kopo Kopo,Kenya,Mobile Money,2.2,Medium,123,Licensed,Series A,1808,0.91,high
FT0012,SpotMoney,South Africa,Investment Platform,5.3,Medium,866,Licensed,Bootstrap,6994,0.95,high
FT0013,Mukuru Ltd,Zambia,Digital Banking,2.1,Small,170,Pending,Series A,1209,0.79,low
FT0014,ExpressPay,Ghana,Investment Platform,7.4,Medium,673,Pending,Series B,2202,0.87,medium
FT0015,Slydepay,Ghana,Insurance Tech,5.9,Large,330,Unlicensed,Seed,2202,0.87,medium
FT0016,M-Birr,Ethiopia,Lending Platform,1.0,Startup,13,Licensed,Series A,925,0.45,low
FT0017,Mukuru,Zambia,Lending Platform,2.2,Small,199,Licensed,IPO,1209,0.79,low
FT0018,Slydepay,Ghana,Lending Platform,4.7,Small,100,Licensed,IPO,2202,0.87,medium
FT0019,NMB Mobile,Tanzania,Crypto Exchange,4.0,Medium,72,Licensed,Acquired,1098,0.82,medium
FT0020,BK Mobile,Rwanda,Lending Platform,1.8,Small,28,Licensed,Acquired,822,0.85,medium
FT0021,M-Pesa Technologies,Tanzania,Payment Gateway,1.6,Startup,24,Licensed,Seed,1098,0.82,medium
FT0022,Zoona Solutions,Zambia,Payment Gateway,9.5,Medium,650,Unlicensed,Bootstrap,1209,0.79,low
FT0023,Kifiya,Ethiopia,Mobile Money,7.3,Medium,863,Licensed,Acquired,925,0.45,low
FT0024,MTN Mobile Money Group,Ghana,Lending Platform,7.8,Large,108,Licensed,Series A,2202,0.87,medium
FT0025,Mukuru,South Africa,Lending Platform,4.1,Small,183,Unlicensed,Series A,6994,0.95,high
FT0026,Mukuru,South Africa,Remittance,11.9,Medium,977,Licensed,Series A,6994,0.95,high
FT0027,M-Birr Group,Ethiopia,Lending Platform,2.2,Medium,147,Pending,Series A,925,0.45,low
FT0028,Carbon,Nigeria,Remittance,4.0,Small,177,Suspended,Seed,2028,0.89,high
FT0029,Airtel Money,Tanzania,Remittance,2.3,Medium,130,Licensed,Bootstrap,1098,0.82,medium
FT0030,JUMO,South Africa,Lending Platform,1.1,Small,34,Suspended,Series C,6994,0.95,high
FT0031,Yoco,South Africa,Lending Platform,2.2,Small,114,Suspended,Series B,6994,0.95,high
FT0032,MTN Mobile Money,Uganda,Remittance,1.6,Startup,35,Unlicensed,Series C,884,0.78,medium
FT0033,Joni Joni,Senegal,Digital Banking,2.3,Small,149,Licensed,Series B,1444,0.88,medium
FT0034,Kifiya,Ethiopia,Payment Gateway,2.0,Medium,118,Licensed,Series A,925,0.45,low
FT0035,MTN Mobile Money,Zambia,Crypto Exchange,1.6,Startup,20,Licensed,Series B,1209,0.79,low
FT0036,Kopo Kopo,Kenya,Digital Banking,2.2,Small,144,Unlicensed,Series B,1808,0.91,high
FT0037,Paystack,Nigeria,Lending Platform,2.3,Small,27,Pending,Seed,2028,0.89,high
FT0038,Centenary Bank,Uganda,Crypto Exchange,1.6,Startup,39,Pending,Series A,884,0.78,medium
FT0039,Tala,Kenya,Lending Platform,5.8,Medium,703,Pending,Seed,1808,0.91,high
FT0040,Airtel Money,Zambia,Investment Platform,4.6,Small,77,Unlicensed,Seed,1209,0.79,low
FT0041,M-Pesa,Tanzania,Remittance,2.0,Small,43,Pending,Seed,1098,0.82,medium
FT0042,Equity Bank,Rwanda,Payment Gateway,1.5,Startup,33,Licensed,Bootstrap,822,0.85,medium
FT0043,Cowrywise,Nigeria,Insurance Tech,1.6,Startup,30,Licensed,Seed,2028,0.89,high
FT0044,Cowrywise,Nigeria,Insurance Tech,1.1,Small,40,Licensed,Seed,2028,0.89,high
FT0045,Airtel Money,Zambia,Payment Gateway,3.3,Medium,35,Licensed,Series A,1209,0.79,low
FT0046,Kuda,Nigeria,Lending Platform,4.4,Small,52,Licensed,Series A,2028,0.89,high
FT0047,Equity Bank,Uganda,Lending Platform,4.2,Small,48,Licensed,Bootstrap,884,0.78,medium
FT0048,Branch,Kenya,Investment Platform,2.2,Medium,112,Unlicensed,Bootstrap,1808,0.91,high
FT0049,M-Pesa,Kenya,Payment Gateway,4.5,Small,94,Unlicensed,Series A,1808,0.91,high
FT0050,MTN Mobile Money,Uganda,Investment Platform,2.7,Small,196,Pending,Bootstrap,884,0.78,medium
FT0051,Bamboo,Nigeria,Crypto Exchange,6.9,Medium,624,Pending,Seed,2028,0.89,high
FT0052,Cowrywise,Nigeria,Mobile Money,2.5,Small,38,Licensed,Bootstrap,2028,0.89,high
FT0053,Amole,Ethiopia,Payment Gateway,10.4,Medium,663,Licensed,Series A,925,0.45,low
FT0054,Equity Bank,Uganda,Investment Platform,3.4,Small,72,Pending,Series B,884,0.78,medium
FT0055,Airtel Money Inc,Uganda,Digital Banking,2.7,Medium,94,Licensed,Bootstrap,884,0.78,medium
FT0056,Mukuru,Zambia,Digital Banking,6.5,Medium,267,Licensed,Series B,1209,0.79,low
FT0057,MTN Mobile Money,Zambia,Digital Banking,1.8,Startup,49,Licensed,Series B,1209,0.79,low
FT0058,MTN Mobile Money,Rwanda,Mobile Money,2.4,Small,127,Licensed,Seed,822,0.85,medium
FT0059,Zoona,Zambia,Payment Gateway,1.9,Startup,24,Licensed,Bootstrap,1209,0.79,low
FT0060,M-Birr,Ethiopia,Crypto Exchange,1.8,Startup,29,Unlicensed,Seed,925,0.45,low
FT0061,HaloPesa,Tanzania,Digital Banking,3.4,Small,99,Licensed,Acquired,1098,0.82,medium
FT0062,Equity Bank,Uganda,Lending Platform,1.2,Startup,18,Licensed,Acquired,884,0.78,medium
FT0063,Airtel Money,Tanzania,Insurance Tech,1.1,Startup,36,Licensed,Seed,1098,0.82,medium
FT0064,Orange Money Solutions,Senegal,Lending Platform,4.1,Small,79,Licensed,Bootstrap,1444,0.88,medium
FT0065,Amole,Ethiopia,Lending Platform,1.1,Startup,24,Pending,Seed,925,0.45,low
FT0066,Mukuru,South Africa,Investment Platform,4.9,Medium,29,Unlicensed,Series B,6994,0.95,high
FT0067,MTN Mobile Money,Uganda,Crypto Exchange,3.0,Medium,30,Licensed,Seed,884,0.78,medium
FT0068,Airtel Money,Tanzania,Payment Gateway,1.2,Startup,5,Licensed,Bootstrap,1098,0.82,medium
FT0069,Bamboo,Nigeria,Investment Platform,8.3,Medium,664,Unlicensed,Series B,2028,0.89,high
FT0070,Cowrywise Ltd,Nigeria,Investment Platform,10.2,Medium,545,Unlicensed,Series B,2028,0.89,high
FT0071,Kopo Kopo Inc,Kenya,Lending Platform,3.1,Small,22,Licensed,Series B,1808,0.91,high
FT0072,NMB Mobile Technologies,Tanzania,Lending Platform,2.5,Small,66,Licensed,Series B,1098,0.82,medium
FT0073,Branch,Kenya,Payment Gateway,3.9,Medium,69,Licensed,Seed,1808,0.91,high
FT0074,Ozow,South Africa,Crypto Exchange,3.2,Medium,49,Pending,Series B,6994,0.95,high
FT0075,Centenary Bank,Uganda,Investment Platform,6.5,Large,951,Licensed,Acquired,884,0.78,medium
FT0076,Stanbic Bank Technologies,Uganda,Digital Banking,1.8,Startup,27,Licensed,Bootstrap,884,0.78,medium
FT0077,HaloPesa Ltd,Tanzania,Remittance,7.8,Medium,192,Suspended,Series A,1098,0.82,medium
FT0078,EasyEquities Solutions,South Africa,Payment Gateway,2.3,Small,89,Licensed,Seed,6994,0.95,high
FT0079,Airtel Money Inc,Zambia,Insurance Tech,4.5,Small,66,Pending,Bootstrap,1209,0.79,low
FT0080,Carbon,Nigeria,Digital Banking,5.1,Medium,818,Licensed,Series C,2028,0.89,high
FT0081,Zoona,Zambia,Lending Platform,4.8,Small,75,Licensed,Series A,1209,0.79,low
FT0082,BK Mobile,Rwanda,Insurance Tech,1.3,Startup,39,Licensed,Bootstrap,822,0.85,medium
FT0083,Equity Bank Ltd,Rwanda,Investment Platform,6.5,Medium,225,Licensed,Series B,822,0.85,medium
FT0084,Zeepay,Ghana,Mobile Money,4.1,Small,130,Pending,Series A,2202,0.87,medium
FT0085,Joni Joni Ltd,Senegal,Mobile Money,2.2,Medium,83,Licensed,Seed,1444,0.88,medium
FT0086,M-Pesa Group,Tanzania,Investment Platform,1.8,Startup,8,Unlicensed,Bootstrap,1098,0.82,medium
FT0087,Orange Money Technologies,Senegal,Crypto Exchange,1.1,Startup,28,Licensed,Seed,1444,0.88,medium
FT0088,Slydepay,Ghana,Crypto Exchange,3.0,Medium,81,Unlicensed,Series A,2202,0.87,medium
FT0089,Wari,Senegal,Digital Banking,1.7,Small,8,Licensed,Series A,1444,0.88,medium
FT0090,Bamboo,Nigeria,Lending Platform,5.4,Medium,993,Licensed,Seed,2028,0.89,high
FT0091,Mukuru,South Africa,Mobile Money,1.4,Startup,48,Licensed,Series A,6994,0.95,high
FT0092,Hubtel Ltd,Ghana,Mobile Money,3.7,Small,182,Licensed,Series C,2202,0.87,medium
