Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Conductivity_Mean_W_m_K,Thermal_Conductivity_Std_W_m_K,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Thermal,1.95,0.195,0.0,small
C,30,Validation,Thermal,1.93,0.193,0.0,small
C,40,Validation,Thermal,1.91,0.191,0.0,small
C,50,Calibration,Thermal,1.8901,0.189,0.0,small
C,60,Calibration,Thermal,1.8701,0.187,0.0,small
C,70,Calibration,Thermal,1.8502,0.185,0.0,small
C,80,Calibration,Thermal,1.8304,0.183,0.0,small
C,90,Validation,Thermal,1.8105,0.1811,0.0,small
C,100,Calibration,Thermal,1.7907,0.1791,0.0,small
C,110,Validation,Thermal,1.771,0.1771,0.0,small
C,120,Calibration,Thermal,1.7512,0.1751,0.0,small
C,130,Validation,Thermal,1.7316,0.1732,0.0,small
C,140,Validation,Thermal,1.7119,0.1712,0.0,small
C,150,Calibration,Thermal,1.6924,0.1692,0.0,small
C,160,Calibration,Thermal,1.6728,0.1673,0.0,small
C,170,Calibration,Thermal,1.6534,0.1653,0.0,small
C,180,Calibration,Thermal,1.634,0.1634,0.0,small
C,190,Calibration,Thermal,1.6146,0.1615,0.0,small
C,200,Calibration,Thermal,1.5954,0.1595,0.0,small
C,210,Calibration,Thermal,1.5762,0.1576,0.0,small
C,220,Calibration,Thermal,1.557,0.1557,0.0,small
C,230,Calibration,Thermal,1.538,0.1538,0.0,small
C,240,Calibration,Thermal,1.519,0.1519,0.0,small
C,250,Calibration,Thermal,1.5001,0.15,0.0,small
C,260,Calibration,Thermal,1.4812,0.1481,0.0,small
C,270,Validation,Thermal,1.4625,0.1462,0.0,small
C,280,Calibration,Thermal,1.4438,0.1444,0.0,small
C,290,Calibration,Thermal,1.4252,0.1425,0.0,small
C,300,Calibration,Thermal,1.4067,0.1407,0.0,small
C,310,Calibration,Thermal,1.3882,0.1388,0.0,small
C,320,Calibration,Thermal,1.3699,0.137,0.0,small
C,330,Calibration,Thermal,1.3517,0.1352,0.0,small
C,340,Calibration,Thermal,1.3335,0.1334,0.0,small
C,350,Validation,Thermal,1.3154,0.1315,0.0,small
C,360,Validation,Thermal,1.2975,0.1297,0.0,small
C,370,Validation,Thermal,1.2796,0.128,0.0,small
C,380,Calibration,Thermal,1.2618,0.1262,0.0,small
C,390,Calibration,Thermal,1.2441,0.1244,0.0,small
C,400,Calibration,Thermal,1.2266,0.1227,0.0,small
C,410,Calibration,Thermal,1.2091,0.1209,0.0,small
C,420,Calibration,Thermal,1.1917,0.1192,0.0,small
C,430,Calibration,Thermal,1.1744,0.1174,0.0,small
C,440,Calibration,Thermal,1.1573,0.1157,0.0,small
C,450,Validation,Thermal,1.1402,0.114,0.0,small
C,460,Calibration,Thermal,1.1232,0.1123,0.0,small
C,470,Calibration,Thermal,1.1064,0.1106,0.0,small
C,480,Calibration,Thermal,1.0896,0.109,0.0,small
C,490,Calibration,Thermal,1.073,0.1073,0.0,small
C,500,Calibration,Thermal,1.0565,0.1056,0.0,small
C,510,Calibration,Thermal,1.04,0.104,0.0,small
C,520,Validation,Thermal,1.0237,0.1024,0.0,small
C,530,Validation,Thermal,1.0075,0.1008,0.0,small
C,540,Validation,Thermal,0.9914,0.0991,0.0,small
C,550,Validation,Thermal,0.9755,0.0975,0.0,small
C,560,Calibration,Thermal,0.9596,0.096,0.0,small
C,570,Validation,Thermal,0.9438,0.0944,0.0,small
C,580,Calibration,Thermal,0.9282,0.0928,0.0,small
C,590,Calibration,Thermal,0.9127,0.0913,0.0,small
C,600,Calibration,Thermal,0.8973,0.0897,0.0,small
C,610,Calibration,Thermal,0.882,0.0882,0.0,small
C,620,Calibration,Thermal,0.8668,0.0867,0.0,small
C,630,Calibration,Thermal,0.8517,0.0852,0.0,small
C,640,Validation,Thermal,0.8368,0.0837,0.0,small
C,650,Calibration,Thermal,0.8219,0.0822,0.0,small
C,660,Calibration,Thermal,0.8072,0.0807,0.0,small
C,670,Calibration,Thermal,0.7926,0.0793,0.0,small
C,680,Calibration,Thermal,0.7781,0.0778,0.0,small
C,690,Validation,Thermal,0.7637,0.0764,0.0,small
C,700,Calibration,Thermal,0.7495,0.0749,0.0,small
C,710,Validation,Thermal,0.7353,0.0735,0.0,small
C,720,Validation,Thermal,0.7213,0.0721,0.0,small
C,730,Calibration,Thermal,0.7074,0.0707,0.0,small
C,740,Calibration,Thermal,0.6936,0.0694,0.0,small
C,750,Validation,Thermal,0.6799,0.068,0.0,small
C,760,Validation,Thermal,0.6664,0.0666,0.0,small
C,770,Validation,Thermal,0.6529,0.0653,0.0,small
C,780,Validation,Thermal,0.6396,0.064,0.0,small
C,790,Calibration,Thermal,0.6264,0.0626,0.0,small
C,800,Calibration,Thermal,0.6133,0.0613,0.0,small
R5S,20,Calibration,Thermal,1.8622,0.1862,10.0,small
R5S,30,Validation,Thermal,1.8375,0.1837,10.0,small
R5S,40,Calibration,Thermal,1.8129,0.1813,10.0,small
R5S,50,Calibration,Thermal,1.7884,0.1788,10.0,small
R5S,60,Calibration,Thermal,1.7641,0.1764,10.0,small
R5S,70,Calibration,Thermal,1.74,0.174,10.0,small
R5S,80,Calibration,Thermal,1.716,0.1716,10.0,small
R5S,90,Validation,Thermal,1.6922,0.1692,10.0,small
R5S,100,Calibration,Thermal,1.6686,0.1669,10.0,small
R5S,110,Validation,Thermal,1.6451,0.1645,10.0,small
R5S,120,Calibration,Thermal,1.6218,0.1622,10.0,small
R5S,130,Calibration,Thermal,1.5986,0.1599,10.0,small
R5S,140,Validation,Thermal,1.5756,0.1576,10.0,small
R5S,150,Validation,Thermal,1.5528,0.1553,10.0,small
R5S,160,Calibration,Thermal,1.5302,0.153,10.0,small
R5S,170,Validation,Thermal,1.5078,0.1508,10.0,small
R5S,180,Calibration,Thermal,1.4855,0.1485,10.0,small
R5S,190,Calibration,Thermal,1.4634,0.1463,10.0,small
R5S,200,Calibration,Thermal,1.4415,0.1441,10.0,small
R5S,210,Calibration,Thermal,1.4198,0.142,10.0,small
R5S,220,Calibration,Thermal,1.3982,0.1398,10.0,small
R5S,230,Calibration,Thermal,1.3769,0.1377,10.0,small
R5S,240,Calibration,Thermal,1.3557,0.1356,10.0,small
R5S,250,Calibration,Thermal,1.3347,0.1335,10.0,small
R5S,260,Calibration,Thermal,1.3139,0.1314,10.0,small
R5S,270,Validation,Thermal,1.2932,0.1293,10.0,small
R5S,280,Calibration,Thermal,1.2728,0.1273,10.0,small
R5S,290,Calibration,Thermal,1.2525,0.1253,10.0,small
R5S,300,Validation,Thermal,1.2325,0.1232,10.0,small
R5S,310,Calibration,Thermal,1.2126,0.1213,10.0,small
R5S,320,Calibration,Thermal,1.1929,0.1193,10.0,small
R5S,330,Calibration,Thermal,1.1734,0.1173,10.0,small
R5S,340,Calibration,Thermal,1.1541,0.1154,10.0,small
R5S,350,Validation,Thermal,1.135,0.1135,10.0,small
R5S,360,Validation,Thermal,1.116,0.1116,10.0,small
R5S,370,Calibration,Thermal,1.0973,0.1097,10.0,small
R5S,380,Validation,Thermal,1.0787,0.1079,10.0,small
R5S,390,Validation,Thermal,1.0603,0.106,10.0,small
R5S,400,Calibration,Thermal,1.0421,0.1042,10.0,small
R5S,410,Validation,Thermal,1.0241,0.1024,10.0,small
R5S,420,Calibration,Thermal,1.0063,0.1006,10.0,small
R5S,430,Validation,Thermal,0.9887,0.0989,10.0,small
R5S,440,Validation,Thermal,0.9712,0.0971,10.0,small
R5S,450,Calibration,Thermal,0.9539,0.0954,10.0,small
R5S,460,Calibration,Thermal,0.9369,0.0937,10.0,small
R5S,470,Calibration,Thermal,0.92,0.092,10.0,small
R5S,480,Calibration,Thermal,0.9033,0.0903,10.0,small
