Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Diffusivity_Mean_mm2_s,Thermal_Diffusivity_Std_mm2_s,Density_kg_m3,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Thermal,0.923295,0.126932,2400.0,0.0,small
C,30,Calibration,Thermal,0.909473,0.12503,2399.1,0.0,small
C,40,Calibration,Thermal,0.895765,0.123149,2398.3,0.0,small
C,50,Validation,Thermal,0.882196,0.121276,2397.4,0.0,small
C,60,Calibration,Thermal,0.868695,0.119421,2396.5,0.0,small
C,70,Calibration,Thermal,0.855332,0.11758,2395.7,0.0,small
C,80,Validation,Thermal,0.842128,0.115761,2394.8,0.0,small
C,90,Calibration,Thermal,0.828979,0.11398,2394.0,0.0,small
C,100,Validation,Thermal,0.815978,0.112187,2393.1,0.0,small
C,110,Calibration,Thermal,0.803122,0.110409,2392.2,0.0,small
C,120,Validation,Thermal,0.790331,0.108648,2391.4,0.0,small
C,130,Calibration,Thermal,0.77772,0.106931,2390.5,0.0,small
C,140,Calibration,Thermal,0.765164,0.105196,2389.7,0.0,small
C,150,Calibration,Thermal,0.752805,0.103481,2388.8,0.0,small
C,160,Calibration,Thermal,0.740498,0.101808,2387.9,0.0,small
C,170,Validation,Thermal,0.72837,0.100123,2387.1,0.0,small
C,180,Validation,Thermal,0.716346,0.09848,2386.2,0.0,small
C,190,Calibration,Thermal,0.704418,0.096853,2385.4,0.0,small
C,200,Calibration,Thermal,0.692673,0.095213,2384.5,0.0,small
C,210,Validation,Thermal,0.681023,0.09362,2383.7,0.0,small
C,220,Validation,Thermal,0.669473,0.092036,2382.8,0.0,small
C,230,Calibration,Thermal,0.658095,0.090472,2381.9,0.0,small
C,240,Calibration,Thermal,0.646817,0.088922,2381.1,0.0,small
C,250,Calibration,Thermal,0.635666,0.087388,2380.2,0.0,small
C,260,Calibration,Thermal,0.624613,0.085864,2379.4,0.0,small
C,270,Calibration,Thermal,0.613734,0.08436,2378.5,0.0,small
C,280,Calibration,Thermal,0.602945,0.082898,2377.7,0.0,small
C,290,Calibration,Thermal,0.592286,0.081419,2376.8,0.0,small
C,300,Validation,Thermal,0.581756,0.079989,2376.0,0.0,small
C,310,Calibration,Thermal,0.571313,0.078536,2375.1,0.0,small
C,320,Calibration,Thermal,0.561045,0.077133,2374.3,0.0,small
C,330,Calibration,Thermal,0.550897,0.075743,2373.4,0.0,small
C,340,Calibration,Thermal,0.540839,0.074369,2372.6,0.0,small
C,350,Calibration,Thermal,0.530905,0.072975,2371.7,0.0,small
C,360,Calibration,Thermal,0.521129,0.071628,2370.9,0.0,small
C,370,Calibration,Thermal,0.511441,0.070322,2370.0,0.0,small
C,380,Calibration,Thermal,0.501874,0.069003,2369.2,0.0,small
C,390,Calibration,Thermal,0.492426,0.067694,2368.3,0.0,small
C,400,Calibration,Thermal,0.483142,0.066433,2367.5,0.0,small
C,410,Validation,Thermal,0.473931,0.065152,2366.6,0.0,small
C,420,Calibration,Thermal,0.464838,0.063912,2365.8,0.0,small
C,430,Validation,Thermal,0.455865,0.06266,2364.9,0.0,small
C,440,Calibration,Thermal,0.447045,0.061449,2364.1,0.0,small
C,450,Calibration,Thermal,0.438295,0.060249,2363.2,0.0,small
C,460,Calibration,Thermal,0.429663,0.059064,2362.4,0.0,small
C,470,Calibration,Thermal,0.421181,0.057892,2361.5,0.0,small
C,480,Validation,Thermal,0.41277,0.056758,2360.7,0.0,small
C,490,Validation,Thermal,0.404511,0.05561,2359.8,0.0,small
C,500,Validation,Thermal,0.396356,0.054477,2359.0,0.0,small
C,510,Calibration,Thermal,0.388272,0.053379,2358.2,0.0,small
C,520,Calibration,Thermal,0.380334,0.052295,2357.3,0.0,small
C,530,Calibration,Thermal,0.372498,0.051223,2356.5,0.0,small
C,540,Calibration,Thermal,0.36477,0.050136,2355.6,0.0,small
C,550,Calibration,Thermal,0.357182,0.04909,2354.8,0.0,small
C,560,Calibration,Thermal,0.349659,0.048081,2353.9,0.0,small
C,570,Calibration,Thermal,0.342237,0.047056,2353.1,0.0,small
C,580,Calibration,Thermal,0.334951,0.046044,2352.3,0.0,small
C,590,Validation,Thermal,0.327767,0.045069,2351.4,0.0,small
C,600,Validation,Thermal,0.320679,0.044078,2350.6,0.0,small
C,610,Validation,Thermal,0.313703,0.043127,2349.6,0.0,small
C,620,Calibration,Thermal,0.306855,0.042191,2348.4,0.0,small
C,630,Calibration,Thermal,0.300131,0.041269,2347.0,0.0,small
C,640,Calibration,Thermal,0.29356,0.040363,2345.3,0.0,small
C,650,Validation,Thermal,0.287073,0.039469,2343.4,0.0,small
