Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Expansion_Coeff_Mean_per_K,Thermal_Expansion_Coeff_Std_per_K,Rubber_Content_Percent,Particle_Size
C,20,Calibration,Thermal,1.20e-05,1.44e-06,0.0,small
C,30,Validation,Thermal,1.20e-05,1.45e-06,0.0,small
C,40,Calibration,Thermal,1.21e-05,1.45e-06,0.0,small
C,50,Calibration,Thermal,1.21e-05,1.46e-06,0.0,small
C,60,Calibration,Thermal,1.22e-05,1.46e-06,0.0,small
C,70,Calibration,Thermal,1.22e-05,1.47e-06,0.0,small
C,80,Calibration,Thermal,1.23e-05,1.47e-06,0.0,small
C,90,Validation,Thermal,1.23e-05,1.48e-06,0.0,small
C,100,Calibration,Thermal,1.24e-05,1.48e-06,0.0,small
C,110,Validation,Thermal,1.24e-05,1.49e-06,0.0,small
C,120,Validation,Thermal,1.25e-05,1.50e-06,0.0,small
C,130,Validation,Thermal,1.25e-05,1.50e-06,0.0,small
C,140,Validation,Thermal,1.26e-05,1.51e-06,0.0,small
C,150,Calibration,Thermal,1.26e-05,1.51e-06,0.0,small
C,160,Calibration,Thermal,1.26e-05,1.52e-06,0.0,small
C,170,Calibration,Thermal,1.27e-05,1.52e-06,0.0,small
C,180,Calibration,Thermal,1.27e-05,1.53e-06,0.0,small
C,190,Calibration,Thermal,1.28e-05,1.53e-06,0.0,small
C,200,Validation,Thermal,1.28e-05,1.54e-06,0.0,small
C,210,Calibration,Thermal,1.29e-05,1.55e-06,0.0,small
C,220,Calibration,Thermal,1.29e-05,1.55e-06,0.0,small
C,230,Calibration,Thermal,1.30e-05,1.56e-06,0.0,small
C,240,Calibration,Thermal,1.30e-05,1.56e-06,0.0,small
C,250,Calibration,Thermal,1.31e-05,1.57e-06,0.0,small
C,260,Validation,Thermal,1.31e-05,1.57e-06,0.0,small
C,270,Calibration,Thermal,1.32e-05,1.58e-06,0.0,small
C,280,Calibration,Thermal,1.32e-05,1.58e-06,0.0,small
C,290,Calibration,Thermal,1.32e-05,1.59e-06,0.0,small
C,300,Calibration,Thermal,1.33e-05,1.60e-06,0.0,small
C,310,Calibration,Thermal,1.33e-05,1.60e-06,0.0,small
C,320,Calibration,Thermal,1.34e-05,1.61e-06,0.0,small
C,330,Calibration,Thermal,1.34e-05,1.61e-06,0.0,small
C,340,Calibration,Thermal,1.35e-05,1.62e-06,0.0,small
C,350,Calibration,Thermal,1.35e-05,1.62e-06,0.0,small
C,360,Calibration,Thermal,1.36e-05,1.63e-06,0.0,small
C,370,Calibration,Thermal,1.36e-05,1.63e-06,0.0,small
C,380,Calibration,Thermal,1.37e-05,1.64e-06,0.0,small
C,390,Calibration,Thermal,1.37e-05,1.64e-06,0.0,small
C,400,Validation,Thermal,1.38e-05,1.65e-06,0.0,small
C,410,Calibration,Thermal,1.38e-05,1.66e-06,0.0,small
C,420,Calibration,Thermal,1.38e-05,1.66e-06,0.0,small
C,430,Calibration,Thermal,1.39e-05,1.67e-06,0.0,small
C,440,Calibration,Thermal,1.39e-05,1.67e-06,0.0,small
C,450,Calibration,Thermal,1.40e-05,1.68e-06,0.0,small
C,460,Calibration,Thermal,1.40e-05,1.68e-06,0.0,small
C,470,Validation,Thermal,1.41e-05,1.69e-06,0.0,small
C,480,Calibration,Thermal,1.41e-05,1.69e-06,0.0,small
C,490,Calibration,Thermal,1.42e-05,1.70e-06,0.0,small
C,500,Calibration,Thermal,1.42e-05,1.71e-06,0.0,small
C,510,Calibration,Thermal,1.43e-05,1.71e-06,0.0,small
C,520,Calibration,Thermal,1.43e-05,1.72e-06,0.0,small
C,530,Calibration,Thermal,1.44e-05,1.72e-06,0.0,small
C,540,Validation,Thermal,1.44e-05,1.73e-06,0.0,small
C,550,Calibration,Thermal,1.44e-05,1.73e-06,0.0,small
C,560,Calibration,Thermal,1.45e-05,1.74e-06,0.0,small
C,570,Validation,Thermal,1.45e-05,1.74e-06,0.0,small
C,580,Calibration,Thermal,1.46e-05,1.75e-06,0.0,small
C,590,Validation,Thermal,1.46e-05,1.76e-06,0.0,small
C,600,Calibration,Thermal,1.47e-05,1.76e-06,0.0,small
C,610,Validation,Thermal,1.47e-05,1.77e-06,0.0,small
C,620,Calibration,Thermal,1.48e-05,1.77e-06,0.0,small
C,630,Validation,Thermal,1.48e-05,1.78e-06,0.0,small
C,640,Validation,Thermal,1.49e-05,1.78e-06,0.0,small
C,650,Calibration,Thermal,1.49e-05,1.79e-06,0.0,small
C,660,Validation,Thermal,1.50e-05,1.79e-06,0.0,small
C,670,Calibration,Thermal,1.50e-05,1.80e-06,0.0,small
C,680,Calibration,Thermal,1.50e-05,1.81e-06,0.0,small
C,690,Calibration,Thermal,1.51e-05,1.81e-06,0.0,small
C,700,Calibration,Thermal,1.51e-05,1.82e-06,0.0,small
C,710,Calibration,Thermal,1.52e-05,1.82e-06,0.0,small
C,720,Calibration,Thermal,1.52e-05,1.83e-06,0.0,small
C,730,Calibration,Thermal,1.53e-05,1.83e-06,0.0,small
C,740,Validation,Thermal,1.53e-05,1.84e-06,0.0,small
C,750,Validation,Thermal,1.54e-05,1.84e-06,0.0,small
C,760,Calibration,Thermal,1.54e-05,1.85e-06,0.0,small
C,770,Calibration,Thermal,1.55e-05,1.86e-06,0.0,small
C,780,Calibration,Thermal,1.55e-05,1.86e-06,0.0,small
C,790,Calibration,Thermal,1.56e-05,1.87e-06,0.0,small
C,800,Calibration,Thermal,1.56e-05,1.87e-06,0.0,small
R5S,20,Calibration,Thermal,1.30e-05,1.56e-06,10.0,small
R5S,30,Calibration,Thermal,1.30e-05,1.56e-06,10.0,small
R5S,40,Validation,Thermal,1.31e-05,1.57e-06,10.0,small
R5S,50,Calibration,Thermal,1.31e-05,1.57e-06,10.0,small
R5S,60,Calibration,Thermal,1.32e-05,1.58e-06,10.0,small
R5S,70,Calibration,Thermal,1.32e-05,1.59e-06,10.0,small
R5S,80,Calibration,Thermal,1.33e-05,1.59e-06,10.0,small
R5S,90,Calibration,Thermal,1.33e-05,1.60e-06,10.0,small
R5S,100,Calibration,Thermal,1.34e-05,1.60e-06,10.0,small
R5S,110,Calibration,Thermal,1.34e-05,1.61e-06,10.0,small
R5S,120,Calibration,Thermal,1.35e-05,1.62e-06,10.0,small
R5S,130,Validation,Thermal,1.35e-05,1.62e-06,10.0,small
R5S,140,Validation,Thermal,1.36e-05,1.63e-06,10.0,small
R5S,150,Calibration,Thermal,1.36e-05,1.63e-06,10.0,small
R5S,160,Calibration,Thermal,1.37e-05,1.64e-06,10.0,small
