pipe_size,material,outer_diameter_mm,wall_thickness_mm,inner_diameter_mm,length_m,cross_section_area_m2,wall_area_m2,moment_of_inertia_m4,material_density_kg_m3,youngs_modulus_GPa,poisson_ratio,sound_speed_material_m_s,thermal_conductivity_W_mK,surface_roughness_mm,damping_coefficient,natural_frequency_Hz,ring_frequency_Hz,critical_velocity_m_s,acoustic_impedance_Pa_s_m,transmission_loss_1kHz_dB,max_pressure_bar,min_temperature_C,max_temperature_C,weight_per_meter_kg,volume_per_meter_m3
DN15,PVC,21.3,2.0,17.3,6.0,0.00023506181632322227,0.00012126547642856602,5.706904902573852e-09,1380,3.4,0.4,2370,0.19,0.0015,0.02,0.46983895377034446,43606.61446564069,89.01408450704226,3270600,26.471671773379125,10,-10,60,0.1673463574714211,0.00023506181632322227
DN15,PVC,21.3,2.8,15.700000000000001,6.0,0.0001935927932958371,0.0001627344994559512,7.121465114316744e-09,1380,3.4,0.4,2370,0.19,0.0015,0.02,0.4530667081924824,48050.6006532219,124.61971830985914,3270600,29.394232486943885,10,-10,60,0.22457360924921266,0.0001935927932958371
DN15,PVC,21.3,3.2,14.9,6.0,0.0001743662462558675,0.0001819610464959208,7.684442444830853e-09,1380,3.4,0.4,2370,0.19,0.0015,0.02,0.44507608549929456,50630.49867487141,142.42253521126761,3270600,30.55407142649762,10,-10,60,0.25110624416437066,0.0001743662462558675
DN15,Steel_Carbon,21.3,2.0,17.3,6.0,0.00023506181632322227,0.00012126547642856602,5.706904902573852e-09,7850,210.0,0.3,5960,45.0,0.045,0.001,1.548188811040574,109660.51570262386,223.84976525821597,46786000,41.57148318025945,100,-50,500,0.9519339899642433,0.00023506181632322227
DN15,Steel_Carbon,21.3,2.8,15.700000000000001,6.0,0.0001935927932958371,0.0001627344994559512,7.121465114316744e-09,7850,210.0,0.3,5960,45.0,0.045,0.001,1.492921782346391,120836.10965957913,313.38967136150234,46786000,44.49404389382421,100,-50,500,1.2774658207292169,0.0001935927932958371
DN15,Steel_Carbon,21.3,3.2,14.9,6.0,0.0001743662462558675,0.0001819610464959208,7.684442444830853e-09,7850,210.0,0.3,5960,45.0,0.045,0.001,1.4665914992832982,127323.95447351628,358.15962441314554,46786000,45.65388283337795,100,-50,500,1.4283942149929783,0.0001743662462558675
DN15,Steel_Stainless,21.3,2.0,17.3,6.0,0.00023506181632322227,0.00012126547642856602,5.706904902573852e-09,8000,195.0,0.3,5790,16.0,0.015,0.001,1.4778195843699833,106532.61508694499,217.46478873239437,46320000,41.735889785193265,150,-200,800,0.9701238114285281,0.00023506181632322227
DN15,Steel_Stainless,21.3,2.8,15.700000000000001,6.0,0.0001935927932958371,0.0001627344994559512,7.121465114316744e-09,8000,195.0,0.3,5790,16.0,0.015,0.001,1.4250645865352514,117389.44210217503,304.45070422535207,46320000,44.65845049875803,150,-200,800,1.3018759956476096,0.0001935927932958371
DN15,Steel_Stainless,21.3,3.2,14.9,6.0,0.0001743662462558675,0.0001819610464959208,7.684442444830853e-09,8000,195.0,0.3,5790,16.0,0.015,0.001,1.3999310836348589,123692.23093987572,347.94366197183103,46320000,45.818289438311766,150,-200,800,1.4556883719673663,0.0001743662462558675
DN15,Copper,21.3,2.0,17.3,6.0,0.00023506181632322227,0.00012126547642856602,5.706904902573852e-09,8960,120.0,0.34,4760,401.0,0.0015,0.003,1.0954327570626425,87581.21723900831,178.7793427230047,42649600,42.7202502385969,50,-200,200,1.0865386687999514,0.00023506181632322227
