sensor_type,sensor_model,pipe_size,pipe_material,pipe_outer_diameter_mm,diameter_compatible,temperature_compatible,sensor_frequency_kHz,sensor_mounting,measurement_uncertainty_percent,signal_loss_dB,signal_to_noise_ratio_dB,max_measurable_velocity_m_s,performance_score,min_straight_pipe_required_diameters,response_time_ms,output_signal
Ultrasonic_Transit_Time,UFM-530,DN15,PVC,21.3,True,True,1000,Clamp-on,0.492825,0.665477896872846,39.39729484066519,10.0,93.75691170202224,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN15,Steel_Carbon,21.3,True,False,1000,Clamp-on,0.492825,9.248449939065335,30.8143227984727,10.0,73.33132270777087,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN15,Steel_Stainless,21.3,True,False,1000,Clamp-on,0.492825,9.207655357819382,30.85511737971865,10.0,73.42840485433109,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN15,Copper,21.3,True,False,1000,Clamp-on,0.492825,8.872233127510011,31.190539610028022,10.0,74.22663611759923,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN15,Aluminum,21.3,True,False,1000,Clamp-on,0.492825,5.377417804270714,34.68535493326732,10.0,82.54352926980654,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN15,HDPE,21.3,True,True,1000,Clamp-on,0.7392375,0.054603927975080534,40.00816880956295,10.0,92.8932175774661,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN15,Glass,21.3,True,False,1000,Clamp-on,0.492825,4.635940872947916,35.42683186459012,10.0,84.30808156864515,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN15,Concrete,21.3,True,True,1000,Clamp-on,0.7392375,3.0506865224006505,37.01208621513738,10.0,85.9367444219762,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN20,PVC,26.9,True,True,1000,Clamp-on,0.494225,0.665477896872846,39.3849750456722,10.0,93.71447235028333,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN20,Steel_Carbon,26.9,True,False,1000,Clamp-on,0.494225,9.248449939065335,30.80200300347971,10.0,73.29174273832975,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN20,Steel_Stainless,26.9,True,False,1000,Clamp-on,0.494225,9.207655357819382,30.842797584725663,10.0,73.3888112943408,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN20,Copper,26.9,True,False,1000,Clamp-on,0.494225,8.872233127510011,31.178219815035035,10.0,74.18693081305437,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN20,Aluminum,26.9,True,False,1000,Clamp-on,0.494225,5.377417804270714,34.67303513827433,10.0,82.50265968172214,10,250.0,4-20mA
Ultrasonic_Transit_Time,UFM-530,DN20,HDPE,26.9,True,True,1000,Clamp-on,0.7413375,0.054603927975080534,39.99584901456996,10.0,92.84511326306068,10,250.0,4-20mA
