standard,standard_description,pipe_size,inner_diameter_m,test_flow_fraction,test_velocity_m_s,volumetric_flow_m3_s,volumetric_flow_m3_h,reference_velocity_m_s,reference_flow_m3_s,max_allowable_error_percent,temperature_C,water_density_kg_m3,water_viscosity_Pa_s,water_sound_speed_m_s,reynolds_number,flow_regime,straight_pipe_upstream_diameters,straight_pipe_downstream_diameters,calibration_interval_months,k_factor,meter_factor
ISO 17089-1:2019,Ultrasonic meters for gas,DN50,0.053099999999999994,0.1,0.5,0.0011072582577485394,3.986129727894742,0.5000230081477952,0.0011073092096718228,0.5,15,994.1847256415472,0.0011342799027411737,1464.884975,23270.803266454568,Turbulent,20,10,12,0.45156583525209615,1.0000460162955904
ISO 17089-1:2019,Ultrasonic meters for gas,DN50,0.053099999999999994,0.1,0.5,0.0011072582577485394,3.986129727894742,0.5000230081477952,0.0011073092096718228,0.5,20,989.8757806066033,0.001002,1479.9074,26228.744486133048,Turbulent,20,10,12,0.45156583525209615,1.0000460162955904
ISO 17089-1:2019,Ultrasonic meters for gas,DN50,0.053099999999999994,0.1,0.5,0.0011072582577485394,3.986129727894742,0.5000230081477952,0.0011073092096718228,0.5,25,984.5341287051746,0.0008851466005645165,1492.024375,29531.1320186414,Turbulent,20,10,12,0.45156583525209615,1.0000460162955904
ISO 17089-1:2019,Ultrasonic meters for gas,DN50,0.053099999999999994,0.1,0.5,0.0011072582577485394,3.986129727894742,0.5000230081477952,0.0011073092096718228,0.5,30,978.2472528312692,0.0007819206631645904,1501.2359000000001,33216.240196996965,Turbulent,20,10,12,0.45156583525209615,1.0000460162955904
ISO 17089-1:2019,Ultrasonic meters for gas,DN100,0.10529999999999999,0.1,0.5,0.004354282760792806,15.6754179388541,0.5000763244601732,0.004354947437355124,0.5,15,994.1847256415472,0.0011342799027411737,1464.884975,46147.18613856245,Turbulent,20,10,12,0.11482947421378822,1.0001526489203465
ISO 17089-1:2019,Ultrasonic meters for gas,DN100,0.10529999999999999,0.1,0.5,0.004354282760792806,15.6754179388541,0.5000763244601732,0.004354947437355124,0.5,20,989.8757806066033,0.001002,1479.9074,52012.9339809757,Turbulent,20,10,12,0.11482947421378822,1.0001526489203465
ISO 17089-1:2019,Ultrasonic meters for gas,DN100,0.10529999999999999,0.1,0.5,0.004354282760792806,15.6754179388541,0.5000763244601732,0.004354947437355124,0.5,25,984.5341287051746,0.0008851466005645165,1492.024375,58561.73637594989,Turbulent,20,10,12,0.11482947421378822,1.0001526489203465
ISO 17089-1:2019,Ultrasonic meters for gas,DN100,0.10529999999999999,0.1,0.5,0.004354282760792806,15.6754179388541,0.5000763244601732,0.004354947437355124,0.5,30,978.2472528312692,0.0007819206631645904,1501.2359000000001,65869.49327201094,Turbulent,20,10,12,0.11482947421378822,1.0001526489203465
ISO 17089-1:2019,Ultrasonic meters for gas,DN200,0.2065,0.1,0.5,0.016745572416567416,60.2840606996427,0.5000776338762081,0.01674817246395946,0.5,15,994.1847256415472,0.0011342799027411737,1464.884975,90497.56825843443,Turbulent,20,10,12,0.029858638902383505,1.0001552677524161
ISO 17089-1:2019,Ultrasonic meters for gas,DN200,0.2065,0.1,0.5,0.016745572416567416,60.2840606996427,0.5000776338762081,0.01674817246395946,0.5,20,989.8757806066033,0.001002,1479.9074,102000.67300162851,Turbulent,20,10,12,0.029858638902383505,1.0001552677524161
ISO 17089-1:2019,Ultrasonic meters for gas,DN200,0.2065,0.1,0.5,0.016745572416567416,60.2840606996427,0.5000776338762081,0.01674817246395946,0.5,25,984.5341287051746,0.0008851466005645165,1492.024375,114843.29118360546,Turbulent,20,10,12,0.029858638902383505,1.0001552677524161
ISO 17089-1:2019,Ultrasonic meters for gas,DN200,0.2065,0.1,0.5,0.016745572416567416,60.2840606996427,0.5000776338762081,0.01674817246395946,0.5,30,978.2472528312692,0.0007819206631645904,1501.2359000000001,129174.26743276599,Turbulent,20,10,12,0.029858638902383505,1.0001552677524161
ISO 17089-1:2019,Ultrasonic meters for gas,DN50,0.053099999999999994,0.2,1.0,0.0022145165154970788,7.972259455789484,0.9999678817997084,0.002214445389212085,0.5,15,994.1847256415472,0.0011342799027411737,1464.884975,46541.606532909136,Turbulent,20,10,12,0.45156583525209615,0.9999678817997084
ISO 17089-1:2019,Ultrasonic meters for gas,DN50,0.053099999999999994,0.2,1.0,0.0022145165154970788,7.972259455789484,0.9999678817997084,0.002214445389212085,0.5,20,989.8757806066033,0.001002,1479.9074,52457.488972266096,Turbulent,20,10,12,0.45156583525209615,0.9999678817997084
ISO 17089-1:2019,Ultrasonic meters for gas,DN50,0.053099999999999994,0.2,1.0,0.0022145165154970788,7.972259455789484,0.9999678817997084,0.002214445389212085,0.5,25,984.5341287051746,0.0008851466005645165,1492.024375,59062.2640372828,Turbulent,20,10,12,0.45156583525209615,0.9999678817997084
ISO 17089-1:2019,Ultrasonic meters for gas,DN50,0.053099999999999994,0.2,1.0,0.0022145165154970788,7.972259455789484,0.9999678817997084,0.002214445389212085,0.5,30,978.2472528312692,0.0007819206631645904,1501.2359000000001,66432.48039399393,Turbulent,20,10,12,0.45156583525209615,0.9999678817997084
ISO 17089-1:2019,Ultrasonic meters for gas,DN100,0.10529999999999999,0.2,1.0,0.008708565521585611,31.3508358777082,0.9999947690143149,0.00870851996720403,0.5,15,994.1847256415472,0.0011342799027411737,1464.884975,92294.3722771249,Turbulent,20,10,12,0.11482947421378822,0.9999947690143149
ISO 17089-1:2019,Ultrasonic meters for gas,DN100,0.10529999999999999,0.2,1.0,0.008708565521585611,31.3508358777082,0.9999947690143149,0.00870851996720403,0.5,20,989.8757806066033,0.001002,1479.9074,104025.8679619514,Turbulent,20,10,12,0.11482947421378822,0.9999947690143149
ISO 17089-1:2019,Ultrasonic meters for gas,DN100,0.10529999999999999,0.2,1.0,0.008708565521585611,31.3508358777082,0.9999947690143149,0.00870851996720403,0.5,25,984.5341287051746,0.0008851466005645165,1492.024375,117123.47275189978,Turbulent,20,10,12,0.11482947421378822,0.9999947690143149
ISO 17089-1:2019,Ultrasonic meters for gas,DN100,0.10529999999999999,0.2,1.0,0.008708565521585611,31.3508358777082,0.9999947690143149,0.00870851996720403,0.5,30,978.2472528312692,0.0007819206631645904,1501.2359000000001,131738.98654402187,Turbulent,20,10,12,0.11482947421378822,0.9999947690143149
ISO 17089-1:2019,Ultrasonic meters for gas,DN200,0.2065,0.2,1.0,0.03349114483313483,120.5681213992854,0.9998786381004606,0.03348708028418013,0.5,15,994.1847256415472,0.0011342799027411737,1464.884975,180995.13651686886,Turbulent,20,10,12,0.029858638902383505,0.9998786381004606
ISO 17089-1:2019,Ultrasonic meters for gas,DN200,0.2065,0.2,1.0,0.03349114483313483,120.5681213992854,0.9998786381004606,0.03348708028418013,0.5,20,989.8757806066033,0.001002,1479.9074,204001.34600325703,Turbulent,20,10,12,0.029858638902383505,0.9998786381004606
ISO 17089-1:2019,Ultrasonic meters for gas,DN200,0.2065,0.2,1.0,0.03349114483313483,120.5681213992854,0.9998786381004606,0.03348708028418013,0.5,25,984.5341287051746,0.0008851466005645165,1492.024375,229686.5823672109,Turbulent,20,10,12,0.029858638902383505,0.9998786381004606
ISO 17089-1:2019,Ultrasonic meters for gas,DN200,0.2065,0.2,1.0,0.03349114483313483,120.5681213992854,0.9998786381004606,0.03348708028418013,0.5,30,978.2472528312692,0.0007819206631645904,1501.2359000000001,258348.53486553198,Turbulent,20,10,12,0.029858638902383505,0.9998786381004606
ISO 17089-1:2019,Ultrasonic meters for gas,DN50,0.053099999999999994,0.4,2.0,0.0044290330309941575,15.944518911578967,2.0000354143868124,0.004429111456738639,0.5,15,994.1847256415472,0.0011342799027411737,1464.884975,93083.21306581827,Turbulent,20,10,12,0.45156583525209615,1.0000177071934062
ISO 17089-1:2019,Ultrasonic meters for gas,DN50,0.053099999999999994,0.4,2.0,0.0044290330309941575,15.944518911578967,2.0000354143868124,0.004429111456738639,0.5,20,989.8757806066033,0.001002,1479.9074,104914.97794453219,Turbulent,20,10,12,0.45156583525209615,1.0000177071934062
ISO 17089-1:2019,Ultrasonic meters for gas,DN50,0.053099999999999994,0.4,2.0,0.0044290330309941575,15.944518911578967,2.0000354143868124,0.004429111456738639,0.5,25,984.5341287051746,0.0008851466005645165,1492.024375,118124.5280745656,Turbulent,20,10,12,0.45156583525209615,1.0000177071934062
ISO 17089-1:2019,Ultrasonic meters for gas,DN50,0.053099999999999994,0.4,2.0,0.0044290330309941575,15.944518911578967,2.0000354143868124,0.004429111456738639,0.5,30,978.2472528312692,0.0007819206631645904,1501.2359000000001,132864.96078798786,Turbulent,20,10,12,0.45156583525209615,1.0000177071934062
ISO 17089-1:2019,Ultrasonic meters for gas,DN100,0.10529999999999999,0.4,2.0,0.017417131043171222,62.7016717554164,2.0003953714717,0.01742057416153789,0.5,15,994.1847256415472,0.0011342799027411737,1464.884975,184588.7445542498,Turbulent,20,10,12,0.11482947421378822,1.00019768573585
ISO 17089-1:2019,Ultrasonic meters for gas,DN100,0.10529999999999999,0.4,2.0,0.017417131043171222,62.7016717554164,2.0003953714717,0.01742057416153789,0.5,20,989.8757806066033,0.001002,1479.9074,208051.7359239028,Turbulent,20,10,12,0.11482947421378822,1.00019768573585
