mix_type,temperature,replicate,pressure_difference,permeability,flow_rate,viscosity
rubber_10,25,1,0.1,1.8913539084664373e-16,2.1015043427404858e-08,1.8e-05
rubber_10,25,1,0.2,2.5611635856084947e-16,5.6914746346855435e-08,1.8e-05
rubber_10,25,1,0.5,2.062637393450359e-16,1.1459096630279771e-07,1.8e-05
rubber_10,25,1,1.0,2.060758967581816e-16,2.2897321862020178e-07,1.8e-05
rubber_10,25,2,0.1,2.138934907299491e-16,2.3765943414438786e-08,1.8e-05
rubber_10,25,2,0.2,1.982528008581232e-16,4.405617796847182e-08,1.8e-05
rubber_10,25,2,0.5,1.9933779511214274e-16,1.1074321950674597e-07,1.8e-05
rubber_10,25,2,1.0,1.9025576491315535e-16,2.1139529434795036e-07,1.8e-05
rubber_10,25,3,0.1,2.211533616784203e-16,2.45725957420467e-08,1.8e-05
rubber_10,25,3,0.2,1.8010173554688003e-16,4.002260789930667e-08,1.8e-05
rubber_10,25,3,0.5,2.039880707755772e-16,1.1332670598643177e-07,1.8e-05
rubber_10,25,3,1.0,2.3227618769885517e-16,2.5808465299872795e-07,1.8e-05
rubber_10,25,4,0.1,2.120629053357123e-16,2.3562545037301363e-08,1.8e-05
rubber_10,25,4,0.2,2.0198413597868667e-16,4.4885363550819253e-08,1.8e-05
rubber_10,25,4,0.5,1.795378611623862e-16,9.974325620132565e-08,1.8e-05
rubber_10,25,4,1.0,1.9745515335329225e-16,2.193946148369914e-07,1.8e-05
rubber_10,25,5,0.1,1.887964308426615e-16,2.0977381204740167e-08,1.8e-05
rubber_10,25,5,0.2,2.3306247365658495e-16,5.1791660812574425e-08,1.8e-05
rubber_10,25,5,0.5,2.2169855993630466e-16,1.2316586663128036e-07,1.8e-05
rubber_10,25,5,1.0,2.2650097431730553e-16,2.5166774924145057e-07,1.8e-05
rubber_10,100,1,0.1,1.6736077602486956e-16,1.7923510149919093e-08,1.8675000000000003e-05
rubber_10,100,1,0.2,2.267198204318078e-16,4.856113958378748e-08,1.8675000000000003e-05
rubber_10,100,1,0.5,2.471660793697395e-16,1.323513142542112e-07,1.8675000000000003e-05
rubber_10,100,1,1.0,1.7549559642021545e-16,1.879470912130821e-07,1.8675000000000003e-05
rubber_10,100,2,0.1,2.0203394983886447e-16,2.163683532410864e-08,1.8675000000000003e-05
rubber_10,100,2,0.2,2.469991867512782e-16,5.290477895609706e-08,1.8675000000000003e-05
rubber_10,100,2,0.5,1.962439541050006e-16,1.0508377729852776e-07,1.8675000000000003e-05
rubber_10,100,2,1.0,2.433625461244714e-16,2.6062923279729194e-07,1.8675000000000003e-05
rubber_10,100,3,0.1,2.2276949641873134e-16,2.3857509656624503e-08,1.8675000000000003e-05
rubber_10,100,3,0.2,2.0433622555786862e-16,4.376679530021282e-08,1.8675000000000003e-05
rubber_10,100,3,0.5,2.3164699457920387e-16,1.2404122869033672e-07,1.8675000000000003e-05
rubber_10,100,3,1.0,2.470559601147294e-16,2.6458469624067403e-07,1.8675000000000003e-05
rubber_10,100,4,0.1,2.1458444808995485e-16,2.2980931522351253e-08,1.8675000000000003e-05
rubber_10,100,4,0.2,2.2408433091247787e-16,4.799664383667531e-08,1.8675000000000003e-05
rubber_10,100,4,0.5,2.132963684353774e-16,1.1421492285696244e-07,1.8675000000000003e-05
rubber_10,100,4,1.0,2.7185294820339466e-16,2.9114104225263146e-07,1.8675000000000003e-05
rubber_10,100,5,0.1,1.956491576549652e-16,2.0953055706020365e-08,1.8675000000000003e-05
rubber_10,100,5,0.2,2.645779695170821e-16,5.666998008398009e-08,1.8675000000000003e-05
rubber_10,100,5,0.5,2.0419447166278833e-16,1.0934108255035519e-07,1.8675000000000003e-05
rubber_10,100,5,1.0,1.8959030005171142e-16,2.0304182067117687e-07,1.8675000000000003e-05
rubber_10,200,1,0.1,2.510142881464537e-16,2.564641513629157e-08,1.9574999999999998e-05
rubber_10,200,1,0.2,2.458909353269167e-16,5.024591271048106e-08,1.9574999999999998e-05
rubber_10,200,1,0.5,2.4638682813872e-16,1.2586811143740488e-07,1.9574999999999998e-05
rubber_10,200,1,1.0,2.7338253534854237e-16,2.7931804377884276e-07,1.9574999999999998e-05
rubber_10,200,2,0.1,2.4060332030912086e-16,2.4582714718684127e-08,1.9574999999999998e-05
rubber_10,200,2,0.2,2.386606966962209e-16,4.8768469312126874e-08,1.9574999999999998e-05
rubber_10,200,2,0.5,2.510064394050973e-16,1.2822806610732943e-07,1.9574999999999998e-05
rubber_10,200,2,1.0,2.4820213500071212e-16,2.535909425294632e-07,1.9574999999999998e-05
rubber_10,200,3,0.1,2.263033356858048e-16,2.3121669035586697e-08,1.9574999999999998e-05
rubber_10,200,3,0.2,2.848544354893671e-16,5.820780290970464e-08,1.9574999999999998e-05
rubber_10,200,3,0.5,1.8109892760107307e-16,9.251541639901563e-08,1.9574999999999998e-05
rubber_10,200,3,1.0,2.7685338866112593e-16,2.828642540598988e-07,1.9574999999999998e-05
rubber_10,200,4,0.1,2.8641621006875285e-16,2.9263469738825325e-08,1.9574999999999998e-05
rubber_10,200,4,0.2,2.435691855191058e-16,4.9771481076701064e-08,1.9574999999999998e-05
rubber_10,200,4,0.5,2.1965974751105635e-16,1.1221443040156138e-07,1.9574999999999998e-05
rubber_10,200,4,1.0,2.850896885242534e-16,2.912793752482794e-07,1.9574999999999998e-05
rubber_10,200,5,0.1,2.705137195722314e-16,2.763869420916796e-08,1.9574999999999998e-05
