mix_type,temperature,replicate,pressure_difference,permeability,flow_rate,viscosity
control,25,1,0.1,9.356888878156654e-17,1.0396543197951837e-08,1.8e-05
control,25,1,0.2,9.731819111422909e-17,2.1626264692050908e-08,1.8e-05
control,25,1,0.5,9.533237830887278e-17,5.296243239381821e-08,1.8e-05
control,25,1,1.0,1.177350301147864e-16,1.3081670012754045e-07,1.8e-05
control,25,2,0.1,1.0361354351288458e-16,1.1512615945876064e-08,1.8e-05
control,25,2,0.2,1.1266395696914867e-16,2.5036434882033036e-08,1.8e-05
control,25,2,0.5,1.144463787052525e-16,6.358132150291806e-08,1.8e-05
control,25,2,1.0,1.072216810545981e-16,1.1913520117177565e-07,1.8e-05
control,25,3,0.1,9.526117749995177e-17,1.0584575277772418e-08,1.8e-05
control,25,3,0.2,9.739293765166798e-17,2.1642875033703994e-08,1.8e-05
control,25,3,0.5,1.1521683364124587e-16,6.400935202291437e-08,1.8e-05
control,25,3,1.0,1.2397662340220724e-16,1.3775180378023024e-07,1.8e-05
control,25,4,0.1,9.129370498537092e-17,1.0143744998374547e-08,1.8e-05
control,25,4,0.2,1.0643411240995808e-16,2.3652024979990687e-08,1.8e-05
control,25,4,0.5,9.558965443522538e-17,5.3105363575125205e-08,1.8e-05
control,25,4,1.0,9.716253288081223e-17,1.0795836986756915e-07,1.8e-05
control,25,5,0.1,1.0156346584965798e-16,1.1284829538850887e-08,1.8e-05
control,25,5,0.2,1.0838637475786142e-16,2.4085861057302537e-08,1.8e-05
control,25,5,0.5,1.0659518422701569e-16,5.9219546792786493e-08,1.8e-05
control,25,5,1.0,8.911322995779936e-17,9.901469995311039e-08,1.8e-05
control,100,1,0.1,1.2197817148573143e-16,1.3063257990439776e-08,1.8675000000000003e-05
control,100,1,0.2,1.0298177415145006e-16,2.2057675855732274e-08,1.8675000000000003e-05
control,100,1,0.5,1.1019556501039897e-16,5.900699598950412e-08,1.8675000000000003e-05
control,100,1,1.0,1.1107672951470312e-16,1.1895767551775433e-07,1.8675000000000003e-05
