mix_type,temperature,replicate,pressure_difference,permeability,flow_rate,viscosity
rubber_30,25,1,0.1,6.035402330544923e-16,6.706002589494358e-08,1.8e-05
rubber_30,25,1,0.2,8.612756898025267e-16,1.913945977338948e-07,1.8e-05
rubber_30,25,1,0.5,9.254992566895344e-16,5.141662537164079e-07,1.8e-05
rubber_30,25,1,1.0,9.686360444054068e-16,1.076262271561563e-06,1.8e-05
rubber_30,25,2,0.1,7.028163331831809e-16,7.80907036870201e-08,1.8e-05
rubber_30,25,2,0.2,7.391247941909022e-16,1.642499542646449e-07,1.8e-05
rubber_30,25,2,0.5,7.498540369367647e-16,4.1658557607598033e-07,1.8e-05
rubber_30,25,2,1.0,8.667966248398629e-16,9.63107360933181e-07,1.8e-05
rubber_30,25,3,0.1,7.86625650239352e-16,8.740285002659465e-08,1.8e-05
rubber_30,25,3,0.2,9.11834952729345e-16,2.0262998949540998e-07,1.8e-05
rubber_30,25,3,0.5,6.674085338466507e-16,3.7078251880369484e-07,1.8e-05
rubber_30,25,3,1.0,8.5809812810329195e-16,9.534423645592133e-07,1.8e-05
rubber_30,25,4,0.1,9.26767139076351e-16,1.02974126564039e-07,1.8e-05
rubber_30,25,4,0.2,7.684784276290007e-16,1.707729839175557e-07,1.8e-05
rubber_30,25,4,0.5,8.542579476188011e-16,4.7458774867711173e-07,1.8e-05
rubber_30,25,4,1.0,1.0376874127353736e-15,1.152986014150415e-06,1.8e-05
rubber_30,25,5,0.1,9.505666291240806e-16,1.0561851434712006e-07,1.8e-05
rubber_30,25,5,0.2,7.429385088588402e-16,1.650974464130756e-07,1.8e-05
rubber_30,25,5,0.5,8.632507082288873e-16,4.795837267938262e-07,1.8e-05
rubber_30,25,5,1.0,1.0402510255545967e-15,1.1558344728384408e-06,1.8e-05
rubber_30,100,1,0.1,8.464720183567237e-16,9.065296046658352e-08,1.8675000000000003e-05
rubber_30,100,1,0.2,8.838421561436572e-16,1.8931023424763738e-07,1.8675000000000003e-05
rubber_30,100,1,0.5,7.114697471656913e-16,3.809744295398614e-07,1.8675000000000003e-05
rubber_30,100,1,1.0,1.0019528153739928e-15,1.0730418370805812e-06,1.8675000000000003e-05
rubber_30,100,2,0.1,8.416284649137763e-16,9.01342398836708e-08,1.8675000000000003e-05
rubber_30,100,2,0.2,7.640264144983941e-16,1.6364688931692508e-07,1.8675000000000003e-05
rubber_30,100,2,0.5,9.37034870018303e-16,5.017589665425986e-07,1.8675000000000003e-05
rubber_30,100,2,1.0,7.843677414302423e-16,8.400190001930304e-07,1.8675000000000003e-05
rubber_30,100,3,0.1,9.312953148686334e-16,9.973711538084425e-08,1.8675000000000003e-05
rubber_30,100,3,0.2,8.892568157994985e-16,1.9047000070671989e-07,1.8675000000000003e-05
rubber_30,100,3,0.5,9.549199882394825e-16,5.113360044120388e-07,1.8675000000000003e-05
rubber_30,100,3,1.0,6.93931745260772e-16,7.431665277223795e-07,1.8675000000000003e-05
rubber_30,100,4,0.1,9.227288489720154e-16,9.881968931427204e-08,1.8675000000000003e-05
rubber_30,100,4,0.2,7.625226479916759e-16,1.6332479742793594e-07,1.8675000000000003e-05
rubber_30,100,4,0.5,8.950495143211608e-16,4.792768483647447e-07,1.8675000000000003e-05
rubber_30,100,4,1.0,9.648437836545147e-16,1.0332999021735096e-06,1.8675000000000003e-05
rubber_30,100,5,0.1,8.473121809752029e-16,9.074293772157459e-08,1.8675000000000003e-05
rubber_30,100,5,0.2,9.449502394904716e-16,2.0239898034601798e-07,1.8675000000000003e-05
rubber_30,100,5,0.5,8.935303408043438e-16,4.784633685699297e-07,1.8675000000000003e-05
rubber_30,100,5,1.0,9.769112820335482e-16,1.046223595216651e-06,1.8675000000000003e-05
rubber_30,200,1,0.1,9.550870282624603e-16,9.758232728096657e-08,1.9574999999999998e-05
rubber_30,200,1,0.2,9.786343639628517e-16,1.9997637066929283e-07,1.9574999999999998e-05
rubber_30,200,1,0.5,1.121172246440617e-15,5.727572140181952e-07,1.9574999999999998e-05
rubber_30,200,1,1.0,9.903605635840947e-16,1.0118626447857931e-06,1.9574999999999998e-05
rubber_30,200,2,0.1,8.966587815955135e-16,9.161264690631044e-08,1.9574999999999998e-05
rubber_30,200,2,0.2,1.1184281781011564e-15,2.285421564446808e-07,1.9574999999999998e-05
rubber_30,200,2,0.5,9.097970432596386e-16,4.6477499017095205e-07,1.9574999999999998e-05
rubber_30,200,2,1.0,9.471707934601788e-16,9.677351657319835e-07,1.9574999999999998e-05
rubber_30,200,3,0.1,1.0296812150500887e-15,1.0520370013283155e-07,1.9574999999999998e-05
rubber_30,200,3,0.2,8.952299181767448e-16,1.8293331661338338e-07,1.9574999999999998e-05
rubber_30,200,3,0.5,9.324864432710125e-16,4.7636599911673693e-07,1.9574999999999998e-05
rubber_30,200,3,1.0,1.0195815512585905e-15,1.0417180600343199e-06,1.9574999999999998e-05
rubber_30,200,4,0.1,1.1974308193293287e-15,1.2234286787528265e-07,1.9574999999999998e-05
rubber_30,200,4,0.2,9.169845497429323e-16,1.8737870748259154e-07,1.9574999999999998e-05
rubber_30,200,4,0.5,9.538035655469541e-16,4.87255972182352e-07,1.9574999999999998e-05
rubber_30,200,4,1.0,1.0760436079915291e-15,1.0994059851765306e-06,1.9574999999999998e-05
rubber_30,200,5,0.1,8.560189028022786e-16,8.746042429652912e-08,1.9574999999999998e-05
rubber_30,200,5,0.2,9.396404803259719e-16,1.9200827184183334e-07,1.9574999999999998e-05
rubber_30,200,5,0.5,9.6192240505201e-16,4.914035274850626e-07,1.9574999999999998e-05
rubber_30,200,5,1.0,1.0921806461020265e-15,1.1158933804362979e-06,1.9574999999999998e-05
rubber_30,400,1,0.1,1.2022425673628643e-15,1.1249053261874752e-07,2.1375e-05
rubber_30,400,1,0.2,1.2285756647099407e-15,2.299088963199889e-07,2.1375e-05
rubber_30,400,1,0.5,1.2079979392751827e-15,5.651452347486235e-07,2.1375e-05
rubber_30,400,1,1.0,1.4032725560352714e-15,1.313003561202593e-06,2.1375e-05
rubber_30,400,2,0.1,1.105727375477703e-15,1.0345987138972659e-07,2.1375e-05
rubber_30,400,2,0.2,1.0585223517674244e-15,1.9808605413191564e-07,2.1375e-05
rubber_30,400,2,0.5,1.0516863762556309e-15,4.920170181312893e-07,2.1375e-05
rubber_30,400,2,1.0,1.0782450749941506e-15,1.0088842806962811e-06,2.1375e-05
rubber_30,400,3,0.1,9.76409918928571e-16,9.135999241436921e-08,2.1375e-05
rubber_30,400,3,0.2,1.0770980703499307e-15,2.0156221199530865e-07,2.1375e-05
rubber_30,400,3,0.5,1.3036745736198814e-15,6.099062332724591e-07,2.1375e-05
rubber_30,400,3,1.0,1.2534171926657096e-15,1.1727880165293187e-06,2.1375e-05
rubber_30,400,4,0.1,1.0864377720230249e-15,1.0165499621268069e-07,2.1375e-05
rubber_30,400,4,0.2,1.0889095932343162e-15,2.037725554590533e-07,2.1375e-05
rubber_30,400,4,0.5,1.3471661942074057e-15,6.302531902724704e-07,2.1375e-05
rubber_30,400,4,1.0,1.3109300812051653e-15,1.2266012455720844e-06,2.1375e-05
rubber_30,400,5,0.1,1.083692493428022e-15,1.0139812804004884e-07,2.1375e-05
rubber_30,400,5,0.2,1.1091083517534336e-15,2.0755244009420977e-07,2.1375e-05
rubber_30,400,5,0.5,1.0684003829090032e-15,4.998364364486564e-07,2.1375e-05
rubber_30,400,5,1.0,9.971725511186674e-16,9.330269484151273e-07,2.1375e-05
rubber_30,600,1,0.1,1.2437236295479403e-15,1.073332150634684e-07,2.3175e-05
rubber_30,600,1,0.2,1.5609531446524335e-15,2.6942017599179e-07,2.3175e-05
rubber_30,600,1,0.5,1.3836561496800731e-15,5.970468822783487e-07,2.3175e-05
rubber_30,600,1,1.0,1.6700438679299997e-15,1.441246056466019e-06,2.3175e-05
rubber_30,600,2,0.1,1.0394134140224389e-15,8.970126550355459e-08,2.3175e-05
rubber_30,600,2,0.2,1.2920016761955676e-15,2.2299921056234175e-07,2.3175e-05
rubber_30,600,2,0.5,1.2770753704365608e-15,5.510573335217091e-07,2.3175e-05
rubber_30,600,2,1.0,1.3372077812606874e-15,1.1540088727168822e-06,2.3175e-05
rubber_30,600,3,0.1,1.2847741970616314e-15,1.1087587461157551e-07,2.3175e-05
rubber_30,600,3,0.2,1.2904060687565246e-15,2.2272380906261476e-07,2.3175e-05
rubber_30,600,3,0.5,1.3421977167180647e-15,5.791575908168563e-07,2.3175e-05
rubber_30,600,3,1.0,1.4709721968525879e-15,1.2694474190745093e-06,2.3175e-05
rubber_30,600,4,0.1,1.019330540953914e-15,8.79681157241781e-08,2.3175e-05
rubber_30,600,4,0.2,1.3594562315567556e-15,2.3464185226438065e-07,2.3175e-05
rubber_30,600,4,0.5,1.4488154921239652e-15,6.251631033976116e-07,2.3175e-05
rubber_30,600,4,1.0,1.5201297255123432e-15,1.3118703132792607e-06,2.3175e-05
rubber_30,600,5,0.1,1.4832851257983988e-15,1.2800734634721887e-07,2.3175e-05
rubber_30,600,5,0.2,1.2390343713676937e-15,2.1385706517673248e-07,2.3175e-05
rubber_30,600,5,0.5,1.3184108573167503e-15,5.688935738152104e-07,2.3175e-05
rubber_30,600,5,1.0,1.4641834493400347e-15,1.2635887372945282e-06,2.3175e-05
