Analysis_Type,FOV_ID,Measurement_Scale,Mix_ID,Sample_ID,Temperature_C,crack_density_mm_per_mm2,crack_fraction_est,itz_damage_index,mass_fraction_800C,melt_phase_fraction,percolates_x,percolates_y,percolates_z,phase,pore_components,pore_diam_um_p10,pore_diam_um_p50,pore_diam_um_p90,pore_eq_diam_p50_um,pore_eq_diam_p90_um,porosity,rubber_vol_frac,tga_total_loss_800,wt_percent
MicroCT,,Micro/3D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,,0.0,,,,0.0,1.0,0.0,,52137.0,,,,6.203504908994,7.81592641796772,0.08674904152199074,,,
SEM,FOV01,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,0.33598423751561074,,0.36466077624448784,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV02,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,0.6047716275280993,,0.3429839120471798,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV03,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,0.40318108501873295,,0.3591666141969293,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV04,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,0.5375747800249772,,0.3262821853741127,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
SEM,FOV05,Micro/2D,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,0.291186339180196,,0.3461813369007685,,,,,,,,5.641895835477563,5.641895835477563,7.978845608028654,,,,,,
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,,,,,,,,,C-S-H (amorphous),,,,,,,,,,59.93311605735303
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,,,,,,,,,Portlandite (CH),,,,,,,,,,18.83219531223508
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,,,,,,,,,Calcite (CaCO3),,,,,,,,,,6.600494706088242
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,,,,,,,,,Quartz (SiO2),,,,,,,,,,9.207894898536606
XRD,,Bulk,HPRC-0,C28-HPRC-0-200C-Furnace-Rep1,200,,,,,,,,,Ettringite,,,,,,,,,,2.659070099869869
