time_s,signal1,signal2
0.0,0.0033924394682610694,-0.005049800853618431
1e-06,0.00260071779933673,-0.007682160528864898
2e-06,0.0017836142954122897,-0.01020839682787487
3e-06,0.0009522909636156521,-0.012593456179962437
4e-06,0.00011806825926232811,-0.014804282989338384
5e-06,-0.0007079653678713209,-0.01681052417524347
6e-06,-0.0015149456475667717,-0.018584814536877443
7e-06,-0.002292145984909645,-0.02010295138205574
8e-06,-0.0030295859337380678,-0.021344714436943982
9e-06,-0.003717895108035881,-0.022293885558598223
1e-05,-0.004348537719883083,-0.0229385892906393
1.1e-05,-0.004913894456624205,-0.0232714230616423
1.2e-05,-0.005407384707814246,-0.023289588155045008
1.3e-05,-0.00582355390611212,-0.022994914959882182
1.4e-05,-0.006158073133072826,-0.02239376433712451
1.5e-05,-0.00640781355194204,-0.021496930847481683
1.6e-05,-0.006570994243130158,-0.02031958648589869
1.7e-05,-0.006647127836031255,-0.018880959694039027
1.8e-05,-0.006636878323792138,-0.017203895200564007
1.9e-05,-0.006542105962070263,-0.015314556733386612
2e-05,-0.0063659569617429655,-0.013242144050588042
2.1e-05,-0.006112713254984899,-0.011018329247731476
2.2e-05,-0.005787595152898183,-0.008676666203614083
2.3e-05,-0.005396743877269056,-0.006252130877795299
2.4e-05,-0.004947201099221818,-0.0037805920939478336
2.5e-05,-0.004446727677571976,-0.0012982173999341517
2.6e-05,-0.0039036352781502692,0.001159031932437609
2.7e-05,-0.0033266881203126526,0.0035559731654090836
2.8e-05,-0.0027249649927732406,0.0058588552397960715
2.9e-05,-0.0021077085683504004,0.008035808090827577
3e-05,-0.0014842146842428381,0.010057196955604612
3.1e-05,-0.0008636835137078496,0.011896122730823244
3.2e-05,-0.0002550291384778281,0.013528949828154556
3.3e-05,0.00033322439746068846,0.014935553630282254
3.4e-05,0.0008929963840888919,0.0160994760828075
3.5e-05,0.0014167949976738963,0.017008195580437122
3.6e-05,0.0018979096765301502,0.017653409462282537
3.7e-05,0.0023304566704489267,0.018031027541571577
3.8e-05,0.002709350814747545,0.01814105204955229
3.9e-05,0.003030429456129067,0.01798758230278821
4e-05,0.003290623336955661,0.017578843801276875
4.1e-05,0.0034879159205065194,0.016926898659842024
4.2e-05,0.003621255653338899,0.016047259912082643
4.3e-05,0.003690617319613356,0.014958664389564091
4.4e-05,0.003697082081739004,0.01368284473283366
4.5e-05,0.003642754289958067,0.012244039378544734
4.6e-05,0.0035306249197006273,0.01066848112205756
4.7e-05,0.0033645705914632355,0.008984002050664477
4.8e-05,0.0031493785496364093,0.0072195693107324115
4.9e-05,0.002890599551727467,0.005404766965295706
5e-05,0.002594382996722951,0.0035693595857835482
5.1e-05,0.0022674177147594026,0.0017427880868028014
5.2e-05,0.0019168608673805925,-4.64170237263075e-05
5.3e-05,0.0015501881500833894,-0.0017710297456747517
5.4e-05,0.0011750470324651925,-0.0034054236655240615
5.5e-05,0.0007991484897285909,-0.004926027919331294
5.6e-05,0.00043014690465523604,-0.006311824230954773
5.7e-05,7.549997623945248e-05,-0.007544552264301579
5.8e-05,-0.00025764506098260073,-0.00860883388746061
5.9e-05,-0.0005625695676761578,-0.009492430001734782
6e-05,-0.0008331394491644826,-0.010186508986079536
6.1e-05,-0.0010638999035736693,-0.010685647369698213
6.2e-05,-0.0012501001057851316,-0.010987724374219179
6.3e-05,-0.0013878152675697196,-0.011093949351997257
6.4e-05,-0.0014741246906336172,-0.011008922422020017
6.5e-05,-0.0015071130506172626,-0.010740388928028028
6.6e-05,-0.0014858068839409225,-0.01029890540562532
6.7e-05,-0.0014102572124560656,-0.009697674452878514
6.8e-05,-0.0012816657324425784,-0.008952380686737045
6.9e-05,-0.001102317065384579,-0.00808078008781456
7e-05,-0.0008754257766776807,-0.00710227322719093
7.1e-05,-0.0006051681553104378,-0.006037594991069775
7.2e-05,-0.0002967714599765342,-0.004908438822592652
7.3e-05,4.365331773789167e-05,-0.0037370324508883244
7.4e-05,0.0004093305328888673,-0.0025457945186080563
7.5e-05,0.000792848905505899,-0.0013569235842374216
7.6e-05,0.0011861783941161804,-0.00019190397797782198
7.7e-05,0.0015808690891400351,0.0009288007379442885
7.8e-05,0.0019682683431619654,0.0019859583507217463
7.9e-05,0.002339616201988696,0.0029619458304356566
8e-05,0.002686145447459108,0.0038411726788973094
8.1e-05,0.002999281349134674,0.00461022329402363
8.2e-05,0.0032708151440588524,0.005257924216042803
8.3e-05,0.0034930346277662026,0.005775555120379843
8.4e-05,0.003658903010441182,0.006157079324284508
8.5e-05,0.0037621999660829315,0.0063991193960489245
8.6e-05,0.003797578667292726,0.0065008332142133625
8.7e-05,0.0037607211764766205,0.006463940607908481
8.8e-05,0.0036485598225116616,0.0062927877014517875
8.9e-05,0.003459300604198731,0.005994116853102309
9e-05,0.003192374820618262,0.005576769101177191
9.1e-05,0.0028485495561378148,0.005051555400751856
9.2e-05,0.0024300777271710015,0.004431114244196439
9.3e-05,0.0019406360488329918,0.003729571317035828
9.4e-05,0.0013851768839897832,0.0029622066533986314
9.5e-05,0.0007699589478081472,0.0021451963161998886
9.6e-05,0.00010263265515119193,0.0012952861788450086
9.7e-05,-0.0006079387600210511,0.00042946687430127047
9.8e-05,-0.001351925110862253,-0.00043527120252000726
9.9e-05,-0.0021185823575258014,-0.0012822727223742573
0.0001,-0.0028962779668966253,-0.0020956301576609652
0.000101,-0.0036727376423277822,-0.0028604004904659286
