temperature,cte,units
20.0,1.166790482702352e-05,/°C
21.0,1.2312472665773104e-05,/°C
22.0,1.1543302535235153e-05,/°C
23.0,1.2645725647130775e-05,/°C
24.0,1.3073583465881744e-05,/°C
25.0,1.211022130523973e-05,/°C
26.0,1.2003593261911827e-05,/°C
27.0,1.360949824286991e-05,/°C
28.0,1.243617935493717e-05,/°C
29.0,1.2431887706661871e-05,/°C
30.0,1.2887672473131671e-05,/°C
31.0,1.2917436609549572e-05,/°C
32.0,1.2226130758193865e-05,/°C
33.0,1.2564285946058868e-05,/°C
34.0,1.2035657842696037e-05,/°C
35.0,1.3028555066350996e-05,/°C
36.0,1.2035969863654256e-05,/°C
37.0,1.2598309575598174e-05,/°C
38.0,1.2139187341576255e-05,/°C
39.0,1.3005849248461397e-05,/°C
40.0,1.1988598967640932e-05,/°C
41.0,1.286904433819828e-05,/°C
42.0,1.2166258766719812e-05,/°C
43.0,1.1754350460887937e-05,/°C
44.0,1.2832354888829893e-05,/°C
45.0,1.3489564200220271e-05,/°C
46.0,1.1844909978939118e-05,/°C
47.0,1.2477731075690684e-05,/°C
48.0,1.1677637525990644e-05,/°C
49.0,1.2590101570889006e-05,/°C
50.0,1.2971404049298544e-05,/°C
51.0,1.1554811295600963e-05,/°C
52.0,1.3103621972271746e-05,/°C
53.0,1.2344857200766522e-05,/°C
54.0,1.2482426589157253e-05,/°C
55.0,1.2996477945694654e-05,/°C
56.0,1.2845955822168385e-05,/°C
57.0,1.3023339624949504e-05,/°C
58.0,1.2713319830701418e-05,/°C
59.0,1.292552112402252e-05,/°C
60.0,1.2207908788341757e-05,/°C
61.0,1.259020845215112e-05,/°C
62.0,1.2844500730012844e-05,/°C
63.0,1.2945238175028779e-05,/°C
64.0,1.2560379639164921e-05,/°C
65.0,1.3423276192260184e-05,/°C
66.0,1.278886288137484e-05,/°C
67.0,1.2866456312077262e-05,/°C
68.0,1.2661940277542377e-05,/°C
69.0,1.3061419807019936e-05,/°C
70.0,1.3704808618546985e-05,/°C
71.0,1.3795247242332721e-05,/°C
72.0,1.2926322656004355e-05,/°C
73.0,1.3102474590390612e-05,/°C
74.0,1.2239645380807712e-05,/°C
75.0,1.3351823367274554e-05,/°C
76.0,1.2550339165284487e-05,/°C
77.0,1.3117391190450933e-05,/°C
78.0,1.2933212300975356e-05,/°C
79.0,1.3042624595080314e-05,/°C
80.0,1.2680051515540515e-05,/°C
81.0,1.1688993188491018e-05,/°C
82.0,1.1676549283515673e-05,/°C
83.0,1.3255763855986605e-05,/°C
84.0,1.2820145567525762e-05,/°C
85.0,1.2265115277628194e-05,/°C
86.0,1.3549947599308898e-05,/°C
87.0,1.1940545999172555e-05,/°C
88.0,1.3248790884802961e-05,/°C
89.0,1.2995265515459344e-05,/°C
90.0,1.3280844102686318e-05,/°C
91.0,1.2621852224599482e-05,/°C
92.0,1.3372924184282103e-05,/°C
93.0,1.2804040309624709e-05,/°C
94.0,1.3555543966855048e-05,/°C
95.0,1.3577973499277129e-05,/°C
96.0,1.3049151727721534e-05,/°C
97.0,1.3151335761202634e-05,/°C
98.0,1.2897181564724522e-05,/°C
99.0,1.2913742564358057e-05,/°C
100.0,1.3301081226235494e-05,/°C
101.0,1.2882122727148646e-05,/°C
102.0,1.156892201384921e-05,/°C
103.0,1.24871168602746e-05,/°C
104.0,1.292231688306765e-05,/°C
105.0,1.2716454155824814e-05,/°C
106.0,1.2785325809143081e-05,/°C
107.0,1.388495881907184e-05,/°C
108.0,1.2547519509702284e-05,/°C
109.0,1.3153042846915393e-05,/°C
110.0,1.262200807392393e-05,/°C
111.0,1.3641619345281235e-05,/°C
112.0,1.3219417565184449e-05,/°C
113.0,1.275524913701881e-05,/°C
114.0,1.3536769019098734e-05,/°C
115.0,1.3451469307473754e-05,/°C
116.0,1.2711166057916159e-05,/°C
117.0,1.2977453098300795e-05,/°C
118.0,1.2883931046325105e-05,/°C
119.0,1.301957986005879e-05,/°C
120.0,1.3548563995031963e-05,/°C
121.0,1.2154699356470461e-05,/°C
122.0,1.374091289307124e-05,/°C
123.0,1.3346573298907419e-05,/°C
124.0,1.3360067054052006e-05,/°C
125.0,1.3663372226126852e-05,/°C
126.0,1.329177526356229e-05,/°C
127.0,1.3554976333517086e-05,/°C
128.0,1.348594906735677e-05,/°C
129.0,1.2708310004174067e-05,/°C
130.0,1.3033347960940804e-05,/°C
131.0,1.30377198499658e-05,/°C
132.0,1.339333282177011e-05,/°C
133.0,1.3264833318796063e-05,/°C
134.0,1.2551730126145889e-05,/°C
135.0,1.391535489153732e-05,/°C
136.0,1.3786940745027525e-05,/°C
137.0,1.3553845589929349e-05,/°C
138.0,1.2757297272005197e-05,/°C
139.0,1.3801352344533928e-05,/°C
140.0,1.3283118616032992e-05,/°C
141.0,1.3610334687323083e-05,/°C
142.0,1.2986740541540364e-05,/°C
143.0,1.348292047657909e-05,/°C
144.0,1.2997948359754492e-05,/°C
145.0,1.4634608550627404e-05,/°C
146.0,1.3201963001035168e-05,/°C
147.0,1.4012723115076605e-05,/°C
148.0,1.3170678878039853e-05,/°C
149.0,1.4165057166042412e-05,/°C
150.0,1.3133444452562764e-05,/°C
151.0,1.3714037786224327e-05,/°C
152.0,1.4090675488991231e-05,/°C
153.0,1.3247802455774173e-05,/°C
154.0,1.4073455884568623e-05,/°C
155.0,1.3736800805051225e-05,/°C
156.0,1.387092629806301e-05,/°C
157.0,1.4427802816479586e-05,/°C
158.0,1.3792371324319235e-05,/°C
159.0,1.3105558707910016e-05,/°C
160.0,1.368898053179165e-05,/°C
161.0,1.3559626372618144e-05,/°C
162.0,1.3383936715956499e-05,/°C
163.0,1.4471800680131847e-05,/°C
164.0,1.4038310287878685e-05,/°C
165.0,1.4249056026517757e-05,/°C
166.0,1.4844158827682567e-05,/°C
167.0,1.379707954024989e-05,/°C
168.0,1.2707342510575376e-05,/°C
169.0,1.446109741311308e-05,/°C
170.0,1.3926364210739503e-05,/°C
171.0,1.3538935406206504e-05,/°C
172.0,1.3851840520132268e-05,/°C
173.0,1.3188869500001599e-05,/°C
174.0,1.3908804669757685e-05,/°C
175.0,1.4374251541107747e-05,/°C
176.0,1.4434512691879512e-05,/°C
177.0,1.3785776845348389e-05,/°C
178.0,1.4275522158619894e-05,/°C
179.0,1.3899407827188634e-05,/°C
180.0,1.3406300010429734e-05,/°C
181.0,1.310002784458389e-05,/°C
182.0,1.2990761024281349e-05,/°C
183.0,1.3248436544889385e-05,/°C
184.0,1.2986908841347445e-05,/°C
185.0,1.3696738938362787e-05,/°C
186.0,1.3956092054774415e-05,/°C
187.0,1.4019993152899647e-05,/°C
188.0,1.4066014010890439e-05,/°C
189.0,1.2947972948271391e-05,/°C
190.0,1.36792187689537e-05,/°C
191.0,1.4430311043770864e-05,/°C
192.0,1.3537989058969529e-05,/°C
193.0,1.4074236568547122e-05,/°C
194.0,1.4265419009267366e-05,/°C
195.0,1.3949764919482214e-05,/°C
196.0,1.4383792079527748e-05,/°C
197.0,1.4788399896593397e-05,/°C
198.0,1.3383053327630174e-05,/°C
199.0,1.3447432619099558e-05,/°C
200.0,1.454901502997976e-05,/°C
201.0,1.3667549087420022e-05,/°C
202.0,1.3891786528171878e-05,/°C
203.0,1.4621483819673335e-05,/°C
204.0,1.5026980348383535e-05,/°C
205.0,1.5174102436943948e-05,/°C
206.0,1.428633787627019e-05,/°C
207.0,1.4870505719631065e-05,/°C
208.0,1.3417478418941111e-05,/°C
209.0,1.4817010456542386e-05,/°C
210.0,1.4138529362681381e-05,/°C
211.0,1.3565704852850155e-05,/°C
212.0,1.4433338018571204e-05,/°C
213.0,1.4058430585404864e-05,/°C
214.0,1.3425674709699843e-05,/°C
215.0,1.4642134026679616e-05,/°C
216.0,1.5188437054531344e-05,/°C
217.0,1.3780645461982393e-05,/°C
218.0,1.3766815781780449e-05,/°C
219.0,1.3855286744004951e-05,/°C
220.0,1.4232131356208502e-05,/°C
221.0,1.4634030826671439e-05,/°C
222.0,1.4103329394724911e-05,/°C
223.0,1.472006599500031e-05,/°C
224.0,1.4405332037637238e-05,/°C
225.0,1.4637843407016628e-05,/°C
226.0,1.3784481395343764e-05,/°C
227.0,1.4708568460215109e-05,/°C
228.0,1.4834540272042472e-05,/°C
229.0,1.4331185182420554e-05,/°C
230.0,1.5059340920781371e-05,/°C
231.0,1.3825748081378074e-05,/°C
232.0,1.3891885880594086e-05,/°C
233.0,1.4061007330499155e-05,/°C
234.0,1.4725762274241201e-05,/°C
235.0,1.4599999701721097e-05,/°C
236.0,1.4146088859047736e-05,/°C
237.0,1.390087550184804e-05,/°C
238.0,1.3532174168063837e-05,/°C
239.0,1.471651908792659e-05,/°C
240.0,1.386677306330108e-05,/°C
241.0,1.455997109481652e-05,/°C
242.0,1.3825217063083395e-05,/°C
243.0,1.487325628142697e-05,/°C
244.0,1.4826924159525763e-05,/°C
