temperature,heat_flow_mW_mg
20.0,0.01717928186083794
21.0,0.02568698004829358
22.0,0.0015133803966918037
23.0,-0.07964373042954746
24.0,0.01290020692956508
25.0,0.008359998549035458
26.0,5.277006280293684e-05
27.0,-0.015427999324502752
28.0,0.04111400184964036
29.0,-0.005111811494763151
30.0,-0.01250976727360549
31.0,-0.0022150777658067437
32.0,-0.10628695306381186
33.0,-0.035749412312689674
34.0,0.018132362324386128
35.0,-0.034231307404094094
36.0,-0.007761778668648173
37.0,0.13389365014282206
38.0,0.01793538777666423
39.0,0.04800388741736318
40.0,0.016133008119714527
41.0,0.051980800332015575
42.0,0.12797809518834752
43.0,-0.029597457693104155
44.0,0.051933302420477695
45.0,0.009027242002825847
46.0,0.014582206754753255
47.0,-0.02129571356582007
48.0,0.043422419496384645
49.0,-0.002410628908637199
50.0,-0.08116833455709821
51.0,0.03570593364191254
52.0,0.003505774444692226
53.0,-0.06929729761441236
54.0,-0.012356566326243577
55.0,0.06146817321220427
56.0,0.02252234115904799
57.0,0.028681181905515114
58.0,0.03561757442963956
59.0,-0.003904940779331296
60.0,-0.009893780978510857
61.0,-0.0016565217111476887
62.0,-0.0743652646318171
63.0,-0.03749921124831325
64.0,0.058315402890593414
65.0,-0.039160374005597715
66.0,0.002016136513051301
67.0,0.007267879474964587
68.0,-0.007534907386516081
69.0,0.058744139366959436
70.0,-0.005949431924674057
71.0,-0.026443377568814215
72.0,1.1012145005187893e-06
73.0,0.08155985984440955
74.0,-0.034221232872390074
75.0,0.04364917501523771
76.0,0.0017840143516196843
77.0,0.058208858229632565
78.0,-0.03389477045574703
79.0,0.0007260224029043069
80.0,0.03660378613242694
81.0,0.043903779905192786
82.0,-0.026636767852976143
83.0,0.1948669339849197
84.0,0.007618646127453759
85.0,-0.0620558985440705
86.0,0.027858332622541067
87.0,0.013390202011481632
88.0,-0.08109026642498607
89.0,-0.018548669785338052
90.0,0.006920381041323553
91.0,0.061158739382160376
92.0,0.00019951110291263618
93.0,-0.019124775461665983
94.0,-0.002815322538386523
95.0,-0.08474842791990911
96.0,0.05819011578279476
97.0,-0.08446784827260867
